"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","Prob_fogo","HasFire_Predict"
"2167","not-burned",646.935,6.45035,0.465729,2827.34,584.752,2.71723,3307.02,"12",22.21601,64.00134,19.2105,7.377105,5.748924e-12,"0"
"2168","not-burned",629.658,1.45088,0.534456,163.708,864.659,5.53159,1613.77,"4",19.87549,89.37116,18.65946,6.45441,4.208552e-12,"0"
"2169","not-burned",568.479,1.99924,0.604325,4486.21,343.934,2.71723,840.817,"4",20.41891,63.97043,8.687084,12.37727,9.383684e-06,"0"
"2170","not-burned",634.184,4.06835,0.500366,243.198,310.018,8.1209,490.182,"15",29.75202,46.52824,27.5645,15.3162,2.220446e-16,"0"
"2171","not-burned",685.477,1.78921,0.527132,429.918,830.31,5.53159,2564.06,"4",27.68003,61.96104,39.72198,9.853816,2.220446e-16,"0"
"2172","not-burned",650.015,3.53863,0.483024,1160.78,843.012,8.1209,1117.79,"4",20.42208,40.14326,32.12927,3.93611,2.220446e-16,"0"
"2173","not-burned",625.346,2.44592,0.457703,5539.52,408.987,2.71723,1002.73,"12",26.55576,86.80018,20.13613,11.88545,2.696017e-13,"0"
"2174","not-burned",669.948,1.82264,0.535354,3353.64,3372.05,1.33888,2732.6,"12",24.88228,83.82405,31.83636,16.04322,2.220446e-16,"0"
"2175","not-burned",693.055,1.5231,0.521967,1231.85,699.195,5.53159,1826.52,"4",28.07885,31.87298,36.87399,11.86693,2.220446e-16,"0"
"2176","not-burned",603.8,0.701154,0.527043,177.26,558.893,5.53159,442.628,"4",22.24036,30.81186,22.93564,4.420698,1.162099e-13,"0"
"2177","not-burned",623.124,3.15569,0.548319,354.519,520.361,5.53159,1394.75,"4",22.18332,42.00574,32.25791,16.62321,2.220446e-16,"0"
"2178","not-burned",620.084,1.14301,0.456417,5969.52,1033.59,2.71723,2651.06,"12",27.35754,90.1294,24.27433,6.77547,2.220446e-16,"0"
"2179","not-burned",669.398,0.359028,0.439252,4590.67,3145.31,3.15662,3793.52,"12",28.10341,36.60911,38.49918,10.62069,2.220446e-16,"0"
"2180","not-burned",648.965,1.92673,0.534116,1182.47,762.423,2.71723,2099.57,"4",23.49144,58.68735,13.95242,14.61661,5.658116e-09,"0"
"2181","not-burned",634.131,0.653999,0.618691,1091.43,271.904,2.14831,2922.34,"4",27.8169,58.33244,13.06239,7.048933,2.32884e-08,"0"
"2182","not-burned",589.82,2.61367,0.541356,1074.36,334.398,2.71723,85.9836,"4",24.2658,70.56895,28.04453,18.33685,2.220446e-16,"0"
"2183","not-burned",582.403,3.81149,0.612325,435.259,203.928,2.71723,765.447,"4",27.8646,38.0757,29.3804,4.322018,2.220446e-16,"0"
"2184","not-burned",681.043,2.24522,0.459552,1946.54,2773.05,1.33888,1709.16,"12",27.09983,77.56303,8.724389,15.45786,7.713705e-06,"0"
"2185","not-burned",638.829,2.07383,0.568021,182.399,2330.3,2.71723,3556.91,"4",27.53463,72.52012,19.95188,11.55212,4.857095e-13,"0"
"2186","not-burned",631.501,3.12263,0.454743,4254.34,0,2.71723,2289.49,"12",21.06288,59.86198,17.19912,14.4179,6.137032e-11,"0"
"2187","not-burned",619.655,2.23743,0.463083,2122.33,1519.99,2.71723,1317.05,"12",28.92216,72.02483,10.61254,13.8574,5.66726e-07,"0"
"2188","not-burned",620.12,2.53964,0.526623,720.674,85.9836,8.1209,576.795,"15",20.02759,48.24884,39.04156,4.405404,2.220446e-16,"0"
"2189","not-burned",626.837,0.563544,0.541684,709.69,1315.3,2.71723,2598.43,"4",23.16414,31.73935,14.7267,4.703204,2.015082e-08,"0"
"2190","not-burned",665.16,1.10584,0.533425,1019.19,212.799,8.1209,887.861,"4",21.72713,85.97672,6.892551,13.97483,6.595158e-05,"0"
"2191","not-burned",618.672,2.23565,0.526793,752.663,407.856,2.71723,1034.04,"4",19.90719,61.40524,9.970361,8.233355,4.684092e-06,"0"
"2192","not-burned",665.14,1.66002,0.528501,1677.23,2495.75,1.33888,1316,"12",25.69237,69.15532,3.805204,15.73424,0.009833471,"0"
"2193","not-burned",617.466,1.59254,0.49992,96.1326,30.3998,5.53159,781.576,"4",20.31912,59.036,17.74291,6.5444,7.098413e-11,"0"
"2194","not-burned",585.174,4.20169,0.536311,4708.04,261.509,2.71723,644.16,"12",25.91357,62.20477,23.04951,5.513655,2.220446e-16,"0"
"2195","not-burned",567.558,1.10561,0.66904,3404.78,67.976,3.15662,343.934,"4",22.25497,34.43867,2.310538,6.172567,0.3488225,"0"
"2196","not-burned",674.609,1.49719,0.542712,1035.38,776.832,5.53159,2826.04,"4",28.89654,30.10153,1.372239,10.80929,0.7592188,"0"
