"Temperature","Relative.Humidity","Precipitation","Wind.speed","Fine.Fuel.Moisture.Code","Duff.Moisture.Code","Drought.Code","Fire.Weather.Index","Initial.Spread.Index","Buildup.Index","Daily.Severity.Rating","Day","Month","Year"
23.7291666666667,82.2864583333333,8.80446545375,4.55520833333333,51.8580068849492,4.2175761409028,12.3670431629721,0.165576729667324,0.347226379112361,4.60622034388788,0.00200900058172859,1,1,1999
24.3984375,81.46875,11.74938267025,4.49427083333333,38.9355946799073,2.60450283034679,10.6376442294094,0.0436803621674561,0.102413918575987,3.17773415664845,0.000213256324813048,2,1,1999
22.9807291666667,89.359375,30.796971771125,5.37890625,20.9214425460674,1.07379863048847,5.34053125,9.50619643373324e-05,0.000338904175365185,1.3564435629872,2.88697277207695e-09,3,1,1999
23.5036458333334,85.453125,4.8060486705,4.54520833333333,31.0681936498532,0.806402697260771,6.7785748366126,0.00356910772781551,0.0130150156205914,1.21941692743939,3.07167637104917e-06,4,1,1999
23.7385416666667,85.6666666666667,10.221782740875,6.28338541666667,30.950913764879,0.681526845102865,6.49899113855053,0.0059993976221659,0.0220924485603298,1.06053421789542,1.2107769680128e-05,5,1,1999
23.2119791666667,86.046875,5.834373635875,7.29729166666667,35.1605129497263,0.649326228111112,7.3230884486405,0.00545021705465498,0.0205061571179995,1.0482684614924,3.25096037044382e-06,6,1,1999
24.3458333333334,80.3125,1.679542069,6.75703125,53.5747039665877,1.37036396052604,12.1621399245164,0.117499625153157,0.364801264039872,2.09749359063185,0.000718896537264004,7,1,1999
24.7052083333334,76.7552083333333,2.133196056,5.85473958333333,60.7714945896283,1.77729659388685,17.8130774245164,0.200526088190935,0.569637247727545,2.80816692319769,0.00173081116351146,8,1,1999
24.2375,76.4895833333333,0.315896522375,8.12,74.3480624968204,2.91860491954831,23.3798274245164,0.475341736804302,1.15584420347358,4.41596556298715,0.00748195983971291,9,1,1999
23.6171875,73.3333333333333,7.171438892125,9.18010416666667,57.4054069297747,2.30260182136891,19.2791164425051,0.206649977605306,0.543384030209379,3.50129250560876,0.0019592311330285,10,1,1999
22.8458333333334,84.15625,3.187717942375,9.25697916666667,55.2013235674486,2.13371919349307,21.4257476470649,0.203890630868967,0.498512553822994,3.37726837803127,0.00239768481586034,11,1,1999
21.9520833333334,89.5416666666667,15.12967992375,6.46557291666667,28.5858008842967,0.950774742894834,11.1186378244705,0.0149436034577961,0.0398999888761531,1.42275456722103,7.27736751418565e-05,12,1,1999
22.7354166666667,88.96875,9.421307086125,6.105625,25.0671123298268,0.566097407077798,8.76396995084265,0.00133642555853955,0.00453679161399435,0.967601382850714,6.05450438181444e-07,13,1,1999
23.034375,87.734375,9.338499260125,4.43614583333333,25.7845326581682,0.580577570578205,6.64576775567123,0.00357922272845813,0.0127132161588172,0.945842719185992,5.50703617492122e-06,14,1,1999
23.646875,82.3177083333333,2.301367505125,6.87572916666667,45.5806995974939,1.17942899190115,10.9937227643494,0.0599515934764277,0.185791373460249,1.85017373881711,0.000322342148832394,15,1,1999
24.7296875,79.84375,1.165187901625,4.94208333333333,59.8176414257878,1.99284354348735,16.6490665143494,0.186614318898893,0.51517417282037,3.03648896191906,0.00155630626312587,16,1,1999
25.3276041666667,73.546875,0.129834493375,6.49,75.0947857684709,3.33074626555202,22.4120352643494,0.471186710959878,1.10428845370882,4.83494565378562,0.0073441002655198,17,1,1999
25.0427083333334,63.2916666666667,0,9.35057291666667,83.2233206020662,5.16793583419786,28.1237227643494,2.06725465808842,2.68577853056069,7.06479577745414,0.102113796943607,18,1,1999
25.2270833333334,66.6770833333333,0.436913515375,8.27432291666667,84.1097708967032,6.84796970185454,33.8685977643494,2.73746668885569,2.87108794043969,9.07935944589036,0.16729351750517,19,1,1999
25.6114583333334,69.65625,0.348355145875,8.68140625,84.1503812204108,8.40067184022303,39.6826602643494,3.24705427380499,2.97231766459244,10.9683711560352,0.228269426951936,20,1,1999
25.8078125,70.1822916666667,0.213664638375,8.821875,84.7920679033198,9.93829612573215,45.5320665143494,3.94602357029361,3.20917411784615,12.8425456348814,0.312117487068988,21,1,1999
25.1140625,68.8333333333333,0.25085148625,8.67296875,85.016498877794,11.5032788158311,51.2565977643494,4.40332513136362,3.27802969240944,14.7211495499418,0.377650483507198,22,1,1999
26.071875,64.5260416666667,0.18491192125,9.22036458333333,85.6796111996268,13.3494147000533,57.1535352643494,5.40439917362353,3.69202739743969,16.8391539453717,0.541856855437359,23,1,1999
26.1567708333334,62.640625,0.07769623225,9.95703125,86.1095551164228,15.2987847493398,63.0657540143494,6.37756272125961,4.06464688159819,19.0302011709848,0.724432036117726,24,1,1999
26.2057291666667,63.9791666666667,0.47652837125,9.46541666666667,85.6978845767426,17.1814216708563,68.9867852643495,6.34599454595943,3.79089223060627,21.1615504721635,0.727632282652326,25,1,1999
26.60625,64.734375,0.751532139625,7.25760416666667,82.7341459149002,18.1771124755504,74.9799102643495,4.83318261786513,2.82698062497198,22.589291868595,0.518938996745497,26,1,1999
25.4489583333334,66.6770833333333,0.138651993125,4.50458333333333,84.3414005256281,19.8703616118872,80.7647227643495,4.82018321282531,2.6282411936589,24.5534838019225,0.487207118303702,27,1,1999
25.4557291666667,69.2916666666667,2.133579425125,4.726875,73.9260028929761,18.8031055920574,84.8238054275704,2.75645999333181,1.54773369162075,23.9327215928556,0.244050221093147,28,1,1999
23.7697916666667,80.7239583333333,4.877483199375,3.84,52.7500167817949,13.3049320222869,83.913622618148,0.269014969022039,0.301066395361791,18.9605790983688,0.00343824016126612,29,1,1999
