"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"1159","burned",837.9390259,0.328451008,0.3611,503.2059937,1915.189941,1.533360004,928.0650024,"41",0.850483290444194,"0"
"1160","burned",719.5510254,3.533109903,0.5134,732.1240234,902.8280029,1.533360004,1246.76001,"4",0.400360308037278,"1"
"1161","burned",844.3569946,1.026229978,0.3287,231.5180054,2865.01001,1.533360004,455.9970093,"41",0.903978576481982,"0"
"1162","burned",843.8800049,1.666839957,0.3068,1386.780029,3658.350098,1.533360004,1678.880005,"41",0.93289019613299,"1"
"1163","burned",837.9559937,0.397567004,0.3791,259.7359924,2131.459961,1.533360004,838.6160278,"41",0.811240336067151,"0"
"1164","burned",839.6480103,0.651126981,0.5904,1074.359985,4498.859863,1.533360004,1135.829956,"9",0.498450777010857,"0"
"1165","burned",840.757019,1.227259994,0.7343,1237.459961,3613.610107,1.533360004,464.0329895,"15",0.0105749706764141,"0"
"1166","burned",643.2420044,2.299629927,0.2108,2066.52002,725.1480103,3.156620026,3112.830078,"4",0.979619078152684,"0"
"1167","burned",652.2349854,1.495440006,0.396,1259.670044,638.3959961,2.717230082,916.5419922,"4",0.758391217838702,"0"
"1168","burned",641.723999,2.467259884,0.3932,851.7369995,615.5490112,2.717230082,1184.030029,"4",0.760522707574911,"0"
"1169","burned",626.3649902,1.039119959,0.6831,1196.449951,1866.560059,3.156620026,1903.329956,"4",0.0378957615959186,"0"
"1170","burned",686.0650024,10.40909958,0.4038,42.9917984,607.9959717,2.717230082,989.7449951,"12",0.62860769421982,"0"
"1171","burned",643.2420044,2.299629927,0.2108,2066.52002,725.1480103,3.156620026,3112.830078,"4",0.979619078152684,"1"
"1172","burned",652.026001,1.071040034,0.3503,1337.589966,0,2.717230082,1903.810059,"12",0.748225949275684,"0"
"1173","burned",647.1630249,1.673810005,0.3312,1733.050049,212.798996,2.717230082,2297.75,"12",0.801679740392035,"1"
"1174","burned",614.3850098,1.485730052,0.3178,3561.449951,85.9835968,2.717230082,4034.02002,"4",0.910248727516099,"0"
"1175","burned",643.3790283,4.499619961,0.3921,2310.580078,472.9100037,2.717230082,2749.629883,"12",0.642428066737033,"1"
"1176","burned",635.9050293,1.373890042,0.4701,2067.189941,30.39979935,2.717230082,2575.560059,"4",0.505983407937412,"0"
"1177","burned",629.7189941,2.210449934,0.498,2614.379883,67.97599792,2.717230082,3075.790039,"12",0.257879772280733,"1"
"1178","burned",630.802002,2.443370104,0.4344,2220.02002,271.9039917,2.717230082,2677.939941,"12",0.469597837003356,"0"
"1179","burned",620.4180298,2.034189939,0.3769,3303.939941,194.654007,2.717230082,3775.449951,"12",0.679278753609953,"0"
"1180","burned",637.9420166,3.047049999,0.3879,2794.469971,395.196991,2.717230082,3255.189941,"12",0.650743328378711,"0"
"1181","burned",625.6160278,2.481329918,0.3761,4330.240234,1033.589966,2.717230082,4076.070068,"12",0.699984194772237,"0"
"1182","burned",635.5809937,1.412750006,0.3651,3556.780029,752.6630249,2.717230082,4022.090088,"4",0.838961895862819,"1"
"1183","burned",626.190979,2.107219934,0.5117,3058.320068,85.9835968,2.717230082,3499.280029,"4",0.366445424134795,"0"
"1184","burned",665.1519775,0.921733022,0.2785,2534.879883,1101.130005,3.156620026,3032.219971,"4",0.948169447228058,"0"
"1185","burned",607.2670288,1.525589943,0.4483,4026.219971,60.79959869,2.717230082,4498.040039,"4",0.595561444122638,"0"
"1186","burned",627.6459961,2.047909975,0.4772,2704.209961,171.9669952,2.717230082,3138.399902,"12",0.320541411154473,"0"
"1187","burned",638.2999878,1.261729956,0.3702,1858.369995,425.5969849,2.717230082,2311.179932,"12",0.689876987586089,"0"
"1188","burned",623.2670288,1.081500053,0.2221,3395.129883,245.0910034,2.717230082,3874.159912,"12",0.954105918157691,"0"
"1189","burned",623.8469849,3.911230087,0.4169,3028.100098,151.9989929,2.717230082,3483.399902,"12",0.54946289015701,"0"
"1190","burned",620.322998,0.272540987,0.5712,3179.209961,30.39979935,2.717230082,3633.379883,"12",0.101069875093894,"1"
"1191","burned",636.776001,2.449749947,0.3457,6351.299805,448.8479919,2.717230082,965.6420288,"12",0.823664760832877,"0"
"1192","burned",672.8079834,15.1473999,0.3571,6430.759766,851.7369995,2.717230082,1524.849976,"12",0.85201739386697,"1"
"1193","burned",645.8699951,2.885250092,0.2558,6346.790039,625.9699707,2.717230082,1196.449951,"12",0.947735599959287,"0"
"1194","burned",635.0529785,2.128129959,0.3724,6223.049805,494.8729858,2.717230082,911.9940186,"12",0.755087582865879,"0"
"1195","burned",636.0390015,0.223012,0.3457,6464.939941,339.8800049,2.717230082,914.5239868,"12",0.816498907473793,"0"
"1196","burned",654.4749756,4.937860012,0.2991,6514.140137,717.4609985,2.717230082,1423.280029,"12",0.911177473545479,"1"
"1197","burned",655.4840088,3.158190012,0.2578,5548.189941,317.3829956,2.717230082,1661.180054,"12",0.94396583362543,"0"
"1198","burned",654.9730225,2.830729961,0.3004,4870.799805,250.6829987,2.717230082,2029.51001,"12",0.8933072976904,"1"
"1199","burned",652.6610107,2.613859892,0.3517,3884.159912,693.2219849,2.717230082,2732.600098,"12",0.780005336085747,"0"
"1200","burned",659.3410034,2.004539967,0.2535,6131.569824,815.7119751,2.717230082,1551.579956,"12",0.948312282953098,"0"
"1201","burned",662.6950073,0.577103972,0.3057,4445.649902,760.6030273,2.717230082,2551.590088,"12",0.8764734687648,"0"
"1202","burned",649.2880249,3.517889977,0.2479,5289.390137,212.798996,2.717230082,1822.209961,"12",0.95010947348779,"0"
"1203","burned",637.3640137,3.193969965,0.4894,4823.22998,399.8469849,2.717230082,1739.439941,"12",0.331699829298717,"1"
"1204","burned",667.2000122,10.51159954,0.305,6049.859863,815.7119751,2.717230082,1671.98999,"12",0.914189900203957,"1"
"1205","burned",645.4660034,2.641230106,0.2969,4654.25,384.5299988,2.717230082,2012.140015,"12",0.89475416064468,"0"
"1206","burned",641.0560303,1.208729982,0.3346,5323.439941,85.9835968,2.717230082,1519.380005,"12",0.831433312331769,"0"
"1207","burned",642.5219727,3.006759882,0.4021,5154,464.0329895,2.717230082,1462.040039,"12",0.652756303425317,"0"
"1208","burned",693.6790161,17.97699928,0.33,6063.52002,886.2990112,2.717230082,1763.449951,"3",0.965482235429796,"0"
"1209","burned",600.6209717,1.918349981,0.3865,3180.959961,1139.48999,2.717230082,1202.619995,"12",0.652025626754938,"0"
"1210","burned",600.3309937,2.218410015,0.383,2791.820068,1101.550049,2.717230082,858.2219849,"12",0.661223550570257,"0"
"1211","burned",579.2449951,1.677829981,0.4476,271.9039917,155.0090027,3.336469889,423.4200134,"15",0.286673650270434,"0"
"1212","burned",581.7180176,2.064599991,0.4029,881.5939941,85.9835968,2.615119934,6013.089844,"4",0.684482157132872,"1"
"1213","burned",637.414978,0.36502701,0.3589,881.5939941,902.8280029,1.611490011,1729.319946,"4",0.839623774054804,"1"
"1214","burned",521.9219971,8.334589958,0.3479,1629.439941,487.3460083,4.401770115,663.940979,"4",0.849691499986968,"1"
"1215","burned",517.6389771,7.973110199,0.3479,1599.390015,457.0090027,4.401770115,656.2410278,"15",0.655549951726412,"1"
"1216","burned",520.4329834,2.153120041,0.6325,548.039978,1406.630005,3.336469889,966.1199951,"15",0.023049284749286,"0"
"1217","burned",502.1029968,3.701819897,0.3358,1676.680054,573.5819702,4.401770115,354.5190125,"15",0.668198387015976,"1"
"1218","burned",505.2369995,1.138769984,0.4266,2220.850098,598.8060303,4.401770115,1349.290039,"15",0.332721966270535,"0"
"1219","burned",507.8250122,2.588639975,0.3913,2427.419922,693.8880005,4.401770115,1511.76001,"15",0.470070931933964,"0"
"1220","burned",537.973999,0.517414987,0.4301,60.79959869,547.1959839,4.401770115,1642.709961,"15",0.296538433542694,"0"
"1221","burned",546.2780151,1.61184001,0.4301,96.13259888,517.6900024,4.401770115,2042.449951,"15",0.303847509839917,"0"
"1222","burned",543.4310303,1.381659985,0.4806,30.39979935,376.0249939,4.401770115,1810,"15",0.169578109033052,"0"
"1223","burned",537.0130005,2.04392004,0.5942,541.2529907,995.7960205,4.401770115,1949.619995,"4",0.102602462215358,"0"
"1224","burned",459.9989929,0.564920008,0.6148,1085.060059,85.9835968,7.751669884,954.572998,"4",0.0584034907836717,"0"
"1225","burned",483.1019897,0.145081997,0.6808,887.8610229,1210.660034,4.205230236,2098.469971,"4",0.0274204462535834,"0"
"1226","burned",459.2420044,1.127959967,0.6956,399.8469849,231.5180054,4.205230236,408.9869995,"15",0.00764202826957591,"0"
"1227","burned",484.7569885,1.602540016,0.4777,1189.089966,1057.459961,4.205230236,2429.129883,"4",0.377641701721999,"0"
"1228","burned",474.8909912,1.435449958,0.5518,0,608.7550049,4.205230236,519.4719849,"4",0.160348255836771,"0"
"1229","burned",458.6059875,0.769237995,0.6039,1007.330017,125.3420029,7.751669884,1053.959961,"4",0.0676293923347836,"1"
"1230","not-burned",774.2979736,5.449930191,0.624135017,4985.939941,587.1170044,1.103440046,3999.159912,"4",0.161110112528369,"1"
"1231","not-burned",820.3809814,0.690985024,0.678775012,834.75,1925.050049,0.672481,10160.90039,"4",0.0508319671449104,"0"
"1232","not-burned",790.1560059,1.11353004,0.619162977,3856.100098,1203.77002,1.103440046,3255.050049,"4",0.15220012344962,"0"
"1233","not-burned",788.0540161,3.414550066,0.574114025,442.6279907,364.7969971,3.511869907,7344.549805,"4",0.18553742039661,"0"
"1234","not-burned",695.1740112,0.709973991,0.568672001,1462.040039,96.13259888,0.672481,3534.75,"25",0.244484281129739,"0"
"1235","not-burned",774.4459839,5.806910038,0.575473011,1642.709961,674.9849854,1.103440046,4445.649902,"3",0.317452566136415,"0"
"1236","not-burned",763.6370239,1.364480019,0.682783008,1526.660034,709.6900024,1.103440046,3397.439941,"3",0.0778166345021772,"0"
"1237","not-burned",725.507019,4.048639774,0.592952013,4984.27002,30.39979935,0.672481,1661.180054,"4",0.227144003047852,"1"
"1238","not-burned",823.9910278,1.270480037,0.387809008,280.2720032,886.2990112,0.895577013,6421.77002,"12",0.681368130116021,"1"
"1239","not-burned",762.9660034,2.662450075,0.610641003,1191.810059,259.7359924,0.895577013,5777.959961,"4",0.136855956647369,"1"
"1240","not-burned",730.0269775,2.294440031,0.590427995,2036.790039,30.39979935,0.672481,4429.720215,"4",0.18201500240405,"0"
"1241","not-burned",785.4069824,2.891560078,0.670135021,1003.190002,457.0090027,0.672481,6971.700195,"4",0.0623497878164702,"1"
"1242","not-burned",747.7719727,2.327320099,0.627889991,818.5390015,912.5,1.103440046,5143.319824,"4",0.103832681523141,"1"
"1243","not-burned",706.2479858,1.611520052,0.503373027,693.2219849,1814.339966,1.103440046,3654.179932,"4",0.408823050278567,"0"
"1244","not-burned",778.289978,2.759560108,0.484347999,3309.110107,182.3990021,3.511869907,3469.439941,"4",0.530559244917024,"0"
"1245","not-burned",672.8530273,2.352859974,0.564495981,1199.540039,85.9835968,0.895577013,7647.040039,"4",0.201782876780437,"0"
"1246","not-burned",782.7999878,2.884959936,0.493387014,3229.399902,194.654007,3.511869907,3438.540039,"4",0.498668876212943,"0"
"1247","not-burned",794.8200073,1.723780036,0.527954996,4293.259766,386.9259949,0.895577013,6654.779785,"12",0.252156139215496,"1"
"1248","not-burned",813.6259766,3.605580091,0.587346971,2134.48999,946.7960205,3.511869907,4453.339844,"4",0.193041546720393,"0"
"1249","not-burned",784.3460083,10.60219955,0.54191798,1971.300049,395.196991,0.895577013,4143.410156,"3",0.478889574336311,"0"
"1250","not-burned",799.3480225,0.064661004,0.228825003,1771.030029,923.072998,0.895577013,6143.240234,"4",0.979370036602947,"0"
"1251","not-burned",741.3449707,2.11548996,0.555158973,455.9970093,109.6080017,0.672481,6825.410156,"4",0.242926839284876,"0"
"1252","not-burned",768.6290283,2.917249918,0.569379985,1349.969971,752.0490112,3.511869907,3228.820068,"4",0.216669455722825,"1"
"1253","not-burned",695.0800171,1.613000035,0.564697027,5174.220215,1215.98999,1.103440046,1063.560059,"4",0.285467645005066,"0"
"1254","not-burned",709.9229736,4.419569969,0.579375029,3801.919922,367.321991,0.895577013,5768.279785,"12",0.124891550949443,"1"
"1255","not-burned",730.2839966,11.03069973,0.617504001,1346.199951,429.9179993,0.895577013,2597,"12",0.0833386336677876,"0"
"1256","not-burned",692.0819702,1.52493,0.571371973,4982.040039,1033.589966,1.103440046,949.7199707,"4",0.262155876589538,"0"
"1257","not-burned",722.1660156,2.69836998,0.616545022,2053.060059,560.5440063,0.672481,5791.700195,"4",0.126847226587151,"0"
"1258","not-burned",802.3239746,1.960000038,0.601782978,3380.810059,425.5969849,1.533360004,2562.429932,"4",0.189101747113906,"1"
"1259","not-burned",667.9240112,2.406800032,0.604269028,954.0889893,426.6809998,1.103440046,1621.47998,"4",0.13647834263163,"0"
"1260","not-burned",759.7290039,2.109149933,0.559598982,4420.640137,1727.449951,3.511869907,4183.370117,"4",0.27169827203202,"1"
"1261","not-burned",739.9210205,1.366700053,0.61115402,2079.669922,30.39979935,3.511869907,1512.060059,"4",0.130032376497869,"0"
"1262","not-burned",664.4019775,1.362650037,0.578963995,60.79959869,30.39979935,3.511869907,826.9639893,"4",0.156739694501144,"0"
"1263","not-burned",788.7180176,6.521029949,0.593670011,2967.52002,516.7960205,1.533360004,1969.189941,"4",0.221398269392928,"0"
"1264","not-burned",735.5839844,1.392060041,0.537729025,3797.540039,709.6900024,3.511869907,4568.569824,"12",0.185619033342205,"0"
"1265","not-burned",827.46698,0.799058974,0.630400002,742.1539917,1990.900024,0.895577013,3548.449951,"4",0.115148612184429,"0"
"1266","not-burned",698.3189697,2.669830084,0.497763008,3145.310059,386.9259949,0.895577013,6814.22998,"4",0.4571923706612,"1"
"1267","not-burned",785.03302,0.982207,0.674678028,1891.640015,1142.319946,0.895577013,4388.529785,"4",0.0623781879842555,"0"
"1268","not-burned",675.6690063,2.563999891,0.512636006,4468.359863,366.0620117,1.103440046,799.6939697,"4",0.450723741328736,"0"
"1269","not-burned",698.7940063,1.692149997,0.583899021,4926.27002,928.0650024,1.103440046,1334.819946,"4",0.228201628035793,"1"
"1270","not-burned",732.1030273,2.940949917,0.556492984,2982.590088,121.598999,3.511869907,775.0460205,"4",0.272838925087363,"1"
"1271","not-burned",751.3599854,2.299299955,0.599256992,1877.910034,1145.959961,3.511869907,2244.23999,"4",0.152778872869111,"1"
"1272","not-burned",805.1519775,0.851648986,0.575223982,1459.189941,707.0809937,3.122620106,3293.580078,"4",0.209142798204202,"0"
"1273","not-burned",658.8049927,11.38220024,0.690164983,4106.790039,257.9509888,1.533360004,3112.830078,"4",0.0599857214299157,"1"
"1274","not-burned",751.927002,0.710210979,0.560141027,5027.740234,883.6879883,3.511869907,4554.390137,"4",0.266822714859115,"0"
"1275","not-burned",793.7789917,0.82713902,0.692386985,3294.560059,261.5090027,0.895577013,4055.840088,"4",0.0544669814133407,"0"
"1276","not-burned",785.757019,1.092210054,0.639387012,366.0620117,516.7960205,0.895577013,5439.779785,"4",0.0897702184466152,"0"
"1277","not-burned",649.0029907,2.508320093,0.564132988,85.9835968,96.13259888,0.895577013,4650.27002,"4",0.196463707474456,"0"
"1278","not-burned",774.7310181,1.358629942,0.512616992,903.8510132,280.2720032,1.533360004,993.9379883,"4",0.41841226894809,"1"
"1279","not-burned",708.7890015,4.774320126,0.618120015,2258.810059,1307.189941,1.103440046,3374.379883,"4",0.133420316140677,"1"
"1280","not-burned",768.8179932,1.807299972,0.614849985,257.9509888,135.9519958,0.895577013,6444.830078,"4",0.119379322734869,"0"
"1281","not-burned",713.7990112,2.591969967,0.622400999,171.9669952,565.4689941,3.511869907,615.5490112,"4",0.100278417409305,"0"
"1282","not-burned",643.5859985,1.532799959,0.75058198,3220.800049,271.9039917,1.103440046,1445.189941,"3",0.0286985498462633,"0"
"1283","not-burned",694.4520264,1.262580037,0.603954971,701.8339844,607.9959717,1.103440046,2029.290039,"4",0.135902156979232,"0"
"1284","not-burned",778.0750122,0.618721008,0.660799026,203.9279938,1539.319946,1.533360004,3757.419922,"4",0.0651027405498574,"0"
"1285","not-burned",761.401001,2.587009907,0.641704023,615.5490112,584.7520142,1.533360004,3889.51001,"4",0.0882223930229558,"0"
"1286","not-burned",783.2470093,7.154019833,0.535256982,1101.130005,1189.089966,3.122620106,1199.540039,"4",0.357501533786764,"0"
"1287","not-burned",807.1010132,1.077069998,0.689126015,3658.350098,858.2219849,1.533360004,4351,"4",0.0576317448966106,"0"
"1288","not-burned",712.2199707,1.243600011,0.602877021,2791.649902,109.6080017,3.511869907,2352.600098,"4",0.141496628195051,"0"
"1289","not-burned",747.5369873,1.163220048,0.534651995,1311.430054,1377.420044,3.122620106,1445.189941,"4",0.313130691496614,"0"
"1290","not-burned",665.8109741,5.235799789,0.726818025,4060.050049,30.39979935,1.103440046,1855.380005,"3",0.048038678630907,"0"
"1291","not-burned",632.0449829,3.38406992,0.617929995,789.223999,221.3139954,1.533360004,214.9589996,"4",0.110344607876111,"0"
"1292","not-burned",657.9110107,3.492899895,0.567874014,2316.969971,214.9589996,1.103440046,775.0460205,"12",0.132515017997193,"1"
"1293","not-burned",758.3129883,1.436190009,0.543453991,2122.98999,1205.689941,3.122620106,3190.679932,"12",0.170713391193677,"0"
"1294","not-burned",693.1829834,3.360090017,0.442088991,3538.149902,1196.449951,0.895577013,2396,"12",0.526195903458458,"0"
"1295","not-burned",695.0889893,6.099510193,0.563139975,3186.179932,669.4860229,1.103440046,826.9639893,"4",0.286240349377905,"0"
"1296","not-burned",645.7269897,2.308749914,0.515982985,2833.060059,1021.900024,0.895577013,1395.079956,"4",0.395001137746839,"0"
"1297","not-burned",750.3200073,2.651499987,0.551622987,2261.879883,389.3070068,3.122620106,1930.810059,"4",0.280740045990498,"0"
"1298","not-burned",702.8289795,1.954710007,0.666287005,836.4089966,978.9489746,3.511869907,1401.359985,"4",0.0543766787901182,"0"
"1299","not-burned",667.7459717,1.694010019,0.562336981,3770.679932,834.75,0.895577013,2352.01001,"4",0.25923137978822,"0"
"1300","not-burned",622.0499878,3.298320055,0.488366008,2828.320068,128.9750061,0.895577013,1371.699951,"12",0.324009917594755,"0"
"1301","not-burned",721.9910278,4.08261013,0.517491996,465.0270081,2067.189941,1.103440046,2748.949951,"12",0.234764179848934,"1"
"1302","not-burned",616.3369751,2.660729885,0.472748011,2547.969971,501.3659973,2.717230082,1118.609985,"12",0.343424734973649,"1"
"1303","not-burned",740.5059814,4.016449928,0.622389019,151.9989929,1400.369995,4.193270206,3499.280029,"4",0.0974562004938681,"0"
"1304","not-burned",704.8770142,2.565730095,0.564103007,1909.150024,657.6480103,3.122620106,603.4190063,"4",0.231414540906935,"0"
