"","OR","2.5 %","97.5 %"
"(Intercept)",1.75122995996691,0.500904386276439,6.12253846584046
"`Wind Speed`",1.06108293325082,1.0291153536949,1.09404352699024
"RH",0.906372693522486,0.899358411994417,0.913441680877175
"Temperature",1.14338070776736,1.10337757535901,1.18483416020959
