"","1"
"X.Intercept.",-0.486399432263223
"X.Intercept..1",0
"Elevation",0.000267306568322624
"Slope",-0.00042616583507669
"NDVI",0
"Hydrography..m.",7.83456647217402e-05
"Road..m.",0.000112062152528278
"LULC",0
"Pop..Density..hab.km².",-0.000114536803128399
