HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;year
0;672,5003057;2,301702752;0,578613636;16155,79561;181,0962304;2,507019997;376,4499436;4;2005
0;789,1302522;2,905496149;0,369685557;2932,192115;2142,256439;0,48012501;1475,013251;12;2005
0;740,9577269;5,520707741;0,533311117;7873,119184;737,087842;0,802272975;5511,66908;4;2005
0;622,515729;1,725407462;0,586373333;10832,57952;244,639557;2,258543042;519,7718887;4;2005
0;712,1743886;2,161939862;0,485538544;1458,840538;2395,397291;2,220340014;1924,001781;4;2005
0;781,2749649;1,372748139;0,647371872;2197,358216;2678,914234;0,672481;9964,197914;4;2005
0;773,3743371;4,493348506;0,51374778;4310,580945;301,3537176;0,48012501;5810,297711;4;2005
0;818,7747555;0,85750426;0,55468223;933,3540115;1759,885382;0,802272975;1346,250592;4;2005
0;679,5687935;1,790966627;0,682740482;235,4549405;196,7844058;1,827925052;525,6120777;4;2005
0;688,6394924;2,614160006;0,482649997;10286,51137;210,986883;1,652780319;3766,112039;12;2005
0;808,9620475;1,289448939;0,672628335;2613,689476;511,7285253;0,672481;1034,900453;4;2005
0;758,8081881;2,102928765;0,473357775;1097,101567;1178,558221;0,920305125;9355,824748;12;2005
0;768,6117797;2,866379689;0,5830875;453,9430497;519,0288736;0,802272975;3767,432441;4;2005
0;766,5382359;2,129559524;0,566427087;2273,790491;639,890683;0,802272975;8417,773058;4;2005
0;784,885757;2,343028429;0,579883328;2953,175394;700,0349758;2,220340014;2544,251291;4;2005
0;798,3377721;2,035867117;0,602571875;2872,017037;283,7525165;0,802272975;2333,358587;4;2005
0;724,7093371;2,303992365;0,483195831;8297,730353;593,4391615;2,507019997;5611,261639;12;2005
0;828,1781355;1,242491947;0,538407773;272,3730529;1208,363179;0,48012501;10612,22868;4;2005
0;705,284471;3,972129382;0,61401889;422,6130021;621,1852633;2,220340014;722,6055097;4;2005
0;751,5851096;1,65273191;0,561625003;3925,160946;594,2120432;0,802272975;855,014852;4;2005
0;772,7142237;1,226532593;0,685042423;992,7088548;1412,847235;0,672481;7075,830486;4;2005
0;827,8055511;0,963990021;0,363054759;761,9928963;2841,568093;0,895577013;13052,09987;12;2005
0;803,7929491;1,166108406;0,627521107;8038,568011;1356,881272;1,103440046;4785,320522;4;2005
0;813,3279132;7,734278808;0,495548885;4810,543224;178,6244954;0,48012501;5839,579942;4;2005
0;736,3335124;1,591075235;0,66638889;2856,936429;1080,229496;1,103440046;3168,569914;4;2005
0;767,2013466;1,585136814;0,5407625;3819,713085;378,7645661;1,103440046;3453,88348;4;2005
0;783,6993754;1,756625657;0,553704166;7064,085605;839,5322242;0,802272975;7120,424198;4;2005
0;734,3386592;1,385605717;0,627155954;2410,382448;176,5628105;2,220340014;1976,844533;4;2005
0;822,9719734;0,885021008;0,534134443;3190,281738;947,581058;0,876207848;7317,819353;4;2005
0;788,327529;2,323030262;0,54441;2148,367822;1110,796926;0,802272975;7796,41874;4;2005
0;751,0232373;1,821260154;0,405126665;1609,98761;1256,598367;0,48012501;1067,412914;12;2005
0;834,646989;1,479412093;0,424862502;3709,133124;1378,411337;0,48012501;12118,36885;12;2005
0;767,6206523;3,056768558;0,437869798;12891,04047;208,3664043;2,507019997;2137,424485;4;2005
0;824,0113188;1,444487566;0,568125557;1360,667617;5224,921069;0,895577013;14116,29243;4;2005
0;713,9018542;2,831215913;0,496607777;606,3142353;418,086092;0,48012501;3205,181382;4;2005
0;828,2061548;1,309461186;0,459526657;5086,945058;1382,990487;2,507019997;8969,127228;12;2005
0;738,5132264;2,978029576;0,522219043;10830,46951;884,5228507;2,507019997;3039,444583;4;2005
0;706,2447394;1,912908846;0,542062118;10940,35913;857,3678599;0,48012501;794,1974143;4;2005
0;826,4845259;0,767898703;0,48169375;2574,749336;3064,418894;0,802272975;5027,528624;12;2005
0;738,4107144;2,146142478;0,525377773;618,0274322;621,8434934;0,802272975;802,3694623;4;2005
0;730,6165568;1,713299406;0,5448375;8565,201015;1489,290329;0,48012501;2682,545747;4;2005
0;827,4944158;0,786670795;0,55251875;6358,610838;1211,899588;2,507019997;5711,521839;4;2005
0;703,814998;1,584976306;0,430730954;9137,693241;206,5573338;0,802272975;5523,481531;4;2005
0;767,9743491;2,48053055;0,489672227;6394,752058;326,0898507;0,48012501;3778,528748;12;2005
0;744,0795855;1,346451303;0,687094877;206,8237741;350,9802003;0,672481;4278,83852;4;2005
0;736,8010353;2,311977653;0,571013093;660,0885507;225,3881285;1,006346325;4506,349701;4;2005
0;806,0816644;1,576284331;0,53231;1045,785339;1437,465501;1,103440046;4889,559923;4;2005
0;777,902928;2,256267114;0,494003122;317,5867994;2356,292974;1,103440046;4686,449775;12;2005
0;814,5418665;1,115414701;0,439648887;1698,665985;4412,765952;0,48012501;4376,265013;4;2005
0;640,930826;1,973232752;0,558305557;8529,179904;255,6424757;2,220340014;802,3036825;4;2005
0;743,3066741;1,612205746;0,625026663;3351,311264;530,2144458;0,802272975;3284,019285;4;2005
0;801,4176715;1,612792278;0,45323555;1381,219367;2606,445283;0,48012501;8030,135043;12;2005
0;742,9352493;2,072296543;0,557288547;6220,791077;92,22136986;0,48012501;4915,369621;4;2005
0;707,4157519;6,168414732;0,515988096;791,9039993;638,1324275;2,220340014;813,7125208;4;2005
0;812,4968169;1,220837409;0,524404443;2575,431574;1658,074866;0,802272975;9095,469077;12;2005
0;796,51079;2,964244824;0,49038;7281,973578;670,0501595;0,48012501;6303,515038;4;2005
0;773,8239487;2,842994102;0,529790191;2140,875289;298,4867258;0,802272975;8442,101846;4;2005
0;767,1473006;1,972791348;0,593018893;4884,853005;660,1709923;0,802272975;6273,541707;4;2005
0;747,7989153;2,244967547;0,411230206;13225,06598;446,1413468;2,507019997;2748,096987;12;2005
0;756,6218933;1,910426466;0,64264778;3633,793325;409,5071859;0,802272975;4304,491751;4;2005
0;744,124294;1,640076623;0,68165415;3151,836109;1107,005759;1,103440046;3647,176626;4;2005
0;759,0504426;2,870713957;0,497711907;8842,664383;204,1513692;0,48012501;4094,666415;4;2005
0;714,6877903;2,957505322;0,546033331;923,153225;1326,685195;2,220340014;1782,149464;4;2005
0;831,0766541;0,858065448;0,568322913;833,2857885;4647,752296;0,895577013;12035,54799;4;2005
0;744,062773;2,714418612;0,519570372;7997,9297;1770,474263;0,48012501;1788,657037;4;2005
0;791,3115952;3,690634456;0,544681247;7639,41261;1966,485358;2,220340014;5023,010757;4;2005
