"","(Intercept)","`Wind Speed`","Precipitation","RH","Temperature"
"full",-2.68851197436997,0.201955687690502,-0.322636564908842,-0.953659147150967,0.545311006327695
"subset",-2.68851197436997,0.201955687690502,-0.390369001439157,-0.953659147150967,0.545311006327695
