"","Temperature","RH","Precipitation","Wind Speed","HAS_FIRE","Prob_fogo","HasFire_Predict"
"67",25.56719,76.54167,6.238389,6.547813,"not-burned",0.0276767079190768,"0"
"68",25.71198,73.86979,2.161885,8.685625,"not-burned",0.0528515207598016,"0"
"69",26.24323,65.42708,0.1992988,8.481719,"not-burned",0.113320685702455,"1"
"70",25.54583,65.80208,0.1187348,5.537552,"not-burned",0.0767437517038899,"1"
"71",25.22917,71.48438,0.3234383,5.350052,"not-burned",0.0485088272519148,"0"
"72",24.8875,79.08333,4.455172,5.466823,"not-burned",0.0205747947511286,"1"
"73",24.69479,82.80729,2.742216,5.290417,"not-burned",0.0171614275551866,"0"
"74",26.01563,68.58854,0.1768354,10.34354,"not-burned",0.10092426191344,"0"
"75",26.40208,55.29167,0.001520075,12.1175,"burned",0.256619136960394,"0"
"76",26.04115,62.47396,0.5666503,11.3575,"not-burned",0.150321737591726,"1"
"77",25.85729,57.6875,0.0123295,10.26661,"not-burned",0.181011207584198,"0"
"78",26.57708,58.13542,0.0008444862,7.695469,"burned",0.177829693601273,"0"
"79",26.86094,60.51042,0.07178133,6.69599,"not-burned",0.156006629363633,"0"
"80",27.50625,58.41146,0.1371446,8.470781,"not-burned",0.223504312398972,"0"
"81",26.74531,57.91667,0.1121478,8.754219,"not-burned",0.197860934999699,"1"
"82",27.27552,57.26042,0.02432121,5.55526,"not-burned",0.191183313084471,"0"
"83",27.76042,55.59375,0.0008444862,6.53349,"not-burned",0.245117427989345,"1"
"84",28.01615,54.16146,0.05962073,7.443802,"not-burned",0.289681091611533,"0"
"85",27.34844,62.625,0.6426541,6.696302,"not-burned",0.150031695155615,"0"
"86",26.95885,64.01042,0.2006499,7.068698,"not-burned",0.133258573552906,"0"
"87",27.41302,60.18229,0.003884637,9.059219,"not-burned",0.208567211968624,"1"
"88",27.49271,52.24479,0,10.63224,"not-burned",0.337666609672791,"0"
"89",26.68021,53.90104,0,9.611146,"not-burned",0.253068913285309,"0"
"90",27.03802,53.90625,0.01790311,9.633021,"not-burned",0.272156111722401,"0"
"91",26.50729,52.98958,0,9.436979,"not-burned",0.2529049497613,"1"
"92",26.35885,54.82812,0.000488341,9.254219,"not-burned",0.221267220431057,"0"
"93",26.57604,56.8125,0.01306312,7.988854,"not-burned",0.194080932019582,"1"
"94",26.45625,60.52604,0.06397267,8.412865,"not-burned",0.158106563453092,"1"
"95",27.05677,59.23958,0.08692469,8.716094,"not-burned",0.197561696506981,"1"
"96",27.60938,55.11458,0.05664755,10.62057,"not-burned",0.302641607605861,"0"
"97",27.25417,51.96354,0.002807961,9.797865,"not-burned",0.31359569314805,"0"
"98",27.78646,49.45312,1.6656e-13,7.435208,"not-burned",0.343490036695726,"1"
"99",28.41406,48.42708,1.6656e-13,5.917656,"not-burned",0.372728732648668,"0"
"100",27.3849,54.45312,0.4434136,6.673438,"not-burned",0.235852085200484,"0"
"101",26.75677,57.71354,0.003662557,8.233906,"not-burned",0.195598187268616,"1"
"102",26.07917,49.94792,1.6656e-13,9.646771,"burned",0.271680524319426,"0"
"103",26.05208,51.08333,1.6656e-13,10.81656,"not-burned",0.272710641040342,"1"
"104",26.7875,55.14583,1.6656e-13,12.05104,"not-burned",0.278351180176792,"1"
"105",25.65052,50.60417,1.6656e-13,10.02807,"not-burned",0.246215532296959,"1"
"106",25.07396,50.30729,1.6656e-13,9.849792,"not-burned",0.218978419009786,"1"
"107",25.49375,54.42708,1.6656e-13,10.4787,"not-burned",0.201133370194839,"1"
"108",25.84531,53.55729,1.6656e-13,12.56568,"not-burned",0.255428558101572,"0"
"109",25.84271,52.94271,1.6656e-13,11.72646,"not-burned",0.251094618323071,"0"
"110",25.2125,55.14583,0.001587108,10.57464,"not-burned",0.182895892196647,"0"
"111",25.38958,56.19792,1.6656e-13,10.43578,"not-burned",0.17839607100974,"1"
"112",25.16927,57.21354,0.001220853,10.68969,"not-burned",0.163043701258503,"1"
"113",24.91198,57.86458,1.6656e-13,7.820104,"not-burned",0.12314503079622,"0"
"114",25.61823,53.58854,0.004761325,9.364635,"not-burned",0.202095774744597,"0"
"115",25.64063,56.0625,0.002197534,8.912187,"not-burned",0.173244978677376,"1"
"116",25.86771,55.27083,1.6656e-13,8.937031,"not-burned",0.190573512721322,"1"
"117",25.98698,54.34896,0.001342938,7.470104,"not-burned",0.188114410372729,"0"
"118",26.575,57.90625,0.02087658,4.744583,"not-burned",0.149580239180047,"1"
"119",25.69427,67.27604,1.559029,9.502552,"not-burned",0.0867912673173599,"0"
"120",25.34271,68.55208,0.3220609,7.985104,"not-burned",0.0719995910437411,"1"
"121",25.0849,66.47396,0.3564889,5.641823,"not-burned",0.0648759602441907,"1"
"122",26.04063,65.98438,0.4653449,8.538333,"not-burned",0.102943952822941,"0"
"123",26.44427,59.95312,0.4788052,10.96547,"not-burned",0.185665245128692,"0"
"124",25.53906,60.55208,0.01085072,10.34234,"not-burned",0.144387822191235,"0"
"125",24.89688,56.43229,0,7.928854,"not-burned",0.134106901091941,"1"
"126",25.10104,54.72917,0,8.518229,"not-burned",0.160665960494909,"0"
"127",25.18594,53.60417,0,9.580625,"burned",0.185882213616012,"1"
"128",24.98125,51.25521,0,9.943177,"not-burned",0.20548057805173,"0"
"129",24.45573,55.30208,0,9.680156,"not-burned",0.14403337653326,"1"
"130",24.6026,51.58333,0,9.10276,"not-burned",0.176410420853171,"0"
"131",23.81823,50.14062,0,8.428229,"not-burned",0.152814785427247,"0"
"132",24.30052,50.54167,0,7.199583,"not-burned",0.154784882082967,"0"
"133",24.76771,51.14583,0,7.712344,"not-burned",0.172186503575753,"0"
"134",26.1151,51.04688,0.001922913,5.358333,"not-burned",0.202978142852357,"0"
"135",26.42031,55.20312,0.1520474,9.55474,"not-burned",0.22189203731294,"0"
"136",25.64531,58.36979,0.09078895,11.57167,"not-burned",0.179279133408471,"0"
"137",24.56875,60.03646,0.04257878,7.753385,"not-burned",0.099026436187693,"0"
"138",25.50781,55.46354,0,4.183698,"not-burned",0.128742825599044,"0"
"139",26.1349,56.73438,0.02444846,5.231667,"not-burned",0.14850816431628,"0"
"140",26.17083,57.25,0.009614563,8.652969,"not-burned",0.180291376161013,"0"
"141",25.65885,56.86458,0.08708047,12.58047,"not-burned",0.206950253813944,"0"
"142",24.65365,59.69271,0,9.334792,"not-burned",0.114939084436126,"0"
"143",24.68646,59.14583,0.03598594,7.6875,"not-burned",0.107008651267909,"0"
"144",25.01667,61.86979,0,5.25,"not-burned",0.0840804441010299,"1"
"145",25.86615,55.90104,0.0229376,8.662969,"not-burned",0.180919014304264,"0"
"146",24.53281,59.26562,0.01332304,13.62568,"not-burned",0.150846354043836,"0"
"147",23.41302,60.24479,0.0004120526,10.24224,"not-burned",0.0869175088213492,"1"
"148",22.78906,57.59896,0,7.5975,"not-burned",0.0726086196241172,"0"
"149",22.41354,54.03125,0,9.219896,"not-burned",0.0914520381478672,"1"
"150",23.23125,56.44271,0,7.108698,"not-burned",0.0842469862275784,"0"
"151",23.65521,62.20833,0,8.10849,"not-burned",0.0709135781556701,"0"
"152",24.33073,56.45833,0,5.86349,"not-burned",0.101862747393453,"0"
"153",24.52292,50.90104,0,7.131302,"not-burned",0.159104907778629,"0"
"154",24.41094,49.05208,0,7.234948,"not-burned",0.172671569586076,"0"
"155",24.33958,47.88542,0,7.439844,"not-burned",0.183214250134976,"0"
"156",25.7875,50.63021,0,4.234896,"not-burned",0.1803046263357,"0"
"157",26.57031,45.89583,0,6.042187,"not-burned",0.29870364021779,"0"
"158",25.58906,49.05208,0,6.189583,"not-burned",0.210829941051065,"0"
"159",25.95729,53.40625,0,6.100937,"not-burned",0.180858031436718,"0"
"160",26.20521,54.15625,0.02565589,7.970729,"not-burned",0.20521394355359,"0"
"161",26.17031,59.42188,0.08959673,8.335833,"not-burned",0.156248178248408,"0"
"162",25.41094,64.13542,0.2448248,5.616719,"not-burned",0.0817595891280968,"0"
"163",23.94323,75.0625,2.782272,4.309635,"not-burned",0.0213928064549301,"0"
"164",23.97656,69.54167,0.8521136,4.678906,"not-burned",0.0361626412659473,"1"
"165",23.11667,73.71875,0.9982925,9.600938,"not-burned",0.0311297287826355,"0"
"166",22.15677,68.26042,0.08482354,13.63297,"not-burned",0.0484572482774503,"0"
"167",21.58281,60.86458,0,9.895573,"not-burned",0.0510395806888987,"1"
"168",21.97708,55.60938,0,8.132396,"not-burned",0.0690864961987766,"0"
"169",20.9901,52.07292,0,8.283958,"not-burned",0.0672528523876672,"0"
"170",21.28281,51.47396,0,7.962656,"not-burned",0.0735328145165989,"0"
"171",23.02604,50.83333,0,8.327135,"not-burned",0.12089313550567,"1"
"172",23.56146,52.42708,0.0003977656,10.08672,"not-burned",0.140648846813529,"1"
"173",22.93802,55.99479,0,10.18688,"not-burned",0.0990159809342016,"0"
"174",22.53646,49.79688,0,12.03479,"not-burned",0.144938580927739,"0"
"175",21.67552,59.68229,0,8.666667,"not-burned",0.051602337212943,"0"
"176",22.3724,52.48958,0,9.8175,"not-burned",0.103235797031961,"1"
"177",22.44427,50.53646,0,14.07417,"not-burned",0.154871760637999,"0"
"178",22.52135,55.06771,0.001591063,14.70057,"not-burned",0.127168028452196,"0"
"179",21.18698,50.13542,0,13.14802,"not-burned",0.110453111536121,"1"
"180",22.23906,55.9375,0.0004972071,14.25521,"not-burned",0.109665369411924,"0"
"181",22.12396,58.57292,0.03003131,12.54448,"not-burned",0.0810424698274091,"0"
"182",21.8776,60.86979,0.3677344,12.90922,"not-burned",0.0663367059881378,"0"
"183",22.18594,53.84896,0.0004199329,12.79641,"not-burned",0.111007428256051,"0"
"184",21.52917,57.93229,0.05081188,12.66229,"not-burned",0.0729012561665511,"0"
"185",22.30313,57.78646,0.0005599105,13.90062,"not-burned",0.0976022078466388,"0"
"186",21.87396,64.5,0.4617862,12.79635,"not-burned",0.0522171267147743,"0"
"187",22.61823,60.23958,0.02841546,11.95896,"not-burned",0.0798195767175741,"0"
"188",22.63854,57.59375,0.001259799,9.772031,"not-burned",0.0811675958443939,"1"
"189",24.04531,46.68229,0,7.135937,"not-burned",0.179524350133401,"0"
"190",23.84844,45.02604,0,5.699427,"not-burned",0.171900756496728,"0"
"191",23.8401,48.14062,0,10.35688,"not-burned",0.192804582278411,"0"
"192",23.11198,54.67188,0,9.841302,"not-burned",0.109169995572125,"0"
"193",22.84531,51.14062,0,8.205729,"not-burned",0.112744766480153,"0"
"194",22.10938,51.32812,0,7.484948,"not-burned",0.0885210542956095,"0"
"195",22.02031,52.08854,0,7.88776,"not-burned",0.0850023640614144,"0"
"196",22.69063,49.04167,0,8.532396,"not-burned",0.12524393798919,"0"
"197",22.79323,49.63542,0,8.420625,"burned",0.123179607212045,"1"
"198",22.68073,48.52083,0,6.785729,"burned",0.114828916939399,"0"
"199",23.88958,43.34375,0,5.50875,"not-burned",0.187739521763499,"0"
"200",24.52448,47.59896,0,7.112188,"not-burned",0.190098021247161,"0"
"201",25.25313,46.41667,0,9.964427,"not-burned",0.277160204719394,"0"
"202",24.51563,52.79688,0,10.1287,"not-burned",0.172501558236052,"0"
"203",24.77135,51.59375,0.0004199329,7.218333,"not-burned",0.163092160569652,"1"
"204",24.77031,48.86458,0,8.607083,"not-burned",0.205335702313093,"0"
"205",23.59688,53.35417,0.007138859,13.74781,"not-burned",0.16955545942627,"0"
"206",22.61979,56.25521,0.03485443,12.975,"not-burned",0.108330071499891,"0"
"207",22.43073,57.88542,0.006578949,12.77927,"not-burned",0.0928413978405489,"1"
"208",22.42813,59.00521,0.001679732,11.29693,"not-burned",0.0784494561901765,"0"
"209",21.56094,55.42708,0,8.826042,"not-burned",0.0658720942899402,"0"
"210",21.88698,50.30208,0,10.55526,"not-burned",0.109369759860614,"0"
"211",21.71406,48.44271,0,12.34245,"not-burned",0.131262908192149,"0"
"212",21.50885,53.25521,0.006159016,13.9463,"not-burned",0.104989641348311,"1"
"213",21.67604,56.72396,0.2050672,14.43651,"not-burned",0.0909231650716564,"0"
"214",21.48333,52.47917,0,10.86177,"not-burned",0.0887993198915947,"0"
"215",21.5401,50.52604,0,8.993021,"not-burned",0.0891679024966936,"0"
"216",22.74375,58.39062,0.003332221,11.45318,"not-burned",0.089090411640664,"0"
"217",22.99531,56.09896,0.01360657,13.09255,"not-burned",0.120909109822181,"1"
"218",22.95833,47.95312,0,12.2787,"not-burned",0.179532578406335,"1"
"219",22.29479,55.19271,0,9.836771,"not-burned",0.0863543819641318,"1"
"220",23.22135,52.61458,0,7.757708,"burned",0.110134132833179,"0"
"221",23.83646,47.10417,0,8.381146,"not-burned",0.180632387333314,"0"
"222",23.97656,44.125,0,8.665938,"not-burned",0.221509109324194,"0"
"223",23.99844,42.76042,0,7.4,"not-burned",0.221721401527424,"1"
"224",25.42552,38.07812,0,5.516458,"not-burned",0.332798456624602,"0"
"225",25.88438,41.60938,0,8.946667,"not-burned",0.366985723128232,"0"
"226",25.03698,48.72396,0,11.45609,"not-burned",0.257620103530585,"0"
"227",24.56875,52.45833,0.03832054,8.673594,"not-burned",0.162147609710944,"0"
"228",25.38385,52.52083,0,7.796719,"not-burned",0.184785276617184,"0"
"229",25.54323,47.11458,0.02860156,7.417708,"not-burned",0.246725846317384,"0"
"230",26.14635,50.04688,0.0004165276,6.545417,"not-burned",0.230572333415085,"0"
"231",27.41198,46.17708,0,7.67,"not-burned",0.37315664205381,"0"
"232",27.16875,45.27604,0.0002776851,12.96875,"not-burned",0.46703161486227,"1"
"233",26.47969,46.3125,0,11.95276,"burned",0.385658049978501,"0"
"234",26.8026,42.33333,0,8.909948,"not-burned",0.415255468193065,"0"
"235",25.99948,55.53646,0.00166611,11.67,"not-burned",0.227237669653051,"0"
"236",26.23438,52.14583,1.006053,13.3075,"not-burned",0.291404786566505,"0"
"237",24.66979,55.25521,0.06761632,14.47906,"not-burned",0.202995247662024,"0"
"238",23.85313,52.53646,0.0004165275,12.34688,"not-burned",0.172448966371644,"0"
