"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"183","burned",752.309021,2.055190086,0.6265,442.6279907,1961.910034,1.195629954,1430.083252,"4",0.237318447848424,"1"
"184","burned",717.2449951,1.628409982,0.6379,4179.390137,96.13259888,0,2928.022461,"4",0.277185554918528,"0"
"185","burned",713.5150146,2.2177701,0.6553,3509.560059,288.3980103,0,871.0482178,"4",0.24542022103811,"0"
"186","burned",714.9180298,0.456930012,0.6175,1558.420044,435.2590027,6.438739777,509.5933838,"4",0.442995189277116,"0"
"187","burned",709.4219971,3.933310032,0.3984,96.13259888,548.039978,5.438560009,654.831543,"4",0.852885051639125,"1"
"188","burned",709.3900146,1.111199975,0.6881,1665.339966,182.3990021,6.438739777,480.6629028,"4",0.241102527713547,"0"
"189","burned",731.1589966,1.691849947,0.3671,1806.170044,834.75,6.438739777,860.3731689,"15",0.758580939153006,"0"
"190","burned",717.2080078,0.607765973,0.5046,1169.900024,109.6080017,6.438739777,151.9989624,"4",0.780501272846696,"1"
"191","burned",753.6560059,2.771009922,0.3689,1856.630005,1290.109985,6.438739777,910.9798584,"15",0.680916463036333,"1"
"192","burned",725.4810181,3.640360117,0.5527,413.4819946,231.5180054,6.438739777,584.7516479,"15",0.224775448561932,"1"
"193","burned",739.8140259,3.005300045,0.4998,317.3829956,883.6879883,6.438739777,435.2587891,"4",0.649409944444228,"0"
"194","burned",727.0339966,1.096930027,0.3841,312.9849854,1305.780029,5.438560009,1277.153076,"4",0.900587649536404,"0"
"195","burned",753.6129761,2.7557199,0.3629,1459.189941,1538.119995,6.438739777,435.2587891,"15",0.694501251958181,"1"
"196","burned",716.7750244,4.520720005,0.4626,395.196991,339.8800049,5.438560009,435.2587891,"4",0.716478754088796,"1"
"197","burned",726.5219727,0.407353997,0.6106,2335.840088,656.2410278,0,1220.921631,"4",0.424262681973902,"1"
"198","burned",737.447998,3.534100056,0.3754,1387.780029,494.8729858,6.438739777,151.9989624,"4",0.893250718366759,"1"
"199","burned",769.5419922,1.779989958,0.4529,1484.619995,926.5700073,6.438739777,1386.7771,"15",0.504299819381758,"1"
"200","burned",769.2659912,2.185440063,0.5235,339.8800049,709.6900024,6.438739777,699.8557739,"4",0.627251586563335,"1"
"201","burned",723.2189941,2.04260993,0.3829,1934.390015,182.3990021,6.438739777,679.7600098,"15",0.748927028661934,"0"
"202","burned",769.0999756,2.352089882,0.3613,652.7109985,1441.98999,5.438560009,674.9849243,"4",0.902746357733987,"0"
"203","burned",747.9229736,0.827162027,0.4223,163.7079926,750.8189697,5.438560009,809.4569092,"4",0.882254961327118,"0"
"204","burned",724.757019,0.817103982,0.6346,2002.23999,490.1820068,0,1065.728394,"4",0.354334895265424,"1"
"205","burned",721.1309814,0.317517996,0.5582,1398.719971,192.2649994,6.438739777,1265.157349,"12",0.311033578334999,"1"
"206","burned",729.0620117,2.465070009,0.6201,3266.389893,864.6589966,0,2022.443115,"4",0.26518514376792,"1"
"207","burned",719.3010254,1.298140049,0.6199,2977.469971,257.9509888,0,1733.05481,"4",0.364902478410272,"1"
"208","burned",751.7520142,1.693910003,0.6645,2855.149902,1180.51001,0,2042.449829,"4",0.184678042383126,"1"
"209","burned",816.742981,2.752079964,0.5248,271.9039917,1853.140015,0,4019.790527,"4",0.432142541134117,"0"
"210","burned",756.6989746,1.846019983,0.5466,2553.580078,67.97599792,6.438739777,590.2572021,"4",0.602252414887613,"1"
"211","burned",749.6890259,2.646070004,0.4462,2767.050049,163.7079926,6.438739777,795.6386719,"15",0.538972304878998,"1"
"212","burned",780.0599976,1.898530006,0.424,1473.369995,699.1950073,6.438739777,1897.736084,"12",0.575049765117711,"1"
"213","burned",753.4210205,1.438989997,0.3878,2523.919922,121.598999,6.438739777,804.8771973,"3",0.947219442470628,"1"
"214","burned",759.5209961,0.775358975,0.412,1539.319946,121.598999,6.438739777,1510.230347,"4",0.90154409203686,"1"
"215","burned",755.4630127,1.207360029,0.3839,2190.679932,121.598999,6.438739777,954.088623,"3",0.951783170006091,"1"
"216","burned",813.6530151,1.229150057,0.5469,135.9519958,2700.800049,0,4961.037598,"4",0.359368284688725,"1"
"217","burned",754.617981,2.474600077,0.3839,2310.379883,30.39979935,6.438739777,788.6387939,"12",0.720675556808709,"1"
"218","burned",756.6799927,0.854152024,0.3839,2133.409912,163.7079926,6.438739777,1037.608643,"4",0.927330467199349,"1"
"219","burned",760.8280029,3.740780115,0.4046,1473.369995,303.9979858,6.438739777,1699.400024,"4",0.836754875795594,"0"
"220","burned",773.367981,2.807450056,0.4265,1884.790039,693.2219849,6.438739777,790.9790039,"4",0.81820082673148,"1"
"221","burned",756.3070068,0.469716996,0.4744,2006.390015,0,6.438739777,989.7454834,"4",0.829357513034087,"1"
"222","burned",758.7730103,1.76027,0.4546,1854.640015,42.9917984,6.438739777,1118.613159,"4",0.823904866339501,"1"
"223","burned",459.7950134,1.502760053,0.2787,2063.610107,1767.380005,2.478929996,516.7964478,"4",0.96297943622862,"0"
"224","burned",451.2550049,2.643349886,0.3406,4343.02002,96.13259888,12.19499969,2055.079834,"4",0.926701845041942,"0"
"225","burned",462.4840088,0.681640029,0.2064,792.7299805,1124.790039,12.19499969,516.7964478,"15",0.964360971131552,"1"
"226","burned",462.6090088,0.997003973,0.2313,725.1480103,1003.190002,12.19499969,605.7115479,"15",0.950853896064148,"1"
"227","burned",467.8880005,0.468795002,0.3841,203.9279938,317.3829956,7.641960144,42.9917984,"4",0.940262661550403,"1"
"228","not-burned",779.2299805,1.119650006,0.587091982,2455.620117,3453.419922,0,6799.842773,"4",0.174177623972371,"1"
"229","not-burned",769.822998,1.297039986,0.614208996,1818.150024,4160.439941,0,7205.007324,"4",0.104376862914686,"1"
"230","not-burned",772.6550293,1.441669941,0.613976002,2839.090088,3888.320068,0,7643.477539,"4",0.10155135266068,"1"
"231","not-burned",807.8920288,2.01602006,0.599509001,671.5529785,1644.119995,0,12652.48633,"4",0.140741447851719,"1"
"232","not-burned",762.3029785,1.199360013,0.612671971,3052.870117,3225.959961,0,8909.005859,"4",0.11488240815622,"0"
"233","not-burned",814.7230225,0.713473022,0.597078025,3119.350098,2930.070068,0,9302.535156,"4",0.154071909819096,"0"
"234","not-burned",762.8759766,2.27361989,0.590708971,494.8729858,299.4030151,0,13976.40137,"4",0.188612343639665,"1"
"235","not-burned",816.3569946,1.534459949,0.586224973,3362.300049,2010.300049,0,6754.023926,"4",0.227356981189167,"1"
"236","not-burned",785.8839722,1.59484005,0.585828006,920.0650024,2300.159912,0,10505.53613,"4",0.172819316073608,"1"
"237","not-burned",732.6229858,1.68245995,0.504983008,1581.079956,520.3610229,0.0123088,4394.11084,"4",0.622256496153071,"0"
"238","not-burned",784.9050293,1.065670013,0.608039021,1754.26001,1440.390015,0,10661.83594,"4",0.179715258109472,"0"
"239","not-burned",759.9760132,0.688947976,0.603273988,423.4200134,422.3269958,0,12294.52637,"4",0.237459814012302,"1"
"240","not-burned",749.5579834,0.664858997,0.595475972,182.3990021,1191.810059,0,6549.797363,"4",0.321627833275831,"0"
"241","not-burned",789.8519897,1.809839964,0.601809978,1519.98999,1182.859985,0,7707.53125,"4",0.227486119302732,"0"
"242","not-burned",755.6430054,2.465250015,0.569849014,1282.930054,654.8319702,0,6731.820801,"4",0.331827242244666,"1"
"243","not-burned",784.6879883,2.021600008,0.609591007,1474.619995,2705.75,0,7041.342285,"4",0.146509246751765,"1"
"244","not-burned",797.2509766,3.008110046,0.566586971,2671.030029,2507.75,0,6231.95752,"4",0.205277812246829,"0"
"245","not-burned",769.7559814,1.91305995,0.602258027,709.6900024,2067.189941,0,6945.537598,"4",0.196024003428362,"1"
"246","not-burned",775.742981,1.246819973,0.601172984,2337.820068,2452.040039,0,11408.83594,"4",0.132516413266309,"0"
"247","not-burned",789.2119751,0.215693995,0.586435974,1150.780029,1805.660034,0,8527.995117,"4",0.275836101584082,"0"
"248","not-burned",730.8770142,1.874289989,0.674697995,2849.810059,286.7909851,0.0123088,6895.125977,"4",0.137974104175684,"1"
"249","not-burned",728.8880005,2.374739885,0.434796005,1156.790039,257.9509888,0.0123088,11211.21875,"12",0.340655734900866,"0"
"250","not-burned",733.6859741,1.422320008,0.536611974,1604.290039,840.8170166,0,5356.664063,"4",0.493810567558826,"1"
"251","not-burned",790.8969727,1.039489985,0.490233988,1256.72998,818.5390015,0.292205989,825.845459,"4",0.74479132167152,"1"
"252","not-burned",731.4140015,1.342579961,0.589776993,1607.73999,1728.52002,0,2891.977539,"4",0.332838210973354,"1"
"253","not-burned",728.0310059,4.34487009,0.574016988,565.4689941,516.7960205,0.0123088,12451.30371,"4",0.168083030761264,"1"
"254","not-burned",771.7160034,2.653320074,0.585263014,705.117981,1031.800049,0,7758.679688,"4",0.247301632219531,"0"
"255","not-burned",781.9089966,2.640799999,0.593421996,1139.48999,1292.619995,0,7977.324707,"4",0.20909144291984,"1"
"256","not-burned",792.7340088,1.087790012,0.54668498,775.0460205,1031.800049,0.292205989,280.2722168,"4",0.594117526906097,"0"
"257","not-burned",805.7609863,1.426720023,0.410971999,1210.660034,1768.939941,0.672482014,554.7441406,"4",0.84493660352515,"1"
"258","not-burned",742.1450195,2.462100029,0.580281973,3833.389893,773.8519897,0.0123088,8906.256836,"4",0.234223316012342,"0"
"259","not-burned",785.6870117,2.18708992,0.525729001,366.0620117,1569.050049,1.195629954,3681.513916,"4",0.486212466505796,"0"
"260","not-burned",773.8330078,1.08660996,0.57644397,683.1500244,912.5,0.292205989,1564.925049,"4",0.484282987840931,"1"
"261","not-burned",733.7020264,1.672780037,0.466219008,273.5979919,851.7369995,0.0123088,12575.56055,"4",0.538414858796169,"0"
"262","not-burned",764.276001,1.463790059,0.594329,1428.790039,773.8519897,0.292205989,3345.634766,"4",0.373448393988809,"1"
"263","not-burned",719.9160156,2.002460003,0.703378022,2849.810059,30.39979935,0,7570.952148,"4",0.100348074110474,"0"
"264","not-burned",790.8740234,1.106960058,0.538607001,0,2015.119995,0.292205989,257.9507751,"4",0.55254895824784,"1"
"265","not-burned",770.6209717,0.777661979,0.600054979,2534.879883,992.5430298,0.0123088,5127.571777,"4",0.324137890914197,"1"
"266","not-burned",754.4299927,2.821959972,0.586962998,752.0490112,2672.76001,0,3029.167969,"4",0.227177041014383,"0"
