HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;Temperature;RH;Precipitation;Wind Speed;year
1;814,6989746;0,39637199;0,6234;2707,120117;2406,389893;0;5838,026367;4;27,19734848;33,06439394;0;10,98018939;2005
1;807,0159912;0,627897978;0,6155;1604,290039;969,4630127;0;6509,815918;4;27,19734848;33,06439394;0;10,98018939;2005
1;788,4400024;1,867799997;0,3246;1733,050049;1551,579956;1,961470008;3908,23584;4;25,91742424;71,60984848;1,423789468;4,304128788;2005
1;796,3099976;1,280200005;0,4061;4058,570068;2085,209961;8,214019775;3891,648193;4;27,19734848;33,06439394;0;10,98018939;2005
1;782,6049805;2,017369986;0,2547;2300,969971;1648,609985;8,214019775;3911,19043;4;28,56856061;30,78409091;0;10,33462121;2005
1;794,1140137;2,522459984;0,2673;3288,379883;1985,089966;8,214019775;3628,670654;4;27,19734848;33,06439394;0;10,98018939;2005
1;769,0510254;3,116739988;0,6296;250,6829987;1709,160034;0;4711,575684;4;27,19734848;33,06439394;0;10,98018939;2005
1;782,6049805;2,017369986;0,2547;2300,969971;1648,609985;8,214019775;3911,19043;4;27,19734848;33,06439394;0;10,98018939;2005
1;790,6430054;1,573009968;0,6382;580,7869873;1006,409973;0;5508,657227;4;27,19734848;33,06439394;0;10,98018939;2005
1;803,184021;1,627920032;0,5719;1681,630005;2545,25;0;4742,757324;4;27,19734848;33,06439394;0;10,98018939;2005
1;796,3099976;1,280200005;0,4061;4058,570068;2085,209961;8,214019775;3891,648193;4;28,56856061;30,78409091;0;10,33462121;2005
1;782,6010132;2,073600054;0,2409;914,5239868;1740,23999;1,961470008;3921,455322;4;27,78484848;33,68560606;0;9,207159091;2005
1;775,1729736;2,084209919;0,2387;2288,679932;1114,890015;1,961470008;3418,456299;4;27,19734848;33,06439394;0;10,98018939;2005
1;790,0469971;2,659590006;0,1788;1615,77002;1551,579956;1,961470008;3898,765869;4;27,78484848;33,68560606;0;9,207159091;2005
1;790,2639771;1,325459957;0,6022;826,9639893;838,6160278;0,292205989;732,1239624;4;26,46931818;53,54924242;0,322149796;12,86617424;2005
1;716,1329956;3,05644989;0,5103;125,3420029;286,7909851;1,961470008;413,4818726;4;27,78484848;33,68560606;0;9,207159091;2005
1;764,5789795;0,965530992;0,5107;2553,580078;587,1170044;1,961470008;2168,849854;4;28,09621212;33,48863636;0;12,87094697;2005
1;759,9019775;2,164489985;0,3166;1673,089966;583,9609985;1,961470008;1951,515137;4;28,09621212;33,48863636;0;12,87094697;2005
1;760,6790161;2,426599979;0,5151;1459,189941;886,2990112;1,961470008;1070,918701;4;28,09621212;33,48863636;0;12,87094697;2005
1;767,5319824;2,420589924;0,2181;826,9639893;2512,169922;1,961470008;2526,111084;4;28,35151515;33,63257576;0;10,28625;2005
1;718,309021;1,523769975;0,5993;605,7119751;317,3829956;1,961470008;245,0909576;4;28,09621212;33,48863636;0;12,87094697;2005
1;747,4829712;3,745349884;0,2446;919,0599976;2555,209961;1,961470008;2243,208008;4;28,35151515;33,63257576;0;10,28625;2005
1;749,5579834;3,004839897;0,3082;2619,330078;30,39979935;1,961470008;2383,622803;4;27,19734848;33,06439394;0;10,98018939;2005
1;755,5910034;2,659919977;0,3475;271,9039917;2072,77002;1,961470008;1754,255005;4;28,35151515;33,63257576;0;10,28625;2005
1;756,4229736;2,909189939;0,3423;2623,909912;1070,920044;1,961470008;2163,730713;4;27,19734848;33,06439394;0;10,98018939;2005
1;724,0159912;1,761520028;0,5227;346,6109924;699,1950073;1,961470008;310,0182495;4;28,09621212;33,48863636;0;12,87094697;2005
1;736,6380005;2,077869892;0,5447;1354,410034;429,9179993;1,961470008;851,7368774;4;28,09621212;33,48863636;0;12,87094697;2005
1;769,3170166;2,208739996;0,3517;2257,169922;519,4719849;1,961470008;2270,031982;4;27,19734848;33,06439394;0;10,98018939;2005
1;729,1409912;3,124119997;0,5128;882,117981;1091,430054;1,961470008;1053,518311;4;28,35151515;33,63257576;0;10,28625;2005
