"","Temperature","RH","Precipitation","Wind Speed","HAS_FIRE","Prob_fogo","HasFire_Predict"
"1",28.0511904761905,61.3244047619048,0.137682648571429,5.46967261904762,"not-burned",0.162777593872282,"1"
"2",27.5830357142857,59.0565476190476,0.422082239857143,7.56889880952381,"not-burned",0.219969344864286,"1"
"3",24.8928571428572,73.5,6.83361263614286,5.58017857142857,"not-burned",0.0398326804050027,"1"
"4",25.5136904761905,77.6279761904762,9.45840042342857,5.23449404761905,"not-burned",0.0279207981859761,"1"
"5",24.0160714285715,84.3273809523809,11.7597604675,6.00223214285714,"not-burned",0.0133298027891335,"1"
"6",23.8136904761905,83.8869047619048,12.0724193317143,4.57,"not-burned",0.011861612249705,"1"
"7",23.7294642857143,86.5208333333333,12.219208549,7.46181547619048,"not-burned",0.0119931078941565,"1"
"8",24.1238095238095,82.9285714285714,22.8790978662857,8.66892857142857,"not-burned",0.0198941990156568,"1"
"9",22.9970238095238,89.0119047619048,16.2012364677143,9.79020833333333,"not-burned",0.0108297150436616,"1"
"10",24.8610119047619,80.5089285714286,1.41122907714286,9.14389880952381,"not-burned",0.0284772153440246,"1"
"11",26.1907738095238,71.5208333333333,0.591204233214286,7.6722619047619,"not-burned",0.0667316096458482,"1"
"12",24.8172619047619,79.9940476190476,14.6407608475714,5.52145833333333,"not-burned",0.0211643519504184,"1"
"13",23.7113095238095,88.2351190476191,14.0506407306429,6.01931547619048,"not-burned",0.00882787919790004,"1"
"14",22.8550595238095,90.1547619047619,15.7697585624286,10.5165773809524,"not-burned",0.010223504416397,"1"
"15",23.3133928571429,85.9642857142857,5.58774728657143,9.51595238095238,"not-burned",0.0146890391558953,"1"
"16",23.6669642857143,86.3601190476191,10.9496372107857,8.59982142857143,"not-burned",0.0134820798055502,"1"
"17",23.34375,87.8422619047619,12.4342247582143,7.73047619047619,"not-burned",0.0103627494519921,"0"
"18",22.6583333333334,93.4642857142857,32.4440306897143,10.189375,"not-burned",0.00702215459493288,"1"
"19",22.6020833333334,94.6398809523809,22.034933388,10.839255952381,"not-burned",0.00662227624715913,"1"
"20",22.1982142857143,93.4107142857143,96.0708322828571,12.5304464285714,"not-burned",0.00838561641214867,"1"
"21",22.7872023809524,88.4136904761905,27.8960945642857,9.85095238095238,"not-burned",0.0112736949435019,"1"
"22",22.2505952380953,89.8898809523809,19.9310268845714,9.341875,"not-burned",0.00875596220863615,"0"
"23",23.5952380952381,85.3184523809524,8.57050995935714,6.83720238095238,"not-burned",0.0125055938947883,"1"
"24",24.0919642857143,83.6190476190476,17.2067173089286,7.75056547619048,"not-burned",0.0170013074727584,"1"
"25",23.5752976190476,88.0892857142857,9.13085304221429,7.58625,"not-burned",0.0102430036334574,"0"
"26",24.408630952381,84.5119047619048,6.25238226492857,4.40934523809524,"not-burned",0.0117571719280193,"1"
"27",23.3529761904762,87.0089285714286,18.1528609037857,6.51446428571429,"not-burned",0.0100139106206561,"1"
"28",23.31875,88.0565476190476,29.9284494534286,8.54785714285714,"not-burned",0.0109428152712552,"1"
"29",23.7967261904762,85.2857142857143,2.7152030075,10.2343452380952,"not-burned",0.0177280467698736,"0"
"30",24.56875,70.4285714285714,0.000361371785714286,10.3094345238095,"not-burned",0.0786181200749395,"1"
"31",24.0729166666667,66.8303571428571,0.00599877164285714,10.4630952380952,"not-burned",0.104341036629511,"0"
"32",24.4639880952381,70.3154761904762,0.314759218928571,9.11377976190476,"not-burned",0.07059433204473,"1"
"33",25.0208333333334,73.5208333333333,0.945371521428571,6.98059523809524,"not-burned",0.0458861958482619,"1"
"34",24.1583333333334,73.7321428571429,0.532711519357143,6.9483630952381,"not-burned",0.0408198916690274,"0"
"35",24.8467261904762,70.2648809523809,0.284039886214286,5.59732142857143,"burned",0.0537311264945189,"1"
"36",25.1074404761905,73.4851190476191,0.925955444928571,7.64982142857143,"not-burned",0.0494254512782001,"1"
