"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.17880177103641,0.0538797921340507,-40.4381992717352,0
"`Wind Speed`",0.258881703728095,0.0467116616259375,5.54212148994386,2.98828851058627e-08
"RH",-1.44931534020691,0.060409015273809,-23.9917060994583,3.39429694743387e-127
"Temperature",0.227502845554068,0.0377869513321436,6.02067215093221,1.73694258379286e-09
