"","OR","2.5 %","97.5 %"
"(Intercept)",1.91725286215953,0.513662455279942,7.15617522689214
"`Wind Speed`",1.10138764132384,1.0644079330299,1.13965210030694
"RH",0.906521816488555,0.899282921357212,0.913818982050123
"Temperature",1.12090168882049,1.08001890660634,1.16333203827754
