mes,ano,diasSemChuva,quantidadeFocos,umidadeMedia,tempMedia,tempMax,mediaTempComFocos,mediaPrecComFocos,mediaUmidadeComFocos,umidadeMinima,precipitacaoMedia,diasComFogo,totalPluviosidade
,1999,75,21,65.20425636007828,23.509405577299436,30.04375,25.199242424242456,0.0029328928831463307,43.919642857142854,33.4613095238095,2.737866422087873,11,999.3212440620737
,2000,80,57,66.39325559458757,23.507285161332316,28.6193452380953,24.784821428571455,0.0319645762941274,47.956232492997195,34.8869047619048,2.88086917916433,17,1054.3981195741449
,2001,84,51,65.60584637964774,23.67422782126552,28.002380952381,24.019653880070564,0.0624113861031746,50.888778659611994,37.5833333333333,2.0908636961446203,27,763.1652490927864
,2002,78,266,63.505096216568816,23.969150358773668,29.4541666666667,24.31980820105822,0.024908466205282052,49.58116024187453,36.3958333333333,2.3954301953804693,63,874.3320213138712
,2003,86,286,65.34575179386823,23.63306751467713,28.1223214285715,24.791358784893294,0.3266036517069214,50.56793924466338,30.5267857142857,2.2050435144485387,58,804.8408827737167
,2004,73,466,68.82784445745511,23.09513238355454,28.9744047619048,24.26921245421248,0.13236235224292645,47.41643772893772,31.1964285714286,3.3252268938175438,65,1217.033043137221
,2005,73,222,67.69172374429225,23.427150195694736,30.0446428571429,25.12063172043013,0.2593909371140769,47.83832565284178,30.25,3.1882616367019834,62,1163.715497396224
,2006,48,156,69.80788486627527,23.03240133724725,27.5592261904762,24.08804678848285,0.5266523040299468,56.87956810631229,38.0744047619048,3.16664084896089,43,1155.823909870725
,2007,104,384,62.01991193737769,23.751829745596893,30.1464285714286,24.793146607958274,0.14899015635912602,46.43003913894325,30.4434523809524,2.0767286765231168,73,758.0059669309376
,2008,121,274,64.47559686442882,23.44868185662245,30.371130952381,26.209981126597004,0.5587595685958364,45.105182926829265,26.9345238095238,3.086091114629986,41,1129.5093479545749
,2009,55,48,69.96778375733855,23.67750163078932,28.3354166666667,25.837755102040838,0.29658811080953174,56.0983560090703,37.2470238095238,3.2527435296013776,21,1187.2513883045028
,2010,104,357,65.49111219830398,23.771768590998068,29.7547619047619,24.21099368318758,0.2429924991034982,48.65044946550048,33.6101190476191,2.690377803454403,49,981.987898260857
,2011,91,421,67.66932485322897,23.11180936073062,28.0127976190476,23.448905187074853,0.0372380504923676,47.75366709183674,29.8035714285714,2.943115252964213,56,1074.2370673319376
,2012,92,1952,61.55406746031746,23.977481785063773,30.0479166666667,24.783251569858727,0.16006930219624335,48.039704343275766,31.4940476190476,2.1434757170006065,91,784.512112422222
,2013,79,268,65.18924494455317,24.067967221135056,29.4392857142857,25.325283882783904,0.10188635779234888,52.88067765567766,29.4732142857143,2.7415776770612688,65,1000.6758521273631
,2014,52,933,60.8264514024788,24.35676451402481,29.9952380952381,25.2233716475096,0.21305776200250057,49.376778872468535,26.0952380952381,1.8976356111593211,87,692.6369980731522
,2015,90,1090,57.55909980430528,25.255349804305308,32.3178571428572,26.50438244047621,0.3331189241756284,46.34201388888889,25.7053571428571,1.5064299841215494,120,549.8469442043655
,2016,93,263,60.24812971636742,24.943231199583686,30.4574404761905,25.492410714285732,0.29924110449627545,53.74878602756892,33.2053571428571,2.673109507650104,76,978.3580797999381
,2017,121,296,59.718313763861715,24.480835779517307,30.1580357142857,25.751449514991204,0.18038129777116396,48.586419753086425,32.5238095238095,2.1825323178767113,54,796.6242960249997
,2018,95,112,64.65699608610568,24.04762964774953,29.8053571428572,25.251198519948538,0.5525758417702809,55.472972972972975,30.4047619047619,2.8710511372266234,37,1047.9336650877176
,2019,85,474,60.70300880626223,24.935053000652335,30.0032738095238,26.4079680735931,0.19309205111042546,48.338609307359306,29.6428571428571,1.8177069333166656,66,663.463030660583
