mes,ano,diasSemChuva,quantidadeFocos,umidadeMedia,tempMedia,tempMax,mediaTempComFocos,mediaPrecComFocos,mediaUmidadeComFocos,umidadeMinima,precipitacaoMedia,diasComFogo,totalPluviosidade
,1999,76,10,64.66267123287672,23.841949200913273,30.0880208333334,25.55920138888892,0.19802902902087482,53.53559027777778,34.4375,2.655337566014047,6,969.1982115951272
,2000,86,18,65.78936133879782,23.844595286885276,28.7583333333334,26.402488425925956,0.34526193631950247,42.16724537037037,35.4322916666667,2.6971110249644865,9,987.1426351370021
,2001,87,18,64.25654965753425,24.107006278538847,28.540625,25.67314814814817,0.27364247138888886,53.30671296296296,37.859375,1.9098568537342488,9,697.0977516130008
,2002,84,81,62.4675799086758,24.366484018264874,29.8494791666667,26.03344494047622,0.06633339788400369,45.29985119047618,36.296875,2.1972319347979843,28,801.9896562012643
,2003,94,55,63.6021404109589,24.153884132420124,28.6557291666667,25.416645833333362,0.010481194900035642,47.46604166666667,30.625,1.9324207328387046,25,705.3335674861272
,2004,75,14,68.05134335154827,23.446264515027355,29.140625,25.766666666666698,0.011607922145861094,46.51822916666666,32.2604166666667,3.1575661352776825,12,1155.6692055116318
,2005,75,79,66.97067636986301,23.816113013698665,30.2036458333334,26.538731060606096,0.08862477697159848,44.09422348484848,30.0520833333333,3.050167247540095,22,1113.3110453521347
,2006,50,37,68.7929651826484,23.451282819634738,27.68125,24.178162202380985,0.05356837698217588,57.50892857142856,39.1979166666667,2.989975704130166,14,1091.3411320075106
,2007,104,121,61.02588470319635,24.17816638127857,30.5072916666667,25.701531862745124,0.5332044477022255,45.4234068627451,29.15625,1.9781672696493393,34,722.0310534220089
,2008,118,116,63.65575193533697,23.861730134335186,30.7958333333334,27.347197420634952,0.00847313311310317,40.59945436507936,28.03125,2.945046676418385,21,1077.887083569129
,2009,56,26,69.11468321917808,24.055488013698664,28.6411458333334,26.101302083333383,1.1900247924625,56.00520833333333,37.4791666666667,3.1156549529828848,10,1137.214057838753
,2010,107,33,64.46663812785388,24.213675799086793,30.0083333333334,25.890064102564136,0.28761166472115385,50.629006410256416,33.6145833333333,2.488561960516781,13,908.3251155886251
,2011,94,31,66.9851598173516,23.49127568493154,28.1895833333334,23.921233974359005,0.3248267517885068,54.403044871794854,30.4947916666667,2.7679231290185182,13,1010.2919420917592
,2012,97,320,60.46200478142077,24.40651895491807,30.5640625,25.79491567460321,0.37893321847620054,52.00198412698412,31.3489583333333,2.009061731366142,42,735.3165936800079
,2013,83,362,63.894220890410956,24.554293664383593,29.6328125,26.223854166666698,0.28146988767501124,53.19461805555556,29.8541666666667,2.5795400733431677,30,941.5321267702562
,2014,57,76,59.7644406392694,24.785672089041128,30.2984375,26.100613839285746,0.2038310852455707,48.056919642857146,26.0,1.712859014931875,28,625.1935404501344
,2015,93,189,56.545633470319636,25.6748148561644,32.38542,27.853828895833338,0.21512069257439448,44.92200558333333,26.4375,1.3547990891088582,40,494.50166752473325
,2016,100,227,59.4097931420765,25.325888224043712,30.60469,27.445493913043478,0.29858079171740215,48.74547,34.55208,2.4617549877024683,23,901.0023254991033
,2017,134,179,58.680665178082194,24.910966575342467,30.13698,26.0342975,1.002134942,61.048177499999994,33.54167,1.9603699554158902,20,715.5350337268
,2018,98,6,63.56994865753425,24.50166276712329,30.07552,26.1174475,0.0154580825,44.4401025,30.38021,2.738767726994247,4,999.6502203529002
,2019,88,230,59.40944643835617,25.425375506849313,30.3349,27.997885151515153,0.024949361551550482,43.94476060606061,29.46354,1.6397425712668612,33,598.5060385124043
