mes,ano,diasSemChuva,quantidadeFocos,umidadeMedia,tempMedia,tempMax,mediaTempComFocos,mediaPrecComFocos,mediaUmidadeComFocos,umidadeMinima,precipitacaoMedia,diasComFogo,totalPluviosidade
1,1999,1,0,75.51405180840665,24.751759530791812,26.8856060606061,0.0,0.0,0.0,61.2954545454545,4.495615632384162,0,139.36408460390902
2,1999,3,2,65.18249458874459,25.857224025974045,28.7628787878788,28.7628787878788,0.0242596242727273,53.655303030303,49.4810606060606,3.5528623208214314,1,99.48014498300007
3,1999,4,0,76.94220430107528,24.00333577712613,26.5609848484849,0.0,0.0,0.0,59.6780303030303,5.133540239337242,0,159.1397474194545
4,1999,1,0,64.94292929292929,25.02594696969699,26.175,0.0,0.0,0.0,55.8825757575758,0.42647787502121215,0,12.794336250636364
5,1999,10,0,60.45393450635386,23.376612903225823,25.4212121212121,0.0,0.0,0.0,46.6590909090909,0.4218622958592377,0,13.077731171636367
6,1999,17,0,56.18914141414142,23.07204545454549,24.4439393939394,0.0,0.0,0.0,47.125,0.02418227372424242,0,0.7254682117272726
7,1999,15,0,56.675953079178896,22.313941837732184,23.907196969697,0.0,0.0,0.0,45.0037878787879,0.07015910617888563,0,2.1749322915454545
8,1999,23,2,50.32025904203324,22.51564027370481,25.3272727272727,21.8916666666667,0.0,47.0265151515151,38.5530303030303,0.11617329492375382,1,3.6013721426363685
9,1999,0,12,49.11767676767678,24.915542929292954,28.7303030303031,25.666414141414183,0.0034456420758395335,45.726010101010104,36.1401515151515,0.24141282884250034,6,7.24238486527501
10,1999,6,0,56.22605083088954,25.638782991202362,30.4670454545455,0.0,0.0,0.0,33.4507575757576,2.6915652158357775,0,83.4385216909091
11,1999,1,2,78.46742424242424,23.163977272727287,26.3670454545455,23.4015151515152,0.0,60.7878787878788,56.2727272727273,9.110257384703031,1,273.3077215410909
12,1999,1,0,79.70002443792767,23.533944281524946,25.3117424242424,0.0,0.0,0.0,64.7386363636364,6.600526981642228,0,204.6163364309091
1,2000,0,0,77.9803274682307,24.232502443792782,26.7443181818182,0.0,0.0,0.0,63.1666666666667,6.89890135543108,0,213.86594201836346
2,2000,1,0,76.96708463949844,24.433437826541304,25.7613636363637,0.0,0.0,0.0,64.8598484848485,5.517167762260187,0,159.99786510554543
3,2000,0,0,77.18316226783968,24.13277126099709,25.3992424242424,0.0,0.0,0.0,69.030303030303,4.852964733982403,0,150.4419067534545
4,2000,1,0,69.11603535353537,24.3842171717172,25.6606060606061,0.0,0.0,0.0,55.1325757575758,0.5787467382545456,0,17.362402147636367
5,2000,13,0,59.655669599218,23.49865591397852,25.8087121212121,0.0,0.0,0.0,50.9772727272727,0.03197696695601174,0,0.9912859756363639
6,2000,18,1,58.21729797979799,22.172790404040427,24.8477272727273,21.3772727272727,0.0,59.7878787878788,49.0909090909091,0.022994718048484873,1,0.6898415414545462
7,2000,13,2,56.402248289345074,22.323399315738044,24.6022727272728,22.7882575757576,0.0309105694545455,64.8598484848485,42.9507575757576,0.046447499337243375,1,1.4398724794545446
8,2000,22,4,49.955156402737046,23.701527370479006,27.6628787878788,26.46439393939395,0.0,43.33333333333335,36.9318181818182,0.004682431744868035,2,0.14515538409090908
9,2000,10,17,51.747727272727275,25.020404040404063,27.7352272727273,25.531628787878834,0.006982010863636364,43.39709595959595,35.0189393939394,0.3272300516636364,6,9.816901549909092
10,2000,0,14,46.50036656891495,27.007600195503453,29.2390151515152,27.5325336700337,0.2555001425960326,42.35563973063974,34.6590909090909,0.7032405477918588,9,21.800456981547626
11,2000,1,0,76.47563131313132,23.869002525252547,25.4382575757576,0.0,0.0,0.0,57.9356060606061,7.369652190057574,0,221.08956570172722
