"","(Intercept)","`Wind Speed`","Elevation","Hydrography","NDVI","Precipitation","RH","Road","Slope","Temperature","Ocupations","Pop_dens"
"full",-9.73912719716141,-0.203188758197654,-0.221149901036972,-0.282585974220192,-0.949395051311604,-17.2036295749464,-0.404045026529598,-0.104300480086928,-0.375983965841729,0.018362429328611,-0.041063890412454,0.00342172082430387
"subset",-9.73912719716141,-0.246787332412895,-0.269600396771865,-0.289921374548647,-0.949395051311604,-17.2036295749464,-0.404045026529598,-0.199444105715537,-0.375983965841729,0.0830202068850728,-0.124354645471285,0.0154589416611687
