"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","Prob_fogo","HasFire_Predict"
"233","not-burned",0.713473022,0.597078025,3119.350098,2930.070068,9302.535156,"4",29.32791495,62.38888012,26.52451385,4.958602096,2.22044604925031e-16,"1"
"234","not-burned",2.27361989,0.590708971,494.8729858,299.4030151,13976.40137,"4",29.35660807,67.60043612,8.511022513,11.38291915,0.000138893745922904,"1"
"235","not-burned",1.534459949,0.586224973,3362.300049,2010.300049,6754.023926,"4",27.95009151,72.0074027,11.2741007,12.89944721,3.1880390164946e-06,"1"
"236","not-burned",1.59484005,0.585828006,920.0650024,2300.159912,10505.53613,"4",23.10141678,87.59385535,107.2085288,14.54357718,2.22044604925031e-16,"1"
"237","not-burned",1.68245995,0.504983008,1581.079956,520.3610229,4394.11084,"4",27.29923217,38.03099591,13.55207054,9.621765308,1.65952399248152e-06,"1"
"238","not-burned",1.065670013,0.608039021,1754.26001,1440.390015,10661.83594,"4",25.93908956,50.23251829,28.96838327,12.08440024,2.22044604925031e-16,"1"
"239","not-burned",0.688947976,0.603273988,423.4200134,422.3269958,12294.52637,"4",22.24652554,43.21509988,86.39733787,12.80642233,2.22044604925031e-16,"1"
"240","not-burned",0.664858997,0.595475972,182.3990021,1191.810059,6549.797363,"4",30.52436022,63.2469008,88.95199681,11.2134776,2.22044604925031e-16,"1"
"241","not-burned",1.809839964,0.601809978,1519.98999,1182.859985,7707.53125,"4",24.39625049,69.51292045,38.29220508,11.76122157,2.22044604925031e-16,"1"
"242","not-burned",2.465250015,0.569849014,1282.930054,654.8319702,6731.820801,"4",23.52751014,73.55904749,88.64198955,9.137232483,2.22044604925031e-16,"1"
"243","not-burned",2.021600008,0.609591007,1474.619995,2705.75,7041.342285,"4",21.5801995,40.26350149,108.4808821,13.28300599,2.22044604925031e-16,"1"
"244","not-burned",3.008110046,0.566586971,2671.030029,2507.75,6231.95752,"4",22.9361146,89.08769046,82.8518206,11.98172312,2.22044604925031e-16,"1"
"245","not-burned",1.91305995,0.602258027,709.6900024,2067.189941,6945.537598,"4",27.27320976,47.55958892,46.94505013,7.385168324,2.22044604925031e-16,"1"
"246","not-burned",1.246819973,0.601172984,2337.820068,2452.040039,11408.83594,"4",27.89761306,54.42153317,13.52730378,15.32733592,1.45335258875686e-07,"1"
"247","not-burned",0.215693995,0.586435974,1150.780029,1805.660034,8527.995117,"4",22.45541249,69.67740607,106.6368773,6.757270653,2.22044604925031e-16,"1"
"248","not-burned",1.874289989,0.674697995,2849.810059,286.7909851,6895.125977,"4",23.59065108,54.63106911,50.51282251,10.58131427,2.22044604925031e-16,"1"
"249","not-burned",2.374739885,0.434796005,1156.790039,257.9509888,11211.21875,"12",25.25729182,44.72352973,3.050317772,5.293777623,0.583377151403537,"1"
"250","not-burned",1.422320008,0.536611974,1604.290039,840.8170166,5356.664063,"4",29.80431338,59.79619544,66.64778723,3.731720499,2.22044604925031e-16,"1"
"251","not-burned",1.039489985,0.490233988,1256.72998,818.5390015,825.845459,"4",21.24857208,51.71405732,19.02153078,14.38870573,1.13698511220381e-09,"1"
"252","not-burned",1.342579961,0.589776993,1607.73999,1728.52002,2891.977539,"4",25.97916624,39.72172169,51.84306752,6.901509027,2.22044604925031e-16,"1"
"253","not-burned",4.34487009,0.574016988,565.4689941,516.7960205,12451.30371,"4",28.97001267,57.14086335,44.03241433,15.22284908,2.22044604925031e-16,"1"
"254","not-burned",2.653320074,0.585263014,705.117981,1031.800049,7758.679688,"4",24.42432994,75.88812294,34.02232819,6.351125355,2.22044604925031e-16,"1"
"255","not-burned",2.640799999,0.593421996,1139.48999,1292.619995,7977.324707,"4",25.29404986,44.05035274,71.80931858,12.42299843,2.22044604925031e-16,"1"
"256","not-burned",1.087790012,0.54668498,775.0460205,1031.800049,280.2722168,"4",27.52669833,77.69612734,22.88698135,4.900774631,5.57656540994038e-12,"1"
"257","not-burned",1.426720023,0.410971999,1210.660034,1768.939941,554.7441406,"4",26.33027926,65.61310096,31.7348275,11.50805768,2.22044604925031e-16,"1"
"258","not-burned",2.462100029,0.580281973,3833.389893,773.8519897,8906.256836,"4",27.18140169,87.36089514,11.23978614,6.606801716,4.4962420116546e-06,"1"
"259","not-burned",2.18708992,0.525729001,366.0620117,1569.050049,3681.513916,"4",24.66511984,49.87465167,6.817977617,4.824350488,0.005149462130444,"1"
"260","not-burned",1.08660996,0.57644397,683.1500244,912.5,1564.925049,"4",22.65156144,53.28057945,35.88840651,11.72663423,2.22044604925031e-16,"1"
"261","not-burned",1.672780037,0.466219008,273.5979919,851.7369995,12575.56055,"4",22.96926515,74.07761452,32.49741545,12.29903367,2.22044604925031e-16,"1"
"262","not-burned",1.463790059,0.594329,1428.790039,773.8519897,3345.634766,"4",23.14738893,75.13062627,27.80646279,14.01470377,2.22044604925031e-16,"1"
"263","not-burned",2.002460003,0.703378022,2849.810059,30.39979935,7570.952148,"4",28.48623637,65.78913578,36.83599545,6.095683466,2.22044604925031e-16,"1"
"264","not-burned",1.106960058,0.538607001,0,2015.119995,257.9507751,"4",29.528455,63.76363366,9.924930324,7.890143299,6.53586021867656e-05,"1"
"265","not-burned",0.777661979,0.600054979,2534.879883,992.5430298,5127.571777,"4",25.65385691,61.29154773,41.28518021,12.87558857,2.22044604925031e-16,"1"
"266","not-burned",2.821959972,0.586962998,752.0490112,2672.76001,3029.167969,"4",26.13316066,49.43485528,53.38998468,5.647985831,2.22044604925031e-16,"1"
"267","not-burned",1.992849946,0.616078019,2492.780029,231.5180054,3980.051514,"4",21.88672412,69.81032068,75.10860728,6.038704855,2.22044604925031e-16,"1"
"268","not-burned",2.580549955,0.530350029,245.0910034,1057.459961,4111.508789,"4",29.12860827,73.66320409,58.85465821,15.21781426,2.22044604925031e-16,"1"
"269","not-burned",0.876259983,0.502906024,184.9149933,2012.140015,3760.000732,"4",22.49333702,72.46157472,3.735277437,7.948897362,0.136131580214452,"1"
"270","not-burned",2.791389942,0.572130978,346.6109924,1569.349976,8287.553711,"4",29.26195539,50.20110478,57.13999452,15.42127414,2.22044604925031e-16,"1"
"271","not-burned",1.08138001,0.576394022,273.5979919,807.742981,1875.201538,"4",28.6223484,59.91336723,58.7938505,14.97093553,2.22044604925031e-16,"1"
"272","not-burned",1.638700008,0.560388029,1975.98999,765.4470215,3125.861328,"4",29.73228841,38.9731964,21.80438359,6.24693834,3.75869201773612e-11,"1"
"273","not-burned",2.007819891,0.592576981,1519.98999,864.6589966,2828.324463,"4",21.13071508,80.18480494,6.6280799,10.42360575,0.00182462894840849,"1"
"274","not-burned",1.210980058,0.545737028,1389.439941,2406.959961,4413.103516,"4",22.92991364,70.5078894,44.75615803,3.885445768,2.22044604925031e-16,"1"
"275","not-burned",1.660709977,0.620737016,578.3959961,1818.150024,2675.354492,"4",26.17520238,45.87528508,4.887682467,8.65550751,0.0248006235338761,"1"
"276","not-burned",0.766578972,0.595672011,231.5180054,231.5180054,12779.66895,"4",30.29540348,54.81108612,11.91968282,10.16177299,3.60130210759749e-06,"1"
"277","not-burned",2.292579889,0.585466981,346.6109924,674.9849854,3956.413574,"4",25.79569094,42.02276289,58.77116255,8.074046755,2.22044604925031e-16,"1"
"278","not-burned",1.48277998,0.582665026,790.3950195,2050.350098,2498.892578,"4",26.66617252,91.15233734,105.9154611,5.076233602,2.22044604925031e-16,"1"
"279","not-burned",2.865099907,0.596738994,509.5929871,584.7520142,13208.56055,"4",27.01890278,93.24278973,45.80922794,4.90882237,2.22044604925031e-16,"1"
"280","not-burned",2.302710056,0.543850005,3251.639893,1981.819946,3654.302734,"4",29.0153101,78.70338765,91.29367825,6.045159528,2.22044604925031e-16,"1"
"281","not-burned",0.543669999,0.590864003,1091.430054,339.8800049,12312.55371,"4",21.05814067,71.04939971,79.40557674,7.824593347,2.22044604925031e-16,"1"
"282","not-burned",1.198160052,0.588868022,1165.150024,1880.119995,4167.544434,"4",26.9833258,73.78241134,12.66666033,4.874241694,1.137212380273e-06,"1"
"283","not-burned",2.207730055,0.495061994,5170.200195,1197.609985,4803.263184,"4",30.50520894,36.37798632,24.99716183,11.73582047,5.61571857374114e-13,"1"
"284","not-burned",1.806890011,0.52681601,1299.75,776.8319702,5387.628906,"4",26.45624452,40.2720736,65.78591895,10.70885144,2.22044604925031e-16,"1"
"285","not-burned",1.454970002,0.627574027,4337.700195,881.5939941,1999.234131,"4",29.33174047,77.78410309,28.42863976,13.69773071,2.22044604925031e-16,"1"
"286","not-burned",3.282119989,0.534319997,4388.740234,327.4159851,7252.246094,"4",28.60815812,48.61189137,111.8248423,11.87091465,2.22044604925031e-16,"1"
"287","not-burned",1.615980029,0.503377974,1793.589966,212.798996,1490.830078,"4",23.58989296,82.07516924,61.65856531,11.2471665,2.22044604925031e-16,"1"
"288","not-burned",0.598730981,0.533029974,3380.399902,587.1170044,4253.473145,"4",23.61207627,61.04002234,9.712966298,9.500718361,0.000122916184891944,"1"
"289","not-burned",0.882533014,0.539707005,4218.129883,1482.439941,2961.445313,"4",23.26190373,40.82964015,51.15779808,4.425549858,2.22044604925031e-16,"1"
"290","not-burned",2.359369993,0.529537976,243.197998,339.8800049,5233.887207,"4",30.63987695,88.42421478,40.93192379,7.081282605,2.22044604925031e-16,"1"
"291","not-burned",3.017009974,0.473957986,674.9849854,2220.850098,2159.241455,"4",22.35746591,64.92602742,93.49296199,12.49154227,2.22044604925031e-16,"1"
"292","not-burned",0.887549996,0.576330006,4883.399902,986.4719849,7624.229004,"4",22.1783071,80.1923036,67.52561825,13.30907693,2.22044604925031e-16,"1"
"293","not-burned",2.236920118,0.573741019,463.0360107,1939.160034,1398.720825,"4",22.90309412,89.62368066,47.64330921,9.138207608,2.22044604925031e-16,"1"
"294","not-burned",1.484979987,0.491668999,2909.5,303.9979858,4896.631836,"4",24.66107563,65.09139667,70.22646629,9.265454277,2.22044604925031e-16,"1"
"295","not-burned",0.556743026,0.448619992,4179.390137,286.7909851,6364.020508,"4",30.33873483,51.65042362,45.49034613,6.212993685,2.22044604925031e-16,"1"
"296","not-burned",1.97468996,0.459253013,194.654007,858.2219849,463.0358276,"4",26.2889156,35.96931406,17.53975593,8.601361914,1.74928820406841e-08,"1"
"297","not-burned",1.127390027,0.554610014,1551.579956,1403.670044,3851.546875,"4",26.69779023,85.82956922,52.65176732,12.37211855,2.22044604925031e-16,"1"
"298","not-burned",2.291379929,0.539916992,1932.23999,930.0549927,1688.488892,"4",26.97538639,58.8495948,51.73512255,10.34902878,2.22044604925031e-16,"1"
"299","not-burned",3.062180042,0.480145007,838.6160278,2288.280029,2288.682373,"4",26.32960245,55.21791516,1.474596975,9.166005256,0.754072793337314,"1"
"300","not-burned",2.225260019,0.541202009,312.9849854,930.5510254,4636.142578,"4",22.04678326,58.74196628,23.19754185,8.014824916,3.32568783879508e-12,"1"
"301","not-burned",2.034780025,0.619216979,2006.390015,1951.52002,11979.98633,"4",26.98792119,47.95403861,70.64362842,12.65210004,2.22044604925031e-16,"1"
"302","not-burned",0.913977027,0.608047009,4164.77002,1269.900024,11055.66504,"4",23.30269786,47.64397221,74.36897142,3.986817529,2.22044604925031e-16,"1"
"303","not-burned",0.979884028,0.588461995,3830.370117,501.3659973,8222.848633,"4",21.66403799,79.54907363,92.86561216,10.06857826,2.22044604925031e-16,"1"
"304","not-burned",1.494850039,0.559666991,2379.159912,407.8559875,3963.647949,"4",29.13902093,58.87216169,77.83367953,10.36638719,2.22044604925031e-16,"1"
"305","not-burned",2.56994009,0.478753,1699.400024,286.7909851,11014,"4",24.96945998,48.07432881,92.68131001,3.82678259,2.22044604925031e-16,"1"
"306","not-burned",3.157900095,0.476942003,425.5969849,538.6859741,231.5179138,"4",27.77793767,36.57698262,105.8534588,15.67476516,2.22044604925031e-16,"1"
"307","not-burned",0.846581995,0.269549012,334.3980103,0,177.2597198,"3",29.68125414,50.59872899,39.78650108,8.066548416,2.22044604925031e-16,"1"
"308","not-burned",1.098780036,0.642522991,5504.709961,2205.820068,6283.64502,"4",22.64305366,60.8564804,47.00408522,12.81236561,2.22044604925031e-16,"1"
"309","not-burned",0.688220024,0.592833996,5097.839844,2154.100098,4316.770508,"4",30.4170658,74.19472905,90.89132791,16.01906417,2.22044604925031e-16,"1"
"310","not-burned",3.634959936,0.516560972,669.4860229,1441.98999,491.1236572,"4",21.78525144,81.66167883,71.43026633,5.353524222,2.22044604925031e-16,"1"
"311","not-burned",1.419170022,0.626037002,712.289978,1733.050049,9952.810547,"4",23.49428687,91.80660652,87.13276358,8.150153612,2.22044604925031e-16,"1"
"312","not-burned",1.096330047,0.625280976,5480.399902,1002.72998,5151.12793,"4",29.98331459,34.57093762,46.61858041,11.8204666,2.22044604925031e-16,"1"
"313","not-burned",2.307620049,0.556748986,3435.709961,919.0599976,2942.662109,"4",21.28318701,66.12665577,44.03173846,9.273140294,2.22044604925031e-16,"1"
"314","not-burned",4.929689884,0.483810008,1187.150024,558.8930054,163.7078857,"4",26.60343448,87.73281778,49.27547459,15.13797667,2.22044604925031e-16,"1"
"315","not-burned",0.43731299,0.625504971,4307.450195,1308.599976,6754.023926,"4",28.12694307,83.39472139,66.21417567,3.902772365,2.22044604925031e-16,"1"
"316","not-burned",1.566290021,0.606375992,3592.969971,2450.909912,12526.96484,"4",21.70434137,59.2627865,3.743266005,6.963626255,0.0473823774221237,"1"
"317","not-burned",2.367739916,0.582378983,280.2720032,463.0360107,11853.96973,"4",29.80239724,60.30623839,18.09592123,4.431744191,1.54332860968552e-09,"1"
"318","not-burned",1.086539984,0.388559014,339.8800049,457.0090027,578.3955078,"4",29.54071142,74.75734163,51.02217167,4.606081286,2.22044604925031e-16,"1"
"319","not-burned",5.843239784,0.435656995,219.2160034,42.9917984,184.9147186,"4",29.61339724,56.11718845,111.3317061,12.52374857,2.22044604925031e-16,"1"
