"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Ocupations","LULC","Temperature","RH","Precipitation","Wind Speed","FMC","DMC","DC","Prob_fogo","HasFire_Predict"
"734","not-burned",0.53944999,0.659031987,1688.48999,990.2119751,3150.010986,"3",20.48836646,73.13116498,37.33474775,9.007596802,35.39089934,132.2066722,586.9907364,2.22044604925031e-16,"0"
"735","not-burned",0.885375023,0.587972999,1794.619995,1765.540039,6033.037598,"4",25.38554073,34.76848791,1.964346462,15.11594288,32.45417507,77.66851183,185.5324414,0.00253244171723353,"0"
"736","not-burned",2.673079967,0.493454993,1759.25,299.4030151,2175.656738,"4",27.75649285,34.61673496,41.57210872,12.8171765,30.01413838,159.5481572,924.1174933,2.22044604925031e-16,"0"
"737","not-burned",0.703217983,0.514986992,2110.540039,902.315979,1145.9552,"4",24.05892567,34.49608096,2.091625705,6.968278866,30.88517301,330.8255588,676.6020106,0.00105099784422428,"0"
"738","not-burned",2.949620008,0.502409995,271.9039917,767.2559814,1338.971924,"4",25.15505285,53.07716415,20.48167508,9.51882321,71.20629752,223.8708536,469.6675651,3.35844181544252e-09,"0"
"739","not-burned",0.636011004,0.522068977,815.7119751,1909.630005,4239.108887,"4",19.90438016,60.65074629,5.290610767,9.345233623,35.16199236,198.0816931,1007.987093,0.000143757532793062,"0"
"740","not-burned",2.4151299,0.441172,3481.669922,91.19940186,4812.777832,"15",24.44414104,92.1805499,34.76392388,3.550835157,77.79050354,289.1146625,102.5926075,2.22044604925031e-16,"0"
"741","not-burned",1.085630059,0.573752999,755.1149902,1938.930054,10364.2334,"4",23.34062628,92.49308511,38.03194862,9.981835673,69.41658449,144.9778844,245.4026477,2.22044604925031e-16,"0"
"742","not-burned",1.185899973,0.575551987,3059.679932,2380.129883,2879.006348,"3",22.54711926,36.76567225,43.25652131,15.80042251,75.26653043,33.47129824,256.0108187,2.22044604925031e-16,"0"
"743","not-burned",1.905940056,0.513041019,2188.780029,547.1959839,501.3662109,"4",27.28750986,33.22429215,38.03152004,10.26467716,52.92896056,326.7311775,271.3078135,2.22044604925031e-16,"0"
"744","not-burned",0.501235008,0.488647014,30.39979935,712.289978,1754.255005,"4",24.96018717,74.04689027,14.10974388,8.772096109,90.65417358,39.15800397,358.543892,0.000530762297006847,"0"
"745","not-burned",2.162650108,0.565793991,548.039978,1763.449951,9421.483398,"4",25.24926008,83.60299033,11.9966632,6.557834131,30.17124374,199.3091043,69.15492216,4.77919614669914e-08,"0"
"746","not-burned",1.839540005,0.55450201,1397.400024,2668.610107,7622.046875,"4",23.98372855,87.94625854,23.78947267,10.70785612,47.70187122,28.20310063,363.1075068,1.08121535051579e-11,"0"
"747","not-burned",1.108070016,0.549921989,303.9979858,1069.189941,5455.216797,"4",20.60674875,53.32038063,4.978664241,9.217468973,77.8268574,94.75944197,477.9235828,0.173083973571449,"0"
"748","not-burned",2.304749966,0.514778972,740.28302,1392.430054,3624.211182,"4",25.42051558,64.47606301,27.63194329,11.73989842,89.32188332,314.8923313,648.8862562,7.95952701568044e-12,"0"
"749","not-burned",1.172719955,0.580271006,2820.639893,2958.169922,3314.692627,"3",19.73231657,59.63290185,20.04900823,18.04139377,39.10643904,23.23803739,1022.02383,5.45588254106457e-11,"0"
"750","not-burned",3.353329897,0.577310979,1135.02002,775.0460205,1415.795044,"4",22.36227105,35.7989782,9.757941758,3.97023846,78.79559312,295.7886838,103.2408098,0.000210657856756901,"0"
"751","not-burned",1.989030004,0.424221009,844.6550293,663.940979,334.3977051,"4",26.44852909,53.56894461,25.03438326,14.50715794,40.02442412,219.8993533,661.3362444,6.78370470978703e-13,"0"
"752","not-burned",3.211869955,0.519820988,2492.780029,910.9799805,4388.53418,"3",19.63545891,48.91346857,43.03272876,6.825941835,53.8558001,31.33507712,1002.07538,2.22044604925031e-16,"0"
"753","not-burned",5.598740101,0.427368999,638.3959961,30.39979935,1155.592041,"4",28.52353415,52.92268836,20.37143077,18.19568215,82.82253051,133.5429478,958.7970655,2.3772454384688e-08,"0"
"754","not-burned",1.212689996,0.566626012,950.2059937,573.5819702,6271.647461,"4",25.06379409,90.9950326,14.81339597,16.56787468,17.98187896,64.32496607,232.5471013,1.1358526130494e-09,"0"
"755","not-burned",0.656222999,0.551880002,1947.959961,2608.189941,7468.827148,"4",25.80850634,36.23490194,8.755218618,13.57006333,28.3596905,169.7768467,62.20706857,7.70742978317933e-07,"0"
"756","not-burned",0.798992991,0.623592973,3161.719971,2259.629883,8306.433594,"4",23.32489753,79.66649055,42.88365,10.76601599,33.52987959,232.2050993,831.6501074,2.22044604925031e-16,"0"
"757","not-burned",1.84995997,0.444889992,5546.109863,650.5839844,5276.09375,"4",26.21185346,77.38650782,15.54723746,10.27385711,73.52650846,224.8405762,71.82201967,1.58122776905078e-06,"0"
"758","not-burned",0.670929015,0.471024007,3165.810059,1727.449951,3922.044434,"4",28.58866227,52.27001252,42.69349293,17.20829819,78.81015708,9.900457204,180.980198,2.22044604925031e-16,"0"
"759","not-burned",1.861879945,0.402819991,856.065979,376.0249939,2889.419922,"41",21.50253542,73.61097508,6.878163706,7.195376583,32.35147178,248.4553809,1127.900584,5.92748304021339e-05,"0"
"760","not-burned",3.840529919,0.474061996,3625.73999,605.7119751,4075.953369,"3",23.57484739,63.56620515,22.40472835,4.399937139,59.59498294,120.9726986,687.6209866,5.13073743994587e-10,"0"
"761","not-burned",1.979740024,0.486699998,1646.089966,299.4030151,2202.464355,"4",29.05238839,73.78864724,8.730417373,12.09028497,73.517478,3.471787508,618.0597522,0.00860765806918425,"0"
"762","not-burned",2.252739906,0.465689003,177.2599945,273.5979919,4038.712646,"4",20.79532733,76.29434841,37.16565351,10.84681219,27.93703139,97.88549652,67.64357066,2.22044604925031e-16,"0"
