"","(Intercept)","`Wind Speed`","DMC","FMC","Hydrography","NDVI","Precipitation","Slope","Ocupations","Pop_dens","RH","Elevation","Road","DC","Temperature"
"full",-8.20822303270734,-0.400594159327804,-1.01252421287858,3.32317560088507,-0.302266305104619,-1.23104716878856,-13.7615182477181,-0.594164636463426,0.0751547010492501,0.0817853513165444,-0.05208163938065,-0.0247470061644619,0.0148737500475642,0.0174467327513213,-0.00819866508565328
"subset",-8.20822303270734,-0.405236472250706,-1.01252421287858,3.32317560088507,-0.325508752451826,-1.23104716878856,-13.7615182477181,-0.594164636463426,0.219311771174792,0.241148963615269,-0.194803913964359,-0.117856731861143,0.0855001554969431,0.101165953739692,-0.0583473041679373
