"","(Intercept)","`Wind Speed`","DC","DMC","Precipitation","RH","Temperature","FMC"
"full",-2.2044595231198,0.153059685526972,0.377607005077637,0.216664585873207,-0.330067570455249,-0.846737238450309,0.290671398982562,-0.000246062117454503
"subset",-2.2044595231198,0.153059685526972,0.377607005077637,0.216664585873207,-0.376485239972773,-0.846737238450309,0.290671398982562,-0.000647620264683902
