"","Temperature","RH","Precipitation","Wind Speed","FMC","DMC","DC","HAS_FIRE","Prob_fogo","HasFire_Predict"
"1370",27.00922619,55.89583333,0.384489737,11.50446429,85.39525348,166.4208607,913.6169709,"burned",0.523773542906745,"0"
"1371",27.33095238,43.08630952,0,11.27904762,89.23894145,169.3031834,919.7405424,"burned",0.710876282384914,"0"
"1372",28.63511905,36.96428571,0,8.382619048,90.97229933,172.6418918,926.0988638,"burned",0.784583620450936,"0"
"1373",28.02797619,41.21130952,0.010800751,11.52895833,91.02197781,175.6933733,932.3478995,"burned",0.760900645870818,"0"
"1374",27.85803571,44.3452381,0.051197262,11.31354167,91.02326041,178.5647722,938.5663459,"not-burned",0.722392131102463,"0"
"1375",27.02827381,44.35119048,0.005527944,7.150744048,90.99065426,181.3535359,944.6354352,"burned",0.649597712726327,"0"
"1376",28.20297619,41.99702381,0,9.098035714,91.0403388,184.3818654,950.9159709,"burned",0.741051897553094,"0"
"1377",28.5110119,42.06845238,0.017944555,11.42270833,91.09003975,187.438595,957.2519531,"not-burned",0.775725455121401,"0"
"1378",28.16458333,45.53571429,0.023047272,11.10485119,90.98864686,190.2787738,963.5255781,"burned",0.729340663651893,"0"
"1379",28.31369048,40.41071429,0,13.03104167,91.03838471,193.4011687,969.8260424,"burned",0.807427094967516,"0"
"1380",27.90833333,39.32142857,0.000425,12.40589286,91.08808501,196.5362526,976.0535424,"burned",0.805046580054695,"0"
"1381",28.13809524,36.6547619,0,12.91300595,91.25324326,199.8347921,982.3223995,"burned",0.838965396886002,"0"
"1382",27.15595238,37.51488095,0,11.81485119,91.30662339,202.980775,988.4144709,"burned",0.804242410190293,"0"
"1383",27.13065476,37.24404762,0,9.670297619,91.36953612,206.1370433,994.5019888,"burned",0.7892405734009,"0"
"1384",28.09166667,34.0952381,0,9.304880952,91.65122821,209.5640062,1000.762489,"burned",0.837253527546271,"0"
"1385",28.24583333,36.22619048,0,11.16235119,91.70113084,212.8978757,1007.050739,"burned",0.840657693039856,"0"
"1386",27.8875,39.20238095,8.5e-05,11.49973214,91.75104994,216.0373762,1013.274489,"burned",0.814293441861619,"0"
"1387",27.46279762,36.66666667,0,10.16002976,91.80098553,219.260616,1019.421792,"burned",0.817872580589809,"0"
"1388",28.38958333,29.64285714,0,8.664702381,92.54398871,222.9560353,1025.735917,"burned",0.877803587911534,"0"
"1389",30.00327381,30.67857143,0.00051,6.146904762,92.76284776,226.7965277,1032.340507,"burned",0.883506522029354,"0"
"1390",28.58333333,48.07738095,2.130809632,12.14696429,85.27560079,172.9677068,1024.39379,"not-burned",0.700729337326947,"0"
"1391",25.93988095,63.89285714,2.936783805,7.084642857,74.01173966,117.9979869,1010.878666,"not-burned",0.275290618541633,"0"
"1392",24.35625,77.09821429,6.241388471,4.433125,51.68183659,64.33899364,933.6787002,"not-burned",0.0705052826295333,"0"
"1393",22.87529762,86.30654762,50.32980005,7.421130952,28.15482628,25.10275601,515.4091752,"not-burned",0.00135567208764926,"0"
"1394",24.4172619,80.52083333,3.268800601,6.162946429,44.50905635,20.54782531,510.4829859,"not-burned",0.0418478540752595,"0"
"1395",25.19672619,71.94345238,1.226012838,5.231547619,64.22002058,20.96891219,516.2223967,"not-burned",0.0799617376637578,"0"
"1396",27.06755952,57.9047619,0.0135222,8.76297619,81.9986255,23.08260552,522.2985574,"not-burned",0.253902066903834,"0"
"1397",27.81845238,47.98809524,0.00144577,8.951369048,87.91195848,25.76248992,528.5098788,"not-burned",0.407063878882135,"0"
"1398",27.05029762,47.67559524,8.5e-05,9.824732143,88.81116616,28.38640118,534.5829324,"burned",0.400073823768839,"0"
"1399",27.62619048,45.8452381,0.000255,8.887053571,89.36932318,31.1560226,540.7596467,"burned",0.436916103930105,"0"
"1400",28.01041667,41.69940476,8.5e-05,8.606845238,90.11824806,34.17973662,547.0055217,"burned",0.509951949504181,"0"
"1401",28.63958333,44.23511905,1.67e-13,10.20949405,90.2765312,37.29259076,553.3646467,"not-burned",0.524068035361982,"0"
"1402",27.78630952,49.31845238,1.96917557,10.92190476,84.40879683,36.12387338,553.5532904,"not-burned",0.399716381357892,"0"
"1403",26.23988095,55.97321429,0.187467776,7.530863095,86.86037704,38.38217239,559.480469,"burned",0.254272449843907,"0"
"1404",26.93363095,55.23809524,0.291285504,5.93422619,87.46481262,40.7368723,565.5325226,"burned",0.265975167742971,"0"
"1405",27.95595238,53.79166667,1.093485631,5.693660714,84.43927991,40.75780296,568.0623603,"not-burned",0.30045815652699,"0"
"1406",28.04761905,55.89880952,0.15102844,6.695059524,87.13064441,43.17275115,574.3149317,"burned",0.305952308429295,"0"
"1407",28.60029762,48.22321429,0.1177976,7.225297619,88.81149478,46.06303057,580.6669853,"not-burned",0.437277879484561,"0"
"1408",28.63660714,37.86011905,1.67e-13,9.136577381,90.77687931,49.53065216,587.0255746,"burned",0.617243138108962,"0"
"1409",28.85625,33.26488095,1.67e-13,9.587291667,91.8509087,53.27954142,593.4236996,"not-burned",0.69358102053722,"0"
"1410",28.36130952,34.72619048,1.67e-13,9.789047619,91.90772145,56.8863485,599.7327353,"burned",0.66642641160276,"0"
"1411",29.12857143,30.70238095,1.67e-13,9.849077381,92.48310597,60.8154459,606.1798782,"burned",0.742140527776201,"0"
"1412",29.31458333,30,1.67e-13,12.23943452,92.71943402,64.80779643,612.6605032,"burned",0.782595421370472,"0"
"1413",28.72142857,34.17559524,1.67e-13,12.54303571,92.76968932,68.48922489,619.0343603,"burned",0.729736044843795,"0"
"1414",28.93988095,36.51488095,1.67e-13,10.16193452,92.76018173,72.0652854,625.4475389,"burned",0.684822415609707,"0"
"1415",29.29672619,40.39285714,0.319321639,8.357440476,91.53320334,75.46462869,631.9249496,"burned",0.623237683934121,"0"
"1416",24.95565476,71.23214286,8.864231185,8.126845238,62.07035564,48.53957902,582.955581,"not-burned",0.0696647833553696,"0"
