"","OR","2.5 %","97.5 %"
"(Intercept)",0.052483795771176,0.0105493630063384,0.261110440212882
"`Wind Speed`",1.05848938723724,1.02153312663389,1.09678262376645
"DC",1.00121536858726,1.0007193730935,1.0017116099157
"DMC",1.0032133290415,1.0012272904756,1.00520330712165
"Precipitation",0.938073536926594,0.886808317837971,0.992302330708124
"RH",0.944680479105792,0.933121317138214,0.956382831699217
"Temperature",1.15749776126881,1.110898890612,1.20605131453881
