"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",5.85080326631588,2.38579085056417,2.45235380332368,0.0141925038495052
"`Wind Speed`",-0.188875429239474,0.0532006637083928,-3.55024573142077,0.000384871722175082
"DMC",-0.00662038468862705,0.00215848256617994,-3.0671476306356,0.00216112093124354
"FMC",0.115012556503549,0.0147980384218931,7.77214879597773,7.71657255482058e-15
"Hydrography",0.000327908248744603,0.000193309136521716,1.69628944934926,0.0898310775791551
"LULC4",-0.617440937617306,1.22101660318844,-0.505677757374455,0.613082885261716
"LULC9",3.26746151671054,50.1955608755692,0.06509463107326,0.948098655151027
"LULC12",-2.63863694856814,1.32252004356115,-1.99515838071012,0.0460256086732672
"LULC15",-0.0277950438235559,6.47435766171023,-0.00429309674810485,0.996574614908687
"LULC25",1.9481763840973,19.6563581617108,0.0991117666899356,0.921049529622411
"LULC41",-6.44659784999531,698.833983293424,-0.00922479158728681,0.992639785604452
"NDVI",-15.5927811229608,2.17654453943676,-7.16400737059847,7.83521883733022e-13
"Precipitation",-1.1252608193299,0.128407913183711,-8.76317347919214,1.89829189879261e-18
"RH",-0.020822382853311,0.0111975803938028,-1.85954305492952,0.0629502023883337
