mes,ano,diasSemChuva,quantidadeFocos,umidadeMedia,tempMedia,tempMax,mediaTempComFocos,mediaPrecComFocos,mediaUmidadeComFocos
,1999,76,11,64.66267123287672,23.841949200913273,30.0880208333334,26.059232954545493,0.10935545404549168,48.27083333333334
,2000,86,16,65.78936133879782,23.844595286885276,28.7583333333334,26.18997395833337,0.23879233992192278,45.691080729166664
,2001,87,19,64.25654965753425,24.107006278538847,28.540625,24.59226973684213,0.1360840440131579,53.339364035087726
,2002,84,41,62.4675799086758,24.366484018264874,29.8494791666667,25.82000762195125,0.24571803330190573,46.92530487804878
,2003,94,45,63.6021404109589,24.153884132420124,28.6557291666667,25.311261574074106,0.02807955828058428,48.30891203703705
,2004,75,25,68.05134335154827,23.446264515027355,29.140625,25.87939583333337,0.07173919131504664,46.11604166666666
,2005,75,46,66.97067636986301,23.816113013698665,30.2036458333334,25.851268115942062,0.07044467667120637,46.86707427536231
,2006,50,33,68.7929651826484,23.451282819634738,27.68125,24.337089646464683,0.29808642187123247,58.299558080808076
,2007,104,54,61.02588470319635,24.17816638127857,30.5072916666667,25.899855324074103,0.3556759710764012,46.6929012345679
,2008,118,40,63.65575193533697,23.861730134335186,30.7958333333334,26.92234375000004,0.2271339794500206,42.75963541666666
,2009,56,34,69.11468321917808,24.055488013698664,28.6411458333334,26.070465686274545,0.9091359142279413,58.111979166666664
,2010,107,43,64.46663812785388,24.213675799086793,30.0083333333334,26.116157945736468,0.5954856285174419,56.319404069767444
,2011,94,40,66.9851598173516,23.49127568493154,28.1895833333334,23.867760416666698,0.2247827360187923,55.03515625
,2012,97,104,60.46200478142077,24.40651895491807,30.5640625,25.021419270833366,0.2643994402872766,52.83849158653846
,2013,83,67,63.894220890410956,24.554293664383593,29.6328125,25.690702736318443,0.24762826286570438,53.12935323383084
,2014,57,70,59.7644406392694,24.785672089041128,30.2984375,25.8786160714286,0.19111358609646262,48.683258928571426
,2015,93,69,56.545633470319636,25.6748148561644,32.38542,27.57818602657005,0.16733690630219583,44.38888888888889
,2016,100,44,59.4097931420765,25.325888224043712,30.60469,26.687973636363633,0.5132201400159224,49.76077136363636
,2017,134,39,58.680665178082194,24.910966575342467,30.13698,25.637941282051283,0.5794404521025641,56.493055897435895
,2018,98,23,63.56994865753425,24.50166276712329,30.07552,25.178646521739132,0.08997083722173914,49.44950130434783
,2019,88,46,59.40944643835617,25.425375506849313,30.3349,27.72056173913043,0.07489658805438042,44.64368260869565
