HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density (hab/km²)
1;815,4810181;0,580340981;0,578652024;709,0390015;4554,899902;4;2,092880011
1;761,9069824;2,556529999;0,595170975;203,9279938;384,5299988;4;0
1;732,5349731;1,762470007;0,579150021;334,3980103;1770,77002;4;0,0123088
1;786,1430054;1,69520998;0,601298988;1866,310059;847,9310303;4;0
1;814,5250244;0,625837982;0,587733984;1128,47998;4320,620117;4;0
1;793,9790039;0,854143023;0,601065993;1903,329956;1563,150024;4;0
1;753,3790283;0,903559029;0,639015019;1332,400024;364,7969971;4;0,292205989
1;808,947998;0,575483024;0,613011003;2948,939941;4364,990234;4;0
1;803,2109985;1,103399992;0,591745019;3074,139893;3096,75;4;0
1;742,1500244;1,16534996;0,581229985;732,1240234;576,7949829;4;0
1;752,9229736;3,148659945;0,572045982;245,0910034;286,7909851;4;0
1;735,6519775;2,034780025;0,542174995;135,9519958;259,7359924;4;0
1;747,6560059;2,34829998;0,621954024;911,9940186;155,0090027;4;0
1;767,2700195;2,109159946;0,579635978;818,5390015;836,4089966;4;0
1;803,2109985;1,103399992;0,591745019;3074,139893;3096,75;4;0
1;789,3239746;0,863061011;0,561092973;2865,330078;1449,339966;4;0
1;747,7890015;1,259850025;0,566797018;1265,52002;984,5969849;4;0,292205989
1;793,1890259;1,272809982;0,591252029;2176,290039;1225,449951;4;0,292205989
1;788,7150269;1,946239948;0,57357502;3010,189941;2130,810059;4;0
1;811,3640137;0,957391024;0,549328029;2367,47998;2963,780029;4;0
1;770,0759888;1,535920024;0,608102024;2615,439941;1711,319946;4;0
1;756,6099854;3,204699993;0,565329015;590,257019;634,7659912;4;0
1;770,4699707;1,360579967;0,60057199;945,8200073;889,940979;4;0
1;799,6309814;2,722490072;0,567614019;1191,810059;580,7869873;2;0
1;783,5570068;1,685780048;0,561151028;775,0460205;1069,189941;2;0
1;770,1560059;0,899100006;0,577000976;380,9079895;310,0180054;2;0
1;776,0830078;1,02967;0,573332012;560,5440063;395,196991;2;0
1;761,9069824;2,556529999;0,595170975;203,9279938;384,5299988;4;0
1;740,8870239;2,520829916;0,566667974;480,6629944;192,2649994;4;0
1;785,8870239;2,100660086;0,555574;759,9949951;67,97599792;4;0
1;799,8400269;2,591360092;0,58800602;2586,659912;2543,790039;4;0
1;743,5540161;1,616870046;0,58513999;91,19940186;548,039978;4;0
1;752,9680176;2,2493999;0,616033971;1431,050049;243,197998;4;0
1;765,927002;1,62432003;0,564105988;1653,089966;1479,319946;2;0
1;755,3850098;2,547849894;0,601216972;683,1500244;163,7079926;4;0
1;803,2109985;1,103399992;0,591745019;3074,139893;3096,75;4;0
1;789,1740112;2,4375;0,59078902;2597,360107;2204,97998;4;0
1;747,9849854;1,776119947;0,533011019;825,8449707;823,0430298;4;0,292205989
1;743,2479858;1,863659978;0,597670019;928,0650024;1830,310059;4;0
1;742,2280273;0,541836023;0,615646005;323,1539917;1586,040039;4;0
1;807,5599976;1,483540058;0,488963008;2368,060059;583,9609985;2;0,672482014
1;737,2160034;1,879930019;0,551236987;759,9949951;1069,189941;4;0
1;720,1810303;1,756600022;0,547122002;121,598999;2713,77002;3;0
