"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-13.7292005595072,1.21042147298141,-11.3424958710378,8.08064289839696e-30
"`Wind Speed`",-0.284265629375557,0.147534362479844,-1.92677573276797,0.054007585005144
"Elevation",0.300991486458516,0.139699603275622,2.15456221349943,0.0311961086356836
"NDVI",-0.280796930417938,0.151548556129113,-1.85285124180734,0.063903683313305
"Precipitation",-22.7321572328471,1.76016378669233,-12.9147965687699,3.7142438671614e-38
"RH",-0.948010810824027,0.184849079748359,-5.12856656962849,2.91956660119837e-07
"Road",0.353356195744284,0.152802321628865,2.3125054120744,0.0207498474148821
