"","(Intercept)","`Wind Speed`","Elevation","NDVI","Precipitation","RH","Road","Ocupations","Slope","Hydrography","Temperature","Pop_dens"
"full",-13.7054017327823,-0.216323273322888,0.263519097887267,-0.205365689456422,-22.7208275237092,-0.95465663259294,0.350863109766371,-0.0759113367293851,0.0956712638894009,0.0879037100879321,-0.0267068802307162,-0.0827835713550025
"subset",-13.7054017327823,-0.279119303870403,0.30607422272042,-0.28175042421697,-22.7208275237092,-0.95465663259294,0.358073312267812,-0.193021767456053,0.242417637820058,0.198722631154596,-0.11847301646751,-0.450806836487066
