"","HAS_FIRE","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"480","not-burned",1.39549005,0.459344,299.4030151,1142.319946,1.103440046,5030.224121,"12",0.30833472450007,"1"
"481","not-burned",1.954920053,0.537841022,1091.430054,818.5390015,1.103440046,5309.095215,"4",0.301028273629291,"1"
"482","not-burned",3.118370056,0.546491027,4738.180176,273.5979919,0.48012501,3363.266846,"4",0.288128310733475,"1"
"483","not-burned",0.689833999,0.455015987,5249.310059,1784.290039,0.48012501,4294.98584,"12",0.265163895078455,"1"
"484","not-burned",1.638599992,0.548873007,85.9835968,1579.910034,1.103440046,3009.73291,"4",0.235366244888943,"1"
"485","not-burned",3.332269907,0.555352986,2918.379883,679.7600098,1.103440046,4434.307617,"4",0.247202335580118,"1"
"486","not-burned",1.925359964,0.499141991,1876.189941,4213.200195,0.48012501,12529.91504,"4",0.190813589556179,"1"
"487","not-burned",0.820783973,0.585735977,1459.189941,3963.649902,0.48012501,8216.833984,"4",0.065899481246457,"1"
"488","not-burned",0.586049974,0.392030001,3283.179932,1734.920044,0.48012501,10761.22559,"12",0.475098514786716,"1"
"489","not-burned",0.454991013,0.621617973,3874.629883,1357.140015,0.292205989,7062.833984,"4",0.0775737738025525,"1"
"490","not-burned",1.551440001,0.510949016,773.8519897,742.1539917,0.802272975,4299.179688,"4",0.405971687454959,"1"
"491","not-burned",3.409460068,0.477963001,1639.619995,825.8449707,0.48012501,578.3955078,"12",0.262714361383965,"1"
"492","not-burned",3.733639956,0.436536998,6886.47998,367.321991,0.48012501,2664.277588,"12",0.415069918602067,"1"
"493","not-burned",1.211420059,0.393328011,2523.919922,1135.02002,0.48012501,10571.6123,"12",0.514707695805475,"1"
"494","not-burned",2.36913991,0.423422992,3313.580078,2064.5,0.48012501,10742.14355,"12",0.323610909953022,"1"
"495","not-burned",0.746330023,0.533581972,821.3569946,85.9835968,1.103440046,1866.557129,"4",0.387640396564367,"1"
"496","not-burned",2.965650082,0.443010986,1777.280029,1410.23999,0.48012501,1569.3479,"12",0.341846832290887,"1"
"497","not-burned",1.801059961,0.539111972,2090.52002,523.0180054,0.802272975,5700.67041,"4",0.305392231394296,"1"
"498","not-burned",2.05170989,0.631568015,2902.030029,231.5180054,0.802272975,6672.044434,"4",0.0941099722211263,"1"
"499","not-burned",2.170370102,0.573153973,666.7189941,876.8640137,0.802272975,4194.400391,"4",0.192609234746814,"1"
"500","not-burned",2.147819996,0.568623006,1338.969971,429.9179993,0.802272975,5017.53125,"4",0.222132528603041,"0"
"501","not-burned",1.807780027,0.505518019,366.0620117,91.19940186,1.103440046,790.3945923,"4",0.500915996024346,"1"
"502","not-burned",1.270009995,0.539427996,5286.509766,961.3259888,0.48012501,3469.840332,"4",0.275099758991854,"1"
"503","not-burned",3.709860086,0.370851994,4068.810059,1293.329956,0.48012501,6466.658203,"12",0.598148629138437,"1"
"504","not-burned",2.372319937,0.415224999,2553.580078,2389.429932,0.48012501,6920.611328,"12",0.352154985017337,"1"
"505","not-burned",0.881986022,0.383325011,1296.189941,4103.970215,0.48012501,4378.941895,"4",0.659203192573444,"1"
"506","not-burned",1.856979966,0.530791998,2121.23999,503.2059937,0.802272975,8061.678711,"4",0.324410582840373,"1"
"507","not-burned",1.054029942,0.376865,1096.5,1711.319946,0.895577013,10673.09766,"4",0.798268133431622,"1"
"508","not-burned",1.452409983,0.337983996,1772.599976,1548,0.48012501,1428.790161,"15",0.725798315487944,"1"
"509","not-burned",1.204789996,0.586558998,699.1950073,4931.609863,0.48012501,7630.832031,"4",0.0503880380789312,"1"
