HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;Temperature;RH;Precipitation;Wind Speed;FMC;DMC;DC;year
1;705,9400024;2,365339994;0,2828;1173,050049;2160,310059;2,220340014;1768,682739;4;27,23869048;34,30952381;0;12,72491071;91,54629058;93,2573201;881,8046568;2005
1;707,6409912;1,114719987;0,4914;804,8770142;530,9099731;2,220340014;992,5427246;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;769,4039917;1,492329955;0,2105;5796,720215;3120,540039;2,220340014;5350,449707;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;756,6619873;0,975197971;0,3025;5484,529785;2754,5;2,220340014;5819,793945;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;680,4379883;1,459890008;0,4208;0;877,3909912;2,220340014;560,5444336;4;26,07708333;46,32738095;0,015975687;8,545565476;89,99126393;180,3084826;818,8100363;2005
1;730;1,835420012;0,4343;7599,77002;1142,319946;0,802272975;4218,67627;12;25,40684524;46,92559524;0;11,99479167;89,90014932;175,5741915;807,1812149;2005
1;748,4699707;1,155200005;0,3759;7821,490234;259,7359924;0,802272975;7571,745605;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;749,2139893;0,897255003;0,4641;4156,890137;3290,070068;2,220340014;4493,105469;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;705,7890015;1,773949981;0,5183;10036,90039;611,7839966;0,802272975;7635,735352;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;766,065979;4,232480049;0,2086;1767,380005;1704,829956;2,220340014;2436,72876;12;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;708,4849854;1,927350044;0,3279;1366,300049;2338,409912;2,220340014;1812,296753;4;27,23869048;34,30952381;0;12,72491071;91,54629058;93,2573201;881,8046568;2005
1;750,3380127;0,449761987;0,2459;5290,790039;1204,540039;2,220340014;4595,901367;4;27,23869048;34,30952381;0;12,72491071;91,54629058;93,2573201;881,8046568;2005
1;763,8040161;1,376819968;0,2572;2705,75;30,39979935;2,220340014;2397,154297;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;743,3109741;1,178719997;0,2896;4255,649902;182,3990021;0,802272975;1346,199463;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;751,8640137;2,051399946;0,2141;3892,23999;245,0910034;2,220340014;3082,245117;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;763,3920288;0,493620992;0,4858;4255,970215;261,5090027;2,220340014;3585,758301;4;25,14970238;48,58928571;4,12E-04;10,1858631;89,94192563;177,8493202;812,9121613;2005
1;766,0040283;0,75663501;0,449;6248,620117;1975,98999;2,220340014;5042,060059;4;29,19136905;31,7827381;0;9,474910714;92,60624299;130,5123134;949,6280318;2005
1;748,1550293;1,07735002;0,4695;3276,560059;2495,01001;2,220340014;3781,812256;4;26,01904762;43,01488095;1,67E-13;10,49907738;89,70301401;165,9912444;784,3877684;2005
1;777,1989746;0,732819974;0,4294;6110,359863;1729,319946;2,220340014;4171,09082;4;27,23869048;34,30952381;0;12,72491071;91,54629058;93,2573201;881,8046568;2005
1;734,5209961;1,873110056;0,5692;4192,970215;109,6080017;0,802272975;1644,120117;4;27,23869048;34,30952381;0;12,72491071;91,54629058;93,2573201;881,8046568;2005
1;717,9379883;1,768769979;0,3506;8633,75;407,8559875;0,802272975;7378,199219;4;29,19136905;31,7827381;0;9,474910714;92,60624299;130,5123134;949,6280318;2005
1;712,5419922;2,474410057;0,2959;8400,75;0;0,802272975;5613,76416;12;27,02946429;43,62202381;0;9,139613095;89,53317916;19,22906339;595,723863;2005
1;763,0059814;6,117680073;0,4871;7971,069824;151,9989929;0,802272975;9699,249023;4;30,04464286;36,1577381;0,055118266;8,931815476;92,61473684;134,0559128;956,2400675;2005
1;748,8060303;1,769930005;0,4634;8357,950195;109,6080017;0,802272975;9363,185547;4;29,19136905;31,7827381;0;9,474910714;92,60624299;130,5123134;949,6280318;2005
1;713,9639893;3,533220053;0,4155;8589,169922;323,1539917;0,802272975;8269,637695;12;29,19136905;31,7827381;0;9,474910714;92,60624299;130,5123134;949,6280318;2005
1;791,1849976;0,708157003;0,4911;2042,449951;2176,290039;2,220340014;1921,209106;4;27,23869048;34,30952381;0;12,72491071;91,54629058;93,2573201;881,8046568;2005
1;754,7550049;1,890130043;0,3656;3890,820068;638,3959961;0,802272975;3893,66626;4;25,14970238;48,58928571;4,12E-04;10,1858631;89,94192563;177,8493202;812,9121613;2005
1;802,8909912;0,983108997;0,5076;2432,169922;1096,079956;2,220340014;2079,665771;4;27,23869048;34,30952381;0;12,72491071;91,54629058;93,2573201;881,8046568;2005
1;706,664978;1,054499984;0,4533;9123,030273;530,9099731;0,802272975;7823,208008;12;29,19136905;31,7827381;0;9,474910714;92,60624299;130,5123134;949,6280318;2005
1;720,3549805;1,64467001;0,5492;13455,59961;42,9917984;2,507019997;2244,031738;4;27,02946429;43,62202381;0;9,139613095;89,53317916;19,22906339;595,723863;2005
1;735,1920166;1,639500022;0,5919;2397,149902;328,8240051;2,220340014;1293,331665;4;25,82321429;45,58630952;0;10,41279762;89,52949426;205,6107614;881,329947;2005
1;726,1309814;1,696079969;0,3534;8433,240234;598,8060303;0,802272975;7460,594238;12;22,11785714;54,9672619;1,67E-13;11,96309524;88,39716387;149,129626;740,2165542;2005
1;801,7689819;2,037529945;0,3084;4934,97998;432,0620117;0,802272975;8255,432617;4;27,02946429;43,62202381;0;9,139613095;89,53317916;19,22906339;595,723863;2005
1;698,8270264;2,857229948;0,5703;9060,410156;109,6080017;0,802272975;4965,599121;12;27,02946429;43,62202381;0;9,139613095;89,53317916;19,22906339;595,723863;2005
1;706,882019;1,769749999;0,5637;8777,330078;151,9989929;0,802272975;5709,09375;4;27,23869048;34,30952381;0;12,72491071;91,54629058;93,2573201;881,8046568;2005
1;781,598999;2,395960093;0,5326;2308,97998;548,039978;2,220340014;1926,972778;4;25,14970238;48,58928571;4,12E-04;10,1858631;89,94192563;177,8493202;812,9121613;2005
1;746,3740234;0,863313019;0,3634;4044,889893;1408,27002;0,802272975;3693,293213;4;25,40803571;46,50892857;0,008646634;9,709672619;90,03278518;182,6989766;824,5874827;2005
1;689,1409912;2,748859882;0,2922;2896,929932;547,1959839;2,507019997;870,5175781;4;27,51815476;34,88392857;0;10,6177381;91,47665745;89,94094146;875,6976925;2005
1;675,875;2,619590044;0,5352;1645,52002;171,9669952;2,507019997;711,6408691;4;26,98244048;32,85714286;0;9,631160714;91,77184405;99,90928063;893,8301211;2005
1;803,8909912;1,810539961;0,3875;11202,5;171,9669952;2,507019997;2536,880371;4;25,40803571;46,50892857;0,008646634;9,709672619;90,03278518;182,6989766;824,5874827;2005
1;761,7340088;3,21739006;0,4243;3163,47998;843,0120239;0,802272975;7617,498535;12;26,44791667;32,86904762;0;11,10092262;91,65143516;96,55124278;887,7692818;2005
1;777,9290161;15,11229992;0,6076;10721;155,0090027;2,507019997;4401,255859;4;24,17142857;68,88988095;0,07075732;8,402261905;84,59017967;7,591949962;33,93720048;2005
1;719,927002;3,896729946;0,4532;1173,050049;505,9530029;0,672481;1718,05896;4;26,44791667;32,86904762;0;11,10092262;91,65143516;96,55124278;887,7692818;2005
1;693,2069702;1,99119997;0,3547;2647,75;455,9970093;2,507019997;303,9979248;4;25,40684524;46,92559524;0;11,99479167;89,90014932;175,5741915;807,1812149;2005
1;824,2199707;0,770009995;0,3842;9790,429688;328,8240051;2,507019997;5247,817871;4;25,91071429;35,19642857;0;14,12;92,17803709;109,8401909;912,0228711;2005
1;728,7319946;2,421269894;0,4447;2339,01001;395,196991;0,672481;2433,50293;4;25,40803571;46,50892857;0,008646634;9,709672619;90,03278518;182,6989766;824,5874827;2005
1;738,3740234;3,796849966;0,4385;5721,709961;701,8339844;2,507019997;3274,298828;12;25,91071429;35,19642857;0;14,12;92,17803709;109,8401909;912,0228711;2005
1;791,7860107;3,424109936;0,4392;4095,290039;475,8320007;0,802272975;8336,696289;12;27,51815476;34,88392857;0;10,6177381;91,47665745;89,94094146;875,6976925;2005
1;725,992981;0,905120015;0,31;6587,850098;125,3420029;2,507019997;2746,768799;4;27,51815476;34,88392857;0;10,6177381;91,47665745;89,94094146;875,6976925;2005
1;707,7579956;2,182709932;0,4537;60,79959869;809,4569702;0,48012501;2334,458496;4;25,22291667;45,12797619;0;12,71877976;90,08215348;185,1344029;830,3316077;2005
1;725,7990112;2,754499912;0,448;214,9589996;871,0479736;0,802272975;6670,589844;4;28,55059524;30,25;0;12,72122024;92,50585685;123,2800704;936,8674604;2005
1;716,848999;1,406419992;0,486;2192,159912;856,6060181;0,802272975;5246,584961;4;24,91547619;47,56845238;0;13,35178571;89,43113869;200,7697607;869,7445184;2005
1;736,9530029;1,795459986;0,5445;3643,540039;864,6589966;0,672481;4969,970703;4;26,19761905;38,42857143;0;12,70571429;91,03194533;69,08537783;833,6466568;2005
1;711,0679932;0,53689599;0,6071;730,8610229;335,7770081;0,802272975;5267,679688;4;28,55059524;30,25;0;12,72122024;92,50585685;123,2800704;936,8674604;2005
