HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;Temperature;RH;Precipitation;Wind Speed;year
1;587,6569824;3,3150599;0,6174;9326;701,8339844;2,220340014;1398,390381;12;27,02946429;43,62202381;0;9,139613095;2005
1;589,2059937;3,240750074;0,5847;9866,830078;657,6480103;2,220340014;1490,830078;12;27,02946429;43,62202381;0;9,139613095;2005
1;609,1539917;2,202630043;0,3665;8877,419922;1240,449951;2,220340014;1817,134644;12;27,02946429;43,62202381;0;9,139613095;2005
1;599,9249878;2,833650112;0,4561;9546,549805;42,9917984;2,220340014;693,8881226;4;26,00178571;55,0625;0,016291499;9,390505952;2005
1;653,5830078;2,269239902;0,4913;7480,700195;1094,390015;2,220340014;1625,180908;4;26,00178571;55,0625;0,016291499;9,390505952;2005
1;636,0310059;2,824929953;0,54;6870,350098;881,5939941;2,220340014;1470,859863;4;26,00178571;55,0625;0,016291499;9,390505952;2005
1;650,2269897;1,956760049;0,5965;8440,530273;1033,589966;2,220340014;1754,255005;4;26,00178571;55,0625;0,016291499;9,390505952;2005
1;619,2020264;1,596300006;0,5583;9187,980469;280,2720032;2,220340014;1118,613159;4;26,00178571;55,0625;0,016291499;9,390505952;2005
1;660,2709961;2,377899885;0,3721;1751,880005;590,257019;2,220340014;1915,428101;4;27,02946429;43,62202381;0;9,139613095;2005
1;801,2379761;1,41328001;0,2991;4623,27002;1424,900024;2,220340014;3300,163086;4;27,51815476;34,88392857;0;10,6177381;2005
1;797,8270264;1,693719983;0,5611;5038,669922;773,8519897;2,220340014;2738,682129;4;27,02946429;43,62202381;0;9,139613095;2005
1;800,8179932;0,477385998;0,4458;4408,390137;1621,47998;2,220340014;3418,456299;4;26,53779762;42,1547619;0;10,34416667;2005
1;643,3930054;2,348170042;0,4396;10446,90039;1074,790039;2,220340014;280,2722168;4;27,05386905;39,83333333;0;11,09223214;2005
1;800,4249878;0,359925002;0,2189;4412,580078;1893,589966;2,220340014;4845,120117;4;27,05386905;39,83333333;0;11,09223214;2005
1;656,1799927;0,850979984;0,5342;0;280,2720032;2,220340014;1660,619019;12;27,02946429;43,62202381;0;9,139613095;2005
1;680,3759766;9,899860382;0,4487;6432,47998;486,3970032;2,220340014;3067,217041;4;27,13303571;42,08928571;0;10,86377976;2005
1;801,9699707;1,034999967;0,2962;5266,279785;856,6060181;2,220340014;3179,213623;4;27,51815476;34,88392857;0;10,6177381;2005
1;656,6710205;2,671309948;0,2908;9887,929688;1487,109985;2,220340014;1249,723511;4;26,44791667;32,86904762;0;11,10092262;2005
1;762,1480103;14,32940006;0,5431;6633,709961;881,5939941;2,220340014;2605,352539;4;26,44791667;32,86904762;0;11,10092262;2005
1;802,7810059;1,475900054;0,3147;5173,680176;864,6589966;2,220340014;3714,874512;4;26,44791667;32,86904762;0;11,10092262;2005
1;799,3660278;0,924763024;0,5762;3258,879883;2421,320068;2,220340014;4315,164551;4;26,44791667;32,86904762;0;11,10092262;2005
