HAS_FIRE;Elevation;Slope;NDVI;Hydrography (m);Road (m);LULC;Pop. Density (hab/km²)
1;715,5540161;1,996520042;0,421718001;151,9989929;5576,52002;4;1,103440046
1;721,723999;2,925339937;0,480792999;151,9989929;6083,759766;4;0,672481
1;776,7890015;5,107610226;0,544381022;715,526001;5275,220215;3;1,103440046
1;709,3239746;2,740920067;0,471551001;280,2720032;6301,640137;4;1,103440046
1;713,1719971;1,411720037;0,513283014;288,3980103;6098,25;4;1,103440046
1;795,7960205;1,776520014;0,492929995;869,4550171;4794,02002;3;1,103440046
1;729,5089722;1,791470051;0,484820008;334,3980103;5384,799805;4;1,103440046
1;738,8889771;2,544369936;0,48013401;509,5929871;5003,330078;4;1,103440046
1;735,2869873;3,642040014;0,493836999;109,6080017;5046,72998;4;0,672481
1;730,1420288;4,999939919;0,46398899;422,3269958;5584,379883;4;1,103440046
1;795,8400269;1,980360031;0,556267023;1315,300049;3872,600098;4;1,103440046
1;829,1450195;1,730749965;0,413295001;3701,419922;214,9589996;2;0,895577013
1;828,7470093;0,128248006;0,29005599;2549,419922;30,39979935;2;0,895577013
1;823,8010254;0,745299995;0,307143986;2737,5;2433,689941;2;0,895577013
1;835,5150146;0,600938022;0,393115014;4949,850098;1896,030029;2;0,895577013
1;835,5;0,322831988;0,298781991;3645,570068;3398,800049;2;0,895577013
1;829,197998;1,726979971;0,372803003;3643,540039;237,4299927;2;0,895577013
1;827,5310059;2,59781003;0,282467991;2945,02002;1642,709961;-9999;-9999
1;718,5380249;5,093810081;0,447939008;30,39979935;5521,810059;4;1,103440046
1;699,2919922;3,264539957;0,39261499;67,97599792;6568,180176;5;0,672481
1;834,3330078;0,686358988;0,315557986;4572,620117;2407,72998;2;0,895577013
1;811,617981;1,045050025;0,571029007;30,39979935;6688,089844;4;0,672481
1;829,5670166;0,919366002;0,305395991;3495,449951;2896,129883;2;0,895577013
1;701,6060181;1,762439966;0,545404971;60,79959869;6141,959961;5;1,103440046
1;738,1959839;10,30259991;0,579102993;214,9589996;7553,47998;3;0,672481
1;789,0280151;1,588700056;0,468057007;395,196991;580,7869873;4;0,895577013
1;730,4580078;0,625918984;0,42869699;399,8469849;1998,540039;4;1,103440046
1;777,4530029;1,865739942;0,406839997;192,2649994;0;4;0,895577013
1;808,9329834;2,447329998;0,502184987;739,6589966;816,8439941;4;0,895577013
1;783,9790039;2,63132;0,485399991;245,0910034;408,9869995;4;0,895577013
1;751,8930054;2,687429905;0,458543003;608,7550049;4383,689941;4;1,103440046
1;730,026001;2,321010113;0,526772976;576,7949829;5688,660156;4;0,672481
1;716,8010254;0,497981995;0,492146999;816,8439941;3767,73999;4;1,103440046
1;728,197998;2,190370083;0,488184005;717,4609985;3726,300049;4;1,103440046
1;759,8560181;13,64579964;0,586530983;121,598999;2565,320068;5;0,895577013
1;750,0529785;0,682860017;0,625358999;151,9989929;1767,380005;5;0,895577013
1;756,5759888;6,695429802;0,612855971;1203,77002;2095,820068;4;1,103440046
1;786,6350098;1,642860055;0,450446993;1131,349976;1483,369995;4;0,895577013
1;723,835022;1,294239998;0,423732013;923,072998;3191,830078;4;1,103440046
1;691,4279785;3,851919889;0,585995972;214,9589996;5877,549805;5;0,672481
1;739,1589966;8,922800064;0,547728002;666,7189941;4364,25;3;0,672481
1;721,2979736;14,82499981;0,540875971;611,7839966;6731;3;1,103440046
1;709,9550171;3,050209999;0,486277014;261,5090027;3350,600098;4;1,103440046
1;686,1719971;0,927026987;0,520954013;85,9835968;5826,700195;5;1,103440046
1;696,447998;1,691419959;0,762323976;42,9917984;6680;5;1,103440046
1;823,7069702;0,371336013;0,326407999;1588,079956;537,8270264;2;0,895577013
1;809,2979736;1,497410059;0,574608028;1975,98999;214,9589996;2;0,895577013
1;696,0120239;4,069890022;0,473800987;448,8479919;6261,620117;4;0,672481
1;710,9619751;5,558179855;0,477694988;558,065979;6851,830078;4;1,103440046
1;790,3079834;2,129879951;0,511196017;171,9669952;2472,120117;4;0,895577013
1;734,5029907;2,489559889;0,480955005;259,7359924;42,9917984;4;0,895577013
1;-9999;-9999;0,475639999;-9999;-9999;4;1,103440046
1;696,2630005;4,286610126;0,45669201;432,0620117;4793,72998;4;1,103440046
1;709,0079956;2,524840117;0,421734989;480,6629944;5159,72998;4;1,103440046
1;829,3129883;1,224120021;0,407557011;1410,23999;1240,449951;2;0,895577013
1;764,1049805;0,940122008;0,454649001;380,9079895;687,8690186;4;0,895577013
1;693,1300049;1,71044004;0,411453009;109,6080017;5270,310059;4;1,103440046
1;716,1069946;2,593280077;0,426615;792,7299805;5342,930176;4;1,103440046
1;711,6069946;2,04437995;0,481373996;969,9390259;4888,319824;4;1,103440046
1;790,8170166;12,04459953;0,503274977;973,2680054;2732,939941;3;1,103440046
1;712,9749756;1,457550049;0,474272013;601,8850098;4263,129883;4;1,103440046
1;823,0830078;1,812369943;0,408645004;2024,949951;1704,829956;2;0,895577013
1;701,7719727;2,891139984;0,483889014;245,0910034;5038,390137;4;1,103440046
1;706,4689941;1,610249996;0,46638;472,9100037;6517,549805;4;1,103440046
1;723,4680176;12,37240028;0,561262012;625,9699707;7030,77002;4;0,672481
1;716,072998;2,476749897;0,483989;380,9079895;3863,76001;4;1,103440046
1;709,6669922;2,406529903;0,442074001;1067,459961;1104,900024;4;0,895577013
1;690,5960083;2,359930038;0,367891997;67,97599792;4900,689941;5;1,103440046
1;709,3010254;1,908049941;0,420832992;151,9989929;3565,080078;4;1,103440046
1;788,1560059;22,58880043;0,345806003;60,79959869;4087,72998;3;0,895577013
1;713,6519775;1,642019987;0,481501013;924,5739746;4799,410156;4;1,103440046
