"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.271973451682527,4.05384481232435,0.0670902474746157,0.946509857791133
"`Wind Speed`",-0.162134660944571,0.114392761924772,-1.41735069786318,0.156380419484618
"DMC",-0.00698262486161914,0.00487128497083355,-1.43342565738344,0.151736230399087
"FMC",0.1064186297385,0.0329324517234561,3.23142141472276,0.00123176189341112
"NDVI",-7.49522674679219,3.66093662661489,-2.04735222464714,0.0406235136243253
"Precipitation",-1.02918136437119,0.284543408474525,-3.6169573208136,0.000298086430771604
"Road",0.00055410410535437,0.000268495489350198,2.0637371104274,0.0390426487352597
