HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;year
1;714,5150146;0,966422021;0,4806;2519,330078;380,9079895;3,511869907;3367,929932;4;2005
1;657,8980103;7,802670002;0,4182;455,9970093;668,7949829;1,533360004;435,2590027;12;2005
1;679,3549805;3,871320009;0,4773;752,6630249;666,7189941;0,895577013;2615,090088;12;2005
1;654,2849731;4,216549873;0,5313;3460,909912;125,3420029;0,895577013;6220,600098;4;2005
1;648,1829834;1,67385006;0,3807;978,9489746;85,9835968;1,533360004;451,9249878;4;2005
1;690,4420166;0,963630021;0,4203;3360,659912;151,9989929;1,533360004;1611,189941;4;2005
1;710,34198;0,780053973;0,4928;335,7770081;0;3,511869907;2588,810059;4;2005
1;707,4639893;2,74277997;0,4454;1639,619995;455,9970093;3,511869907;1876,189941;4;2005
1;699,3649902;5,463300228;0,4648;4627,160156;280,2720032;1,533360004;2481,639893;12;2005
1;702,2199707;2,313940048;0,581;192,2649994;151,9989929;3,511869907;2647,580078;4;2005
1;712,9390259;0,787539005;0,5196;550,5640259;1061,819946;3,511869907;1490,52002;4;2005
1;744,5579834;2,621750116;0,5323;1389,439941;634,7659912;0,895577013;346,6109924;4;2005
1;633,7949829;1,343359947;0,3875;465,0270081;505,9530029;1,533360004;667,4119873;12;2005
1;755,1710205;3,29824996;0,4001;1618,060059;830,3099976;0,895577013;317,3829956;4;2005
1;715,8800049;0,818575025;0,4694;1406,630005;30,39979935;3,511869907;2750,300049;4;2005
1;655,5189819;3,609220028;0,4869;1796,420044;1144,339966;0,895577013;1579,910034;12;2005
1;663,565979;2,822940111;0,3328;3102,860107;177,2599945;0,895577013;5216,72998;12;2005
1;683,6790161;1,41418004;0,3803;451,9249878;722,5949707;0,895577013;2831,26001;12;2005
1;750,9530029;1,592640042;0,5177;1282,930054;395,196991;0,895577013;995,7960205;4;2005
1;691,0709839;2,916640043;0,3467;4155,439941;709,6900024;0,895577013;6022,689941;12;2005
1;676,3909912;3,649800062;0,5216;2546,699951;992,5430298;0,895577013;5184,919922;12;2005
1;720,1810303;0,586740971;0,4192;984,5969849;221,3139954;3,511869907;2683,629883;4;2005
1;650,6450195;1,317029953;0,5379;422,3269958;259,7359924;1,533360004;580,7869873;4;2005
1;667,7839966;0,533055007;0,5572;1428,790039;509,5929871;1,533360004;851,7369995;12;2005
1;775,9899902;2,626689911;0,4595;571,1599731;693,8880005;1,533360004;3280,5;4;2005
1;656,2810059;2,178659916;0,3265;1956,23999;1256,72998;1,533360004;1240,069946;12;2005
1;615,5770264;2,679519892;0,5347;578,3959961;460,0320129;1,533360004;1327,880005;4;2005
1;645,8699951;1,227789998;0,4578;343,9339905;1074,359985;2,717230082;1359,52002;12;2005
1;679,0969849;2,010999918;0,3035;1848,650024;30,39979935;1,103440046;1866,560059;4;2005
1;638,1829834;3,43453002;0,3943;5031,689941;550,5640259;0,895577013;6305,149902;12;2005
1;779,5570068;1,182700038;0,3571;334,3980103;0;1,533360004;2601,800049;4;2005
1;606,8729858;1,288750052;0,3897;1479,319946;203,9279938;0,895577013;961,3259888;4;2005
1;685,3540039;3,909830093;0,4508;2909,5;982,2470093;1,533360004;516,7960205;12;2005
