HAS_FIRE;Elevation;Slope;NDVI;Road;Hydrography;Pop_dens;Ocupations;LULC;Temperature;RH;Precipitation;Wind Speed;year
1;729,1740112;1,905200005;0,491;1124,790039;386,9259949;3,511869907;3290,070068;4;26,7515625;40,05208333;0;9,8990625;2005
1;675,7310181;14,06439972;0,4413;3037,850098;259,7359924;1,533360004;1663,119995;12;27,28958333;41,52604167;0,002875736;11,70651042;2005
1;683,9039917;8,977689743;0,5331;4573,430176;408,9869995;0,895577013;3119,5;4;26,80104167;47,03645833;0;9,915677083;2005
1;740,4559937;5,806630135;0,6219;3608,370117;389,3070068;0,895577013;685,8510132;4;26,7515625;40,05208333;0;9,8990625;2005
1;633,9699707;3,465159893;0,5034;3481,669922;273,5979919;0,895577013;1618,339966;4;25,24270833;46,140625;0;11,28890625;2005
1;728,5869751;0,860520005;0,565;2653,850098;155,0090027;3,511869907;3999,050049;4;24,36510417;48,17708333;1,67E-13;8,230833333;2005
1;710,526001;0,711479008;0,5685;2282,209961;548,039978;3,511869907;2285,649902;4;20,375;66,52604167;9,98E-04;8,891145833;2005
1;664,6149902;2,990269899;0,4965;2711,209961;413,4819946;1,103440046;2164,370117;4;28,09635417;41,65104167;0;11,3778125;2005
1;655,8969727;2,497479916;0,5363;2661,679932;486,3970032;1,533360004;1612,339966;4;27,7921875;34,9375;0;9,928489583;2005
1;769,4390259;2,374030113;0,2512;5227,080078;1635,949951;3,511869907;3934,870117;4;25,24270833;46,140625;0;11,28890625;2005
1;684,875;2,156790018;0,5817;4259,990234;919,0599976;1,103440046;1091,430054;4;27,28958333;41,52604167;0,002875736;11,70651042;2005
1;726,3930054;2,49116993;0,4166;730,8610229;413,4819946;3,511869907;2774,550049;4;28,09635417;41,65104167;0;11,3778125;2005
1;741,9790039;8,322480202;0,5949;4183,370117;339,8800049;1,533360004;2950,189941;4;26,42447917;39,94270833;0;12,89729167;2005
1;734,9210205;1,95799005;0,2723;2128,199951;938,9550171;3,511869907;3634,02002;4;25,81770833;43,28645833;1,67E-13;8,885520833;2005
1;758,9260254;1,318799973;0,5945;5897,870117;1346,540039;3,511869907;2750,300049;4;26,42447917;39,94270833;0;12,89729167;2005
1;664,9970093;3,346339941;0,5151;3551,050049;245,0910034;1,103440046;1866,560059;4;25,24270833;46,140625;0;11,28890625;2005
1;707,7299805;1,939389944;0,549;42,9917984;364,7969971;3,511869907;2951,290039;4;27,7921875;34,9375;0;9,928489583;2005
1;638,8770142;2,55862999;0,4917;3300,159912;96,13259888;0,895577013;1371,030029;4;25,81770833;43,28645833;1,67E-13;8,885520833;2005
1;680,5150146;4,035749912;0,5039;4854,839844;1074,790039;0,895577013;6543,02002;4;25,63854167;44,34895833;0;12,89151042;2005
1;664,7839966;1,017400026;0,5212;5220,720215;1089,73999;0,895577013;6811,859863;12;26,49895833;38,56770833;0;9,773385417;2005
1;635,0360107;2,02125001;0,3457;1096,5;91,19940186;0,895577013;1278,599976;4;27,7921875;34,9375;0;9,928489583;2005
1;714,5150146;0,966422021;0,4806;2519,330078;380,9079895;3,511869907;3367,929932;4;27,20989583;42,546875;1,20E-04;12,58994792;2005
1;657,8980103;7,802670002;0,4182;455,9970093;668,7949829;1,533360004;435,2590027;12;26,25989583;53,953125;0,049486617;10,30723958;2005
1;679,3549805;3,871320009;0,4773;752,6630249;666,7189941;0,895577013;2615,090088;12;26,49895833;38,56770833;0;9,773385417;2005
1;654,2849731;4,216549873;0,5313;3460,909912;125,3420029;0,895577013;6220,600098;4;26,49895833;38,56770833;0;9,773385417;2005
1;648,1829834;1,67385006;0,3807;978,9489746;85,9835968;1,533360004;451,9249878;4;26,25989583;53,953125;0,049486617;10,30723958;2005
1;690,4420166;0,963630021;0,4203;3360,659912;151,9989929;1,533360004;1611,189941;4;25,81770833;43,28645833;1,67E-13;8,885520833;2005
1;710,34198;0,780053973;0,4928;335,7770081;0;3,511869907;2588,810059;4;26,49895833;38,56770833;0;9,773385417;2005
1;707,4639893;2,74277997;0,4454;1639,619995;455,9970093;3,511869907;1876,189941;4;26,25989583;53,953125;0,049486617;10,30723958;2005
1;699,3649902;5,463300228;0,4648;4627,160156;280,2720032;1,533360004;2481,639893;12;27,28958333;41,52604167;0,002875736;11,70651042;2005
1;702,2199707;2,313940048;0,581;192,2649994;151,9989929;3,511869907;2647,580078;4;26,25989583;53,953125;0,049486617;10,30723958;2005
1;712,9390259;0,787539005;0,5196;550,5640259;1061,819946;3,511869907;1490,52002;4;26,49895833;38,56770833;0;9,773385417;2005
1;744,5579834;2,621750116;0,5323;1389,439941;634,7659912;0,895577013;346,6109924;4;27,20989583;42,546875;1,20E-04;12,58994792;2005
1;633,7949829;1,343359947;0,3875;465,0270081;505,9530029;1,533360004;667,4119873;12;25,63854167;44,34895833;0;12,89151042;2005
1;755,1710205;3,29824996;0,4001;1618,060059;830,3099976;0,895577013;317,3829956;4;26,25989583;53,953125;0,049486617;10,30723958;2005
1;715,8800049;0,818575025;0,4694;1406,630005;30,39979935;3,511869907;2750,300049;4;27,20989583;42,546875;1,20E-04;12,58994792;2005
1;655,5189819;3,609220028;0,4869;1796,420044;1144,339966;0,895577013;1579,910034;12;25,81770833;43,28645833;1,67E-13;8,885520833;2005
1;663,565979;2,822940111;0,3328;3102,860107;177,2599945;0,895577013;5216,72998;12;27,20989583;42,546875;1,20E-04;12,58994792;2005
1;683,6790161;1,41418004;0,3803;451,9249878;722,5949707;0,895577013;2831,26001;12;27,20989583;42,546875;1,20E-04;12,58994792;2005
1;750,9530029;1,592640042;0,5177;1282,930054;395,196991;0,895577013;995,7960205;4;27,4046875;40,78125;0;9,119791667;2005
1;691,0709839;2,916640043;0,3467;4155,439941;709,6900024;0,895577013;6022,689941;12;27,79947917;35,09895833;0;16,15604167;2005
1;676,3909912;3,649800062;0,5216;2546,699951;992,5430298;0,895577013;5184,919922;12;27,79947917;35,09895833;0;16,15604167;2005
1;720,1810303;0,586740971;0,4192;984,5969849;221,3139954;3,511869907;2683,629883;4;28,09635417;41,65104167;0;11,3778125;2005
1;650,6450195;1,317029953;0,5379;422,3269958;259,7359924;1,533360004;580,7869873;4;27,4046875;40,78125;0;9,119791667;2005
1;667,7839966;0,533055007;0,5572;1428,790039;509,5929871;1,533360004;851,7369995;12;27,79947917;35,09895833;0;16,15604167;2005
1;775,9899902;2,626689911;0,4595;571,1599731;693,8880005;1,533360004;3280,5;4;27,7921875;34,9375;0;9,928489583;2005
1;656,2810059;2,178659916;0,3265;1956,23999;1256,72998;1,533360004;1240,069946;12;27,7921875;34,9375;0;9,928489583;2005
1;615,5770264;2,679519892;0,5347;578,3959961;460,0320129;1,533360004;1327,880005;4;26,49895833;38,56770833;0;9,773385417;2005
1;645,8699951;1,227789998;0,4578;343,9339905;1074,359985;2,717230082;1359,52002;12;24,44895833;55,34375;0,002882211;10,53489583;2005
1;679,0969849;2,010999918;0,3035;1848,650024;30,39979935;1,103440046;1866,560059;4;24,44895833;55,34375;0,002882211;10,53489583;2005
