"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.272704386865079,0.660692003767549,-0.412755694499104,0.67978561521903
"Temperature",0.129738403049944,0.0185027196818951,7.01185583959815,2.3517746266701e-12
"Relative.Humidity",-0.0864894875670419,0.00387596486327101,-22.3143115631991,2.68341979666285e-110
"Wind.speed",0.0800048738350161,0.017141519664581,4.66731511560949,3.05161130900284e-06
