HAS_FIRE;Temperature;Relative.Humidity;Precipitation;Wind.speed;Fine.Fuel.Moisture.Code;Duff.Moisture.Code;Drought.Code;Fire.Weather.Index;Initial.Spread.Index;Buildup.Index;Daily.Severity.Rating
0;23,72916667;82,28645833;8,804465454;4,555208333;51,85800688;4,217576141;12,36704316;0,16557673;0,347226379;4,606220344;0,002009001
0;24,3984375;81,46875;11,74938267;4,494270833;38,93559468;2,60450283;10,63764423;0,043680362;0,102413919;3,177734157;0,000213256
0;22,98072917;89,359375;30,79697177;5,37890625;20,92144255;1,07379863;5,34053125;9,51E-05;0,000338904;1,356443563;2,89E-09
0;23,50364583;85,453125;4,806048671;4,545208333;31,06819365;0,806402697;6,778574837;0,003569108;0,013015016;1,219416927;3,07E-06
0;23,73854167;85,66666667;10,22178274;6,283385417;30,95091376;0,681526845;6,498991139;0,005999398;0,022092449;1,060534218;1,21E-05
0;23,21197917;86,046875;5,834373636;7,297291667;35,16051295;0,649326228;7,323088449;0,005450217;0,020506157;1,048268461;3,25E-06
0;24,34583333;80,3125;1,679542069;6,75703125;53,57470397;1,370363961;12,16213992;0,117499625;0,364801264;2,097493591;0,000718897
0;24,70520833;76,75520833;2,133196056;5,854739583;60,77149459;1,777296594;17,81307742;0,200526088;0,569637248;2,808166923;0,001730811
0;24,2375;76,48958333;0,315896522;8,12;74,3480625;2,91860492;23,37982742;0,475341737;1,155844203;4,415965563;0,00748196
0;23,6171875;73,33333333;7,171438892;9,180104167;57,40540693;2,302601821;19,27911644;0,206649978;0,54338403;3,501292506;0,001959231
0;22,84583333;84,15625;3,187717942;9,256979167;55,20132357;2,133719193;21,42574765;0,203890631;0,498512554;3,377268378;0,002397685
0;21,95208333;89,54166667;15,12967992;6,465572917;28,58580088;0,950774743;11,11863782;0,014943603;0,039899989;1,422754567;7,28E-05
0;22,73541667;88,96875;9,421307086;6,105625;25,06711233;0,566097407;8,763969951;0,001336426;0,004536792;0,967601383;6,05E-07
0;23,034375;87,734375;9,33849926;4,436145833;25,78453266;0,580577571;6,645767756;0,003579223;0,012713216;0,945842719;5,51E-06
0;23,646875;82,31770833;2,301367505;6,875729167;45,5806996;1,179428992;10,99372276;0,059951593;0,185791373;1,850173739;0,000322342
0;24,7296875;79,84375;1,165187902;4,942083333;59,81764143;1,992843543;16,64906651;0,186614319;0,515174173;3,036488962;0,001556306
