ID;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24
long;315.125;315.375;314.875;315.125;315.375;314.375;314.625;314.875;315.125;315.375;315.625;314.375;314.625;314.875;315.125;315.375;315.625;315.875;314.625;314.875;315.125;315.375;315.125;315.375
lat;-14.375;-14.375;-14.625;-14.625;-14.625;-14.875;-14.875;-14.875;-14.875;-14.875;-14.875;-15.125;-15.125;-15.125;-15.125;-15.125;-15.125;-15.125;-15.375;-15.375;-15.375;-15.375;-15.625;-15.625
