HAS_FIRE;datahora;latitude;longitude;elev_cave;slope_cave;NDVI_cave;hidro_dist;road_dista;censo_cave;Classe_cav
1;2007/09/10 04:36:00;-14,89000034;-44,68600082;737,4520264;1,007500052;0,580946028;299,4030151;715,526001;0,292205989;4
1;2007/09/09 16:07:00;-14,89000034;-44,68299866;725,2750244;0,294887006;0,446808994;0;1174,630005;0;5
1;2007/09/08 22:16:14;-14,89999962;-44,68999863;731,6760254;0,404334009;0,654304028;151,9989929;1556,339966;0,0123089;4
1;2007/09/10 04:36:00;-14,89000034;-44,6969986;733,8179932;2,405119896;0,558118999;0;864,6589966;0,292205989;3
1;2007/09/09 16:07:00;-14,89999962;-44,71699905;740,4310303;0,570325971;0,63874203;730,8610229;271,9039917;0,292205989;4
1;2007/10/18 13:15:00;-14,89999962;-44,5;803,6599731;2,628560066;0,605015993;3680,76001;2934,800049;0;4
1;2007/10/18 19:45:00;-14,88000011;-44,51599884;814,5250244;0,625837982;0,594775975;3602,72998;4320,620117;0;4
1;2007/10/30 16:14:18;-14,89999962;-44,55500031;773,2719727;2,133790016;0,629729986;2474,360107;1637,079956;0;4
1;2007/09/25 16:30:00;-14,89999962;-44,59999847;768,4210205;1,559769988;0,66655302;1002,72998;30,39979935;0;2
1;2007/09/11 13:07:00;-14,89999962;-44,68999863;731,6760254;0,404334009;0,654304028;151,9989929;1556,339966;0,0123089;4
1;2007/09/09 16:07:00;-14,89999962;-44,71300125;737,5300293;0,591966987;0,464257985;705,117981;259,7359924;0,292205989;3
1;2007/10/18 20:15:42;-14,89000034;-44,50299835;810,7399902;1,948050022;0,564948022;3453,419922;3037,699951;0;4
1;2007/09/09 16:07:00;-14,89999962;-44,68799973;735,117981;1,423869967;0,633431971;423,4200134;1741,040039;0,0123089;4
1;2008/09/09 20:05:03;-14,89000034;-44,65000153;740,2160034;1,825970054;0,655290008;587,1170044;413,4819946;0;4
1;2008/10/05 19:30:00;-14,88000011;-44,63299942;793,9790039;0,854143023;0,641725004;1903,329956;1563,150024;0;4
1;2008/10/05 19:44:02;-14,89999962;-44,67499924;748,9229736;1,29121995;0,613249004;429,9179993;1194,52002;0;4
1;2008/10/12 17:04:00;-14,86999989;-44,54700089;809,0120239;0,697413981;0,642041981;4363,720215;4402,200195;0;4
1;2008/10/12 17:04:00;-14,88000011;-44,52899933;813,1040039;0,860270977;0,555204988;3055,139893;3851,550049;0;4
1;2008/10/12 17:04:00;-14,86999989;-44,53099823;809,6690063;0,993497014;0,597670019;4256,950195;4992,330078;0;4
1;2008/10/05 19:30:00;-14,88000011;-44,68299866;753,3790283;0,903559029;0,675396979;1332,400024;364,7969971;0,292205989;4
1;2008/10/05 19:44:02;-14,88000011;-44,63800049;788,5479736;1,336809993;0,629709005;2380,129883;1261,130005;0;4
1;2008/10/12 20:33:14;-14,89000034;-44,69499969;738,0560303;1,129889965;0,630666971;163,7079926;966,1199951;0,292205989;3
1;2008/10/05 19:44:02;-14,86999989;-44,63999939;781,8209839;0,274643004;0,653898001;1635,949951;1998,540039;0;4
1;2008/10/12 19:30:00;-14,88000011;-44,54999924;814,8239746;0,724067986;0,585817993;3753,850098;3565,209961;0;4
1;2008/10/05 19:44:02;-14,86999989;-44,65000153;785,3610229;0,657435;0,646942019;2613,139893;1872,97998;0;4
1;2008/10/05 19:44:02;-14,89000034;-44,65499878;741,9130249;0,92977798;0,628341973;625,9699707;530,9099731;0;4
1;2008/10/05 19:44:02;-14,89000034;-44,66600037;751,3099976;0,269533992;0,567916989;1767,380005;60,79959869;0;4
1;2008/09/08 21:30:00;-14,88000011;-44,66600037;774,8330078;2,834219933;0,617501974;2288,679932;759,9949951;0;4
1;2008/10/18 16:46:20;-14,88000011;-44,52999878;810,710022;0,759712994;0,596028984;3409,659912;4181,160156;0;4
1;2008/10/05 19:30:00;-14,88000011;-44,66600037;774,8330078;2,834219933;0,617501974;2288,679932;759,9949951;0;4
1;2008/10/06 19:17:25;-14,89999962;-44,75099945;759,2990112;0,336941004;0,617456973;1641,869995;1655,319946;0,292205989;4
1;2008/10/06 16:03:00;-14,86999989;-44,69499969;751,5009766;1,744349957;0,634627998;1237,459961;870,5180054;0,292205989;4
1;2008/10/07 00:00:00;-14,88000011;-44,75;793,1890259;1,272809982;0,651315987;2674,149902;2179,47998;0,292205989;4
1;2008/10/12 20:33:14;-14,89000034;-44,68099976;739,6539917;3,278330088;0,60077101;836,4089966;280,2720032;0,292205989;4
1;2008/10/12 20:33:14;-14,89999962;-44,6780014;732,6090088;4,689630032;0,66347301;85,9835968;1276,069946;0;4
1;2008/10/12 17:04:00;-14,88000011;-44,55099869;811,5239868;1,010249972;0,624872983;4024,959961;3775,580078;0;4
1;2008/10/12 17:04:00;-14,88000011;-44,51300049;815,4810181;0,580340981;0,581857026;-9999;-9999;-9999;4
1;2008/09/08 19:30:00;-14,88000011;-44,59999847;761,9069824;2,556529999;0,627906978;203,9279938;384,5299988;0;4
1;2008/10/12 20:33:14;-14,89999962;-44,69100189;732,5349731;1,762470007;0,669035971;334,3980103;1770,77002;0,0123089;4
1;2008/10/05 19:44:02;-14,88000011;-44,64799881;786,1430054;1,69520998;0,635586977;1866,310059;847,9310303;0;4
1;2008/10/12 19:30:00;-14,88000011;-44,51599884;814,5250244;0,625837982;0,594775975;3602,72998;4320,620117;0;4
1;2008/09/08 19:45:00;-14,88000011;-44,63299942;793,9790039;0,854143023;0,641725004;1903,329956;1563,150024;0;4
1;2008/09/08 21:30:00;-14,88000011;-44,68299866;753,3790283;0,903559029;0,675396979;1332,400024;364,7969971;0,292205989;4
1;2008/10/12 17:04:00;-14,86999989;-44,53499985;808,947998;0,575483024;0,631226003;3723,820068;4364,990234;0;4
1;2008/09/08 19:45:00;-14,88000011;-44,56600189;803,2109985;1,103399992;0,622437;3074,139893;3096,75;0;4
1;2008/09/09 20:05:03;-14,89000034;-44,65599823;742,1500244;1,16534996;0,622789979;732,1240234;576,7949829;0;4
1;2008/09/08 19:45:00;-14,88000011;-44,61600113;752,9229736;3,148659945;0,586075008;245,0910034;286,7909851;0;4
1;2008/09/09 13:32:00;-14,89000034;-44,60699844;735,6519775;2,034780025;0,567149997;135,9519958;259,7359924;0;4
1;2008/10/05 19:44:02;-14,89000034;-44,64599991;747,6560059;2,34829998;0,666081011;911,9940186;155,0090027;0;4
1;2008/09/09 13:32:00;-14,89000034;-44,61899948;767,2700195;2,109159946;0,611579001;818,5390015;836,4089966;0;4
1;2008/10/12 19:30:00;-14,88000011;-44,56600189;803,2109985;1,103399992;0,622437;3074,139893;3096,75;0;4
1;2008/10/05 19:44:02;-14,86999989;-44,65999985;789,3239746;0,863061011;0,571150005;2865,330078;1449,339966;0;4
1;2008/10/06 16:03:00;-14,86999989;-44,69900131;747,7890015;1,259850025;0,610642016;1265,52002;984,5969849;0,292205989;4
1;2008/10/06 19:45:00;-14,88000011;-44,75;793,1890259;1,272809982;0,651315987;2674,149902;2179,47998;0,292205989;4
1;2009/11/23 19:29:54;-14,89000034;-44,55599976;788,7150269;1,946239948;0,603670001;3010,189941;2130,810059;0;4
1;2009/11/23 19:29:54;-14,89000034;-44,5359993;811,3640137;0,957391024;0,578059018;2367,47998;2963,780029;0;4
1;2009/11/23 19:29:54;-14,89000034;-44,56600189;770,0759888;1,535920024;0,651871979;2615,439941;1711,319946;0;4
1;2009/11/19 19:26:13;-14,89000034;-44,61600113;756,6099854;3,204699993;0,590955019;590,257019;634,7659912;0;4
1;2009/10/20 19:43:45;-14,86999989;-44,60300064;770,4699707;1,360579967;0,640832007;945,8200073;889,940979;0;4
1;2009/10/20 19:43:45;-14,86999989;-44,58800125;799,6309814;2,722490072;0,619116008;1191,810059;580,7869873;0;2
1;2009/11/23 19:29:54;-14,89000034;-44,58599854;783,5570068;1,685780048;0,612107992;775,0460205;1069,189941;0;2
1;2009/10/20 19:43:45;-14,88000011;-44,5929985;770,1560059;0,899100006;0,611699998;380,9079895;310,0180054;0;2
1;2009/11/19 19:26:13;-14,88000011;-44,5929985;776,0830078;1,02967;0,62194699;560,5440063;395,196991;0;2
1;2009/11/17 19:45:00;-14,88000011;-44,59999847;761,9069824;2,556529999;0,627906978;203,9279938;384,5299988;0;4
1;2009/11/19 19:26:13;-14,89999962;-44,61500168;740,8870239;2,520829916;0,612616003;480,6629944;192,2649994;0;4
