,Foco,Temperatura,Wind_Speed,RH,Prec,Numero de focos
21/03/2011,0,28.02951292,8.988851259,61.86576518,43.1903786,0
22/03/2011,0,26.23410379,11.28890608,70.97387836,9.750020442,0
23/03/2011,0,27.8017454,11.00569855,64.91442418,7.182655895,0
24/03/2011,0,28.12631412,8.049784054,69.72181447,47.63252403,0
25/03/2011,0,29.7233757,8.105831237,56.68590637,2.593046477,0
26/03/2011,0,30.12022897,7.515152028,55.61121425,8.205790847,0
27/03/2011,0,29.27527473,6.827357256,60.28633716,20.41464897,0
28/03/2011,0,29.6569435,6.536091319,64.25017227,11.94706813,0
29/03/2011,0,30.14474561,4.591568174,52.32457655,4.730445809,0
30/03/2011,0,30.04478098,5.922647699,45.37316734,0,0
31/03/2011,0,31.47370584,5.064461691,46.08380029,0.294099521,0
01/04/2011,0,30.83691808,4.033967922,47.06511811,0.114791577,0
02/04/2011,0,29.36673897,5.858581559,60.26757806,3.780295342,0
03/04/2011,0,28.51223595,3.833518311,63.18617421,83.9187302,0
04/04/2011,0,28.2059834,3.764542411,65.80167759,75.37197551,0
05/04/2011,0,28.01238506,3.694756426,65.54123289,50.99789734,0
06/04/2011,0,26.90086356,5.080540205,71.25401529,84.02482544,0
07/04/2011,0,27.50519079,7.494588225,64.11461856,33.55479543,0
08/04/2011,0,27.86434909,10.82855143,52.46564297,0.03304606,0
09/04/2011,0,27.68810784,8.600941006,64.82869019,34.00700468,0
10/04/2011,0,26.10327177,7.581163164,70.24203327,16.41954367,0
11/04/2011,0,28.0280732,7.88658163,59.3053546,22.90091961,0
12/04/2011,0,29.5980556,9.298946044,49.83861958,0.007826698,0
13/04/2011,0,29.48740414,9.171524179,53.57944707,7.117947405,0
14/04/2011,0,29.76445004,10.73171437,50.50458557,0.273934445,0
15/04/2011,0,28.88758307,10.5474103,56.92845818,9.00766026,0
16/04/2011,0,28.07313488,11.67902777,53.3877196,1.039211625,0
17/04/2011,0,28.70733634,11.43619372,52.3772131,0.135662773,0
18/04/2011,0,28.61737987,11.90958834,56.617682,3.451574008,0
19/04/2011,0,27.49651224,11.47661088,57.06489961,2.714994722,0
20/04/2011,0,28.08131275,9.960107356,53.01112262,1.442721411,0
21/04/2011,0,29.45869818,9.055698576,55.40365916,5.029088558,0
22/04/2011,0,29.57218686,9.165676574,48.8737618,2.877616123,0
23/04/2011,0,29.9810799,8.751657065,46.52334687,0.00E+00,0
24/04/2011,0,30.19103397,7.638224012,46.62792577,0.333939133,0
25/04/2011,0,29.83521357,8.223676283,43.32513436,0.020001563,0
26/04/2011,0,29.41931093,9.193729832,40.33832369,0.00E+00,0
27/04/2011,0,27.26920109,13.08745262,54.62494822,4.767328977,0
28/04/2011,0,27.42975419,11.60896989,50.70795193,1.919280382,0
29/04/2011,0,29.51694457,8.376290485,48.31740179,4.894295418,0
30/04/2011,0,29.01792816,7.313877611,51.56479783,5.79784427,0
01/05/2011,0,29.51918668,7.686915112,50.90975157,4.628306479,0
02/05/2011,0,30.29600754,8.264599638,48.21908485,1.812381688,0
03/05/2011,0,29.80471799,7.916003547,54.08497819,5.667016476,0
04/05/2011,0,29.41200262,10.42972548,53.41397076,2.190640242,0
05/05/2011,0,28.33822921,10.68781764,52.94250361,0.01029275,0
06/05/2011,0,29.40427131,8.893986958,52.23450848,0.355957596,0
07/05/2011,0,29.71668649,9.165472787,41.89944614,0,0
