"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","day","mon","yr"
5.23664361728051e-07,3.04064526334822e-06,4.73237437349327e-06,7.01704890576697e-06,6.96592342862374e-06,4.04019723354515e-05,2.99641169585423e-05,2.16617966355378e-05,9.94689132004011e-06,0.000107468881557707,0.000438539517311428,0.000813254147394701,4.75214157873401e-05,2.4773088808331e-05,1.84602395680329e-05,0.00268818527225961,0.0061964004948451,0.00661247969260505,0.000132968777458369,0.000153467311057731,0.000308243969744169,0.00145307962314626,0.00125801589543754,0.00515814329354441,1,1,1999
7.12172324163546e-08,1.43500067209771e-07,1.0809941058319e-07,9.21844453002196e-08,5.90338901777351e-08,1.03782662613706e-06,3.69500722255614e-07,9.41452719878687e-08,3.38299285074505e-08,6.24432310582591e-06,5.75809507857365e-06,2.58651574548682e-06,3.43383486749367e-07,1.19641516603661e-07,4.33785078042825e-08,0.000825520747728314,0.00053824675402946,0.000330132252893482,5.32698780066142e-06,2.50347086099887e-07,5.64667516014799e-07,0.000347250897016641,2.55126083631412e-05,0.00094703314071645,2,1,1999
4.65400291775482e-09,3.10662560172162e-07,1.84191934896648e-09,4.85550467323788e-08,5.79894513852224e-08,6.15468699412814e-10,1.02957909516449e-09,1.75192243206166e-09,5.07784729970413e-09,2.03022726402322e-10,1.62077990092677e-10,9.80702535278349e-11,2.57125427213167e-10,4.63610659828653e-10,1.07256664294013e-10,9.94718737332784e-09,1.87651223699675e-09,1.06787496804303e-09,9.15183521318024e-11,5.09600655744737e-11,3.93791299316223e-11,9.06493635560348e-10,4.50888864548768e-11,7.04142997050564e-10,3,1,1999
2.03924216064386e-05,0.000128735908467673,1.02331920354216e-06,7.26056272164989e-06,3.14305561537035e-05,4.98693880196901e-08,1.71080469455697e-07,7.85600752411535e-07,3.47862926781618e-06,9.50672525731455e-08,1.42233742041335e-08,5.41042699395326e-08,7.01221489737324e-07,1.00166337263976e-06,1.99568317114628e-07,2.8462238985827e-07,7.68947949115917e-08,3.19839654768105e-08,9.81424938648067e-08,2.18605687866844e-07,1.79843956835614e-07,8.43386390776724e-09,2.10110221360291e-08,2.92354431673314e-09,4,1,1999
9.58209576979166e-05,0.000242005275033396,1.11320829685267e-06,2.02209825093939e-06,6.02842966659349e-06,1.9735018652395e-07,1.63617370858198e-07,5.85626103443291e-08,2.19771506779546e-07,3.67646463530247e-08,2.36491830192686e-08,5.79628929399282e-08,2.97138055670697e-07,2.57009143314831e-07,3.04610864327956e-07,2.73516406298651e-07,1.24118177494539e-07,5.87689588345766e-08,2.97653874735261e-07,1.43852900572956e-07,2.69961643923085e-07,4.75505358023199e-08,1.31238318928976e-07,1.11152399839072e-06,5,1,1999
1.2635987252689e-06,1.2916348396714e-05,4.44385347601423e-06,3.7476302664408e-06,1.12158754133842e-05,3.66182559360165e-05,2.34297425778266e-05,4.37553761445603e-06,7.08347457612212e-07,9.15557389496821e-06,8.11263956951794e-06,1.21794106650347e-05,8.15373980043806e-06,8.89365606588237e-07,6.76985954577901e-07,1.68127139862099e-06,2.8162949525101e-06,1.59297101047431e-06,3.67384295000422e-06,7.714159995845e-07,7.97362299117179e-07,1.04542841910795e-07,6.71022685760254e-08,1.19688741074496e-07,6,1,1999
9.64814859779851e-05,2.08726485940818e-05,0.00127996007939048,0.000731097204200353,0.000200619432551705,0.00186909924127991,0.00200364750258323,0.00150098161744431,0.00119189851252954,4.49535253521639e-05,0.000323042575721024,0.00155541281890832,0.0018759452549086,0.00131347818578214,0.00153354292484917,0.000625577764335919,0.00100724489076471,0.000928430618581518,0.000258066268778026,0.000176114565859726,0.000168618741756036,0.000445057334103424,4.66901284706858e-05,0.000174339787111314,7,1,1999
0.000266014784973733,0.000426009013783295,0.00118138264638948,0.00146391747784186,0.000481160025246471,0.00167952086597909,0.00395477286135665,0.00223891766192603,0.00085137227451572,0.000648322639252627,0.00229921882161446,0.00355523838547028,0.00139733195960219,0.00118146567330025,0.00273218535670788,0.00168646789198837,0.00273592560682961,0.00262698193220931,0.000407768206216303,0.00130419627261576,0.00215290588645739,0.00297897756608756,0.000827337026541126,0.0027260738816934,8,1,1999
0.00376474135930869,0.00431606759993338,0.00525436935103166,0.00628237440072638,0.00449943456617385,0.00639132252243257,0.012046870704827,0.00774404497673007,0.0052615834497528,0.00519925789412344,0.0072470078177317,0.0103441327581872,0.00658703425251866,0.00606615234249577,0.0114565686470638,0.0074958393416527,0.0101952906366997,0.00923538957137046,0.00483621068007193,0.00699390798329617,0.0107912368717847,0.0123595477449069,0.00697129773563935,0.0140907534919046,9,1,1999
0.00527555693403311,0.0027026884293886,0.0039072668406159,0.0012691834552152,0.00354813613957003,0.000286730696303664,0.00226723125111465,0.000592060304744715,0.00148328193226762,0.000408532994923161,0.000748267767046865,0.000935335113905074,0.000434929927965414,0.000884436547692155,0.00429127842507901,0.00169448750812624,0.00134365980971944,0.00042878369303253,0.000286538214966198,0.00183519058160496,0.00607619601782134,0.00354351942751025,0.000449860025782423,0.00149858992800614,10,1,1999
