"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.58584851701756,0.835196172715161,-5.49074417104823,4.0024374382076e-08
"Temperature",0.235955341678007,0.0229437120771924,10.2840961778178,8.31182185645185e-25
"Relative.Humidity",-0.0647403012235363,0.00513243266850018,-12.6139601637395,1.76876802848133e-36
"Precipitation",-0.0806693155187363,0.0379395559798909,-2.12625881972613,0.0334817148893631
"Wind.speed",0.0554488777961368,0.0188189310396839,2.94644141472279,0.00321453305920378
