HAS_FIRE;elev_cave;slope_cave;hidro_dist;road_dista;Densidade_Demo;Classe_usos;NDVI
1;809,0369873;0,115415998;5143,319824;4533,240234;0;4;0,587065995
1;749,6430054;0,728960991;3785,840088;3539,060059;0;4;0,611244023
1;797,4920044;1,592759967;2777,050049;1889,930054;0,292205989;4;0,558910012
1;774,7160034;1,623080015;3572,459961;2504,25;0;4;0,600215971
1;763,0009766;1,718889952;4414,990234;3941,439941;0;4;0,596235991
1;769,0219727;1,754649997;194,654007;656,2410278;0;4;0,576627016
1;784,0949707;2,9454;2989,860107;942,8839722;0,292205989;4;0,572556973
1;757,7210083;1,67632997;2980,110107;3173,540039;0;4;0,580074012
1;775,3950195;2,032520056;3293,580078;2396,959961;0;4;0,610578001
1;794,6740112;1,787739992;2796,949951;2164,370117;0,292205989;4;0,532658994
1;790,5059814;1,410339952;0;0;0;4;0,611756027
1;767,8400269;1,301249981;2831,26001;2846,080078;0;4;0,609975994
1;758,2269897;0,925055981;3241,389893;3360,659912;0;4;0,613992989
1;772,3770142;1,195420027;3840,01001;1920,01001;0;4;0,579017997
1;779,3400269;1,920369983;2827,340088;2592,72998;0;4;0,621511996
1;767,5859985;1,561740041;1581,079956;2074,77002;0;4;0,605189025
1;770,4569702;1,750440001;487,3460083;989,7449951;0;4;0,591920972
1;811,2800293;0,94935298;2103,73999;959,8829956;0;2;0,594044983
1;808,2459717;0,340766996;4714,419922;4230,709961;0;4;0,590852976
1;810,9819946;0,267948985;5075,950195;5622,319824;0;4;0,596032023
1;776,223999;1,992720008;3723,820068;2470,060059;0;4;0,579602003
1;809,0369873;0,115415998;5143,319824;4533,240234;0;4;0,587065995
1;775,8980103;1,819000006;2941,879883;1417,099976;0,292205989;4;0,61441803
1;765,8469849;1,927449942;2467,070068;2927,550049;0;4;0,605314016
1;776,8770142;1,23477006;1972,47998;2089,419922;0;4;0,592373013
1;763,072998;2,454920053;3725,800049;3770,679932;0;4;0,591135979
1;765,8740234;1,410830021;4396,629883;2687,070068;0;4;0,611362994
1;816,0009766;0,323936999;3004,820068;2433,5;0;2;0,589246988
1;807,9520264;0,309024006;5036,560059;4562,5;0;4;0,60146302
1;816,0009766;0,323936999;3004,820068;2433,5;0;2;0,589246988
1;808,6779785;1,255839944;1417,099976;327,4159851;0;2;0,580424011
1;816,0009766;0,323936999;3004,820068;2433,5;0;2;0,589246988
1;807,9520264;0,309024006;5036,560059;4562,5;0;4;0,60146302
1;807,9520264;0,309024006;5036,560059;4562,5;0;4;0,60146302
1;808,65802;0,036362201;4568,569824;4800,950195;0;4;0,596848011
1;816,0739746;1,18283999;2795,790039;3229,399902;0;4;0,573629022
1;746,4639893;2,186120033;317,3829956;60,79959869;0;4;0,51137203
1;807,0159912;0,627897978;969,4630127;1604,290039;0;4;0,615284979
1;814,6989746;0,39637199;3486,580078;2707,120117;0;4;0,566017985
1;804,6290283;0,925396025;2681,389893;328,8240051;0,672481;2;0,362040013
1;735,9730225;1,154420018;407,8559875;954,572998;0,292205989;3;0,528443992
1;758,6030273;0,980328977;1613,47998;1264,430054;0,292205989;4;0,612331986
1;729,6010132;0,704626024;0;1467,400024;0,292205989;5;0,599133015
1;728,177002;2,594280005;376,0249939;151,9989929;0;4;0,464403003
1;728,4719849;0,449979991;60,79959869;1467,089966;0,292205989;5;0,510972023
1;752,7139893;2,593280077;524,7819824;109,6080017;0;4;0,56634599
1;759,3920288;1,007570028;2484,98999;1180,51001;0;4;0,598433018
1;731,4390259;0,461937994;271,9039917;1431,050049;0,0123089;4;0,578980029
1;733,3319702;0,443919003;271,9039917;530,9099731;0,292205989;3;0,373003006
1;737,4520264;1,007500052;299,4030151;715,526001;0,292205989;4;0,549048007
1;725,2750244;0,294887006;0;1174,630005;0;5;0,463156998
1;731,6760254;0,404334009;151,9989929;1556,339966;0,0123089;4;0,566820025
1;733,8179932;2,405119896;0;864,6589966;0,292205989;3;0,497182012
1;740,4310303;0,570325971;730,8610229;271,9039917;0,292205989;4;0,590588987
1;803,6599731;2,628560066;3680,76001;2934,800049;0;4;0,561447024
1;814,5250244;0,625837982;3602,72998;4320,620117;0;4;0,587733984
1;773,2719727;2,133790016;2474,360107;1637,079956;0;4;0,593859017
1;768,4210205;1,559769988;1002,72998;30,39979935;0;2;0,605650008
1;731,6760254;0,404334009;151,9989929;1556,339966;0,0123089;4;0,566820025
1;737,5300293;0,591966987;705,117981;259,7359924;0,292205989;3;0,433966994
1;810,7399902;1,948050022;3453,419922;3037,699951;0;4;0,539979994
1;735,117981;1,423869967;423,4200134;1741,040039;0,0123089;4;0,571759999
1;740,2160034;1,825970054;587,1170044;413,4819946;0;4;0,612174988
1;793,9790039;0,854143023;1903,329956;1563,150024;0;4;0,601065993
1;748,9229736;1,29121995;429,9179993;1194,52002;0;4;0,555729985
1;809,0120239;0,697413981;4363,720215;4402,200195;0;4;0,595723987
1;813,1040039;0,860270977;3055,139893;3851,550049;0;4;0,558140993
1;809,6690063;0,993497014;4256,950195;4992,330078;0;4;0,569697022
1;753,3790283;0,903559029;1332,400024;364,7969971;0,292205989;4;0,639015019
1;788,5479736;1,336809993;2380,129883;1261,130005;0;4;0,589554012
1;738,0560303;1,129889965;163,7079926;966,1199951;0,292205989;3;0,544081986
1;781,8209839;0,274643004;1635,949951;1998,540039;0;4;0,611706972
1;814,8239746;0,724067986;3753,850098;3565,209961;0;4;0,552653015
1;785,3610229;0,657435;2613,139893;1872,97998;0;4;0,597429991
