year,month,day,mean
2009,1,1,0.48076868359215463
2009,1,2,2.502371321017972
2009,1,3,161.78281681985806
2009,1,4,69.89070867943853
2009,1,5,200.54226938274195
2009,1,6,210.64909548670178
2009,1,7,164.85498806217046
2009,1,8,30.459367042695032
2009,1,9,16.089725277551267
2009,1,10,0.7537978125456911
2009,1,11,1.7948697520774046
2009,1,12,6.48028702155468
2009,1,13,4.840925164663862
2009,1,14,0.37749244785753583
2009,1,15,0.01780624754043474
2009,1,16,9.865848220579043
2009,1,17,124.46329614141213
2009,1,18,28.279882343743846
2009,1,19,72.83704910579847
2009,1,20,198.82693420301186
2009,1,21,65.11863433859772
2009,1,22,76.15732073050786
2009,1,23,85.34059612870298
2009,1,24,165.21586134565692
2009,1,25,114.6176283347121
2009,1,26,81.91942243459775
2009,1,27,77.84535299734257
2009,1,28,4.550089788169774
2009,1,29,0.00118708316936
2009,1,30,0
2009,1,31,0.00118708316936
2009,2,32,0.23615507059163138
2009,2,33,6.171801575823468
2009,2,34,16.47049243458877
2009,2,35,8.86481657364752
2009,2,36,11.2126003920417
2009,2,37,44.851460559515985
2009,2,38,35.49315401772563
2009,2,39,111.81677844682112
2009,2,40,134.33199349548073
2009,2,41,67.93217698797844
2009,2,42,11.116232179378704
2009,2,43,11.493233099247199
2009,2,44,81.33583047891898
2009,2,45,178.59253688284397
2009,2,46,23.382528962626008
2009,2,47,2.5468741918075746
2009,2,48,5.25153809445928
2009,2,49,3.9182679873964457
2009,2,50,0.5686783538464344
2009,2,51,3.4554887683444684
2009,2,52,0.17579256375881835
2009,2,53,1.5916639959612373
2009,2,54,14.303796136693379
2009,2,55,47.54659354003617
2009,2,56,48.85338886340052
2009,2,57,1.4105764754626524
2009,2,58,3.0721339003883514
2009,2,59,1.2040731626133947
2009,3,60,0.0043867301350065955
2009,3,61,0
2009,3,62,0
2009,3,63,0
2009,3,64,0
2009,3,65,1.1037013019680675
2009,3,66,92.52666669964923
2009,3,67,62.318765643955
2009,3,68,63.81288592793879
2009,3,69,7.002098641500154
2009,3,70,0.7966301925174776
2009,3,71,0.5702749175510585
2009,3,72,0
2009,3,73,0
2009,3,74,3.2365294936090767
2009,3,75,119.827920367887
2009,3,76,132.53627756900607
2009,3,77,26.947683219355973
2009,3,78,37.82414191609558
2009,3,79,12.736432273983022
2009,3,80,44.77447714200273
2009,3,81,17.967169286966943
2009,3,82,103.2838063367167
2009,3,83,261.86322337124034
2009,3,84,212.69061059587804
2009,3,85,146.21673416804308
2009,3,86,175.16037959882792
2009,3,87,13.635711951659763
2009,3,88,76.551950240003
2009,3,89,27.6820218439564
2009,3,90,39.79290640068733
2009,4,91,113.34004429155775
2009,4,92,154.2188857371665
2009,4,93,169.1482625672618
2009,4,94,96.67459106957652
2009,4,95,55.64245855260992
2009,4,96,169.00890704784558
2009,4,97,41.709106961289756
2009,4,98,220.1971231298494
2009,4,99,127.13917451417699
2009,4,100,77.49853814779601
2009,4,101,115.29468881389644
2009,4,102,79.58520368852898
2009,4,103,18.488076725926486
2009,4,104,9.990323841942905
2009,4,105,6.771211343427167
2009,4,106,98.30578409684908
2009,4,107,11.264326669448526
2009,4,108,9.507713674701318
2009,4,109,2.339705825989843
2009,4,110,5.433398357030965
2009,4,111,5.4576022104032775
2009,4,112,0.2948469410816583
2009,4,113,4.874509379161515
2009,4,114,13.898879436518149
2009,4,115,42.39855005734919
2009,4,116,148.1539868421501
2009,4,117,21.188640002193274
2009,4,118,55.95344139593884
2009,4,119,42.35234270091116
2009,4,120,22.577061045640633
2009,5,121,63.78455951744181
2009,5,122,38.49842154250088
2009,5,123,10.799536560146219
2009,5,124,59.587189274166974
2009,5,125,66.01588067139211
2009,5,126,4.73514249417829
2009,5,127,0.9006239578302975
2009,5,128,3.1088151224944283
2009,5,129,4.440957942944829
2009,5,130,0.9389330025855144
2009,5,131,0.011564994643085278
2009,5,132,0.05348810022427758
2009,5,133,0.01011937031270005
2009,5,134,0.00433687299115568
2009,5,135,0.37369388940472814
2009,5,136,23.06855025212937
2009,5,137,22.914591260943308
2009,5,138,9.357526290586534
2009,5,139,2.4206979412308667
2009,5,140,0
2009,5,141,0
2009,5,142,0
2009,5,143,0.26021237946946885
2009,5,144,1.8923222484749092
2009,5,145,0
2009,5,146,0
2009,5,147,0
2009,5,148,0.46476822221900765
2009,5,149,3.353125634329609
2009,5,150,0.12215525591759836
2009,5,151,1.7932969818434532
2009,6,152,20.80747868848747
2009,6,153,17.82224954439776
2009,6,154,0.10788854543381318
2009,6,155,6.768833524389635
2009,6,156,0.7420855603316426
2009,6,157,0.8790571049693069
2009,6,158,5.087648538151825
2009,6,159,2.612779122027155
2009,6,160,0.12383728693279517
2009,6,161,0.09850693278742886
2009,6,162,0
2009,6,163,0
2009,6,164,0.3555631192992161
2009,6,165,1.1408040978043013
2009,6,166,0.43436866552913994
2009,6,167,0
2009,6,168,0.07036209484814761
2009,6,169,3.05465307767331
2009,6,170,1.0075851982252055
2009,6,171,0.001876322529285878
2009,6,172,0
2009,6,173,0
2009,6,174,0
2009,6,175,0.009381612646422456
2009,6,176,0.26549963789362235
2009,6,177,0.282386540657185
2009,6,178,0.06191864346636462
2009,6,179,0.1050740616398948
2009,6,180,0
2009,6,181,0
2009,7,182,-9.15933995315753e-13
2009,7,183,-9.15933995315753e-13
2009,7,184,-9.15933995315753e-13
2009,7,185,-9.15933995315753e-13
2009,7,186,-9.15933995315753e-13
2009,7,187,-9.15933995315753e-13
2009,7,188,5.903366027396248
2009,7,189,0.5796513494776243
