datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2000/10/10 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.1431,-44.2150,,APA CAVERNAS DO PERUACU
2000/10/11 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2181,-44.1781,,APA CAVERNAS DO PERUACU
2000/10/11 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.0267,-44.4217,,APA CAVERNAS DO PERUACU
2000/09/08 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.2731,-44.0950,,APA CAVERNAS DO PERUACU
2000/10/06 21:00:00,NOAA-12,Brasil,MINAS GERAIS,CONEGO MARINHO,Cerrado,,,,-15.1500,-44.5767,,APA CAVERNAS DO PERUACU
2000/10/14 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.1150,-44.3150,,APA CAVERNAS DO PERUACU
2000/10/25 01:35:07,ATSR,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0860,-44.1940,,APA CAVERNAS DO PERUACU
2000/09/24 21:00:00,NOAA-12,Brasil,MINAS GERAIS,SAO JOAO DAS MISSOES,Cerrado,,,,-14.8767,-44.4181,,APA CAVERNAS DO PERUACU
2000/09/21 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.1331,-44.0617,,APA CAVERNAS DO PERUACU
2000/10/10 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0650,-44.2317,,APA CAVERNAS DO PERUACU
2000/10/18 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Caatinga,,,,-15.1667,-44.1081,,APA CAVERNAS DO PERUACU
2000/10/27 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0931,-44.2317,,APA CAVERNAS DO PERUACU
2000/10/11 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2100,-44.1967,,APA CAVERNAS DO PERUACU
2000/09/21 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.2431,-44.1017,,APA CAVERNAS DO PERUACU
2000/10/04 21:00:00,NOAA-12,Brasil,MINAS GERAIS,ITACARAMBI,Cerrado,,,,-15.0300,-44.2350,,APA CAVERNAS DO PERUACU
2000/10/06 21:00:00,NOAA-12,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.2317,-44.2817,,APA CAVERNAS DO PERUACU
