"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","year","month"
24.485558607,16.100499456,15.835718876,15.033198585,14.414695683,9.574015962,10.682209588,11.037976546,13.038654519,7.98431016,5.591061752,4.463444069,9.77847973,11.202569881,13.153154229,2.851247254,1.705227831,1.626509278,7.619342337,7.254374511,6.49172465,4.250801749,4.17923943,2.062017106,47976,24
11.179056545,12.266803794,14.908475684,16.08720931,20.740804683,12.591901187,13.400555393,20.680487873,25.946452229,10.262036543,11.078869301,12.990605534,17.995878589,18.58064497,19.733820624,3.971708702,5.562436824,6.260680594,8.575210453,15.746777135,14.014969016,4.255913344,8.108010742,4.515582326,47976,24
14.302240615,6.907808422,17.340572212,9.307190747,10.673008718,24.309719764,21.103727872,22.639250776,21.257075699,35.020554281,35.883391384,35.226040367,34.862094859,39.139476897,44.319566475,33.718120074,34.740438917,27.134386724,31.846254273,44.087500098,51.51464649,32.509739201,37.275789648,38.98612907,47976,24
1.677625221,1.235983481,4.16083769,2.869648991,1.736919714,8.640638861,6.330198275,3.730441457,2.825689281,4.854992185,7.864698859,4.521716244,3.754977112,3.724307543,4.227288416,3.972731025,5.161687838,7.863676539,7.522222049,6.734014218,5.973408996,7.637744075,6.481501464,9.962497125,47976,24
2.926898849,2.812399139,6.342466102,6.895540594,7.406700016,8.514893641,9.315369295,15.033198582,14.140714235,13.050922346,12.664485826,9.835729587,10.090286977,10.546241182,11.164744082,8.466844659,10.716968431,8.642683499,7.09387045,8.971870163,8.843057992,8.110055377,7.435324947,4.957224069,47976,24
9.146686684,5.358995376,4.918375953,5.138174505,4.461399429,1.961829856,2.477078558,4.377569285,8.501603497,2.553752468,2.484234788,2.327820007,4.127101166,8.941200601,11.647278577,4.722090736,3.796892183,3.822450154,4.633148993,7.903546974,10.609624953,5.827217404,8.205131031,9.422712776,47976,24
2.612024645,5.921270739,0.682908987,1.360706381,3.36649595,0.734024928,0.559208407,0.588855654,0.619525217,5.117728128,2.139713338,0.553074494,0.487646088,0.457998841,0.442664059,1.154197973,0.640993916,0.709489276,2.859425804,2.606913048,2.662118268,0.6890429,3.066956529,1.719540292,47976,24
2.691765512,1.865731888,2.390181457,1.760433049,2.395293048,2.520015947,1.163398845,1.688870729,2.62327015,2.680520008,1.548813047,1.295277973,2.503658846,2.34213247,1.524277396,2.477078558,1.834040004,1.685803773,3.231549863,1.711361744,0.999827829,1.425112468,2.021124352,0.954845799,47976,24
0.486623769,0.413016813,0.628726087,0.289316232,0.290338551,0.56636464,0.428351596,0.214686956,0.125745218,0.500936232,0.63486,0.357811594,0.092008696,0.014312464,0,0.155392465,0.443686377,0.179928118,0.061339131,0.012267826,0,0.077696232,0.024535653,0.001022319,47976,24
1.839151599,4.104610154,2.828756236,7.314691318,3.8684545,13.323881478,5.288455374,11.175989592,6.822955956,11.197458286,7.872877407,7.857542627,12.282138579,9.786658284,4.968469577,5.682048128,6.776951607,12.211598577,16.971515109,6.673697405,3.1630545,4.191507255,14.405494814,7.684770742,47976,24
7.873899729,10.339732777,7.640811033,7.918881757,6.152314796,2.624292471,2.323730729,5.410111316,4.189462618,4.999139142,0.775940003,1.992499428,4.067806675,4.600434793,1.990454787,0.712556235,0.977336812,3.982954213,2.220476528,3.40943334,1.399554497,3.784624358,3.981931893,1.954673627,47976,24
