"","(Intercept)","Elevation","Hydrography","Pop_dens","Road","Slope","NDVI"
"full",3.28672586665074,-0.00336413416296025,-0.000376608193557466,0.0582373422983359,-0.00012669263663185,-0.19525386982165,-0.127661571815368
"subset",3.28672586665074,-0.00336413416296025,-0.000376608193557466,0.0582373422983359,-0.00012669263663185,-0.19525386982165,-0.397833916043468
