"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.82378395851046,0.0968616890254604,-29.1527433283578,7.71122486096715e-187
"`Wind Speed`",0.0966153207125131,0.0529411437006795,1.8249571875281,0.0680074902141009
"DC",0.691235082791911,0.0865522380134537,7.98633401812747,1.39010716943095e-15
"DMC",-0.198322120170802,0.0680158877118971,-2.915820506686,0.00354754527477961
"Precipitation",-0.916654662218706,0.24864143376599,-3.68665289744676,0.00022722294413193
"RH",-0.445981113318869,0.106330336561897,-4.1942979561553,2.7371799899702e-05
"Temperature",0.534278765914743,0.050249889885382,10.6324365512723,2.10538850466112e-26
