"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-7.89305700006885,0.99509995730538,-7.93192376516865,2.15776887358554e-15
"`Wind Speed`",0.0357969374390531,0.0196152203918495,1.82495718752808,0.0680074902141034
"DC",0.00213437742518281,0.000267253713698698,7.98633401812747,1.39010716943095e-15
"DMC",-0.0027564604286409,0.000945346403292085,-2.91582050668599,0.00354754527477973
"Precipitation",-0.172122160088295,0.0466879212326988,-3.68665289744675,0.000227222944131943
"RH",-0.0310913159154166,0.00741275804447533,-4.1942979561553,2.7371799899702e-05
"Temperature",0.268877630109172,0.0252884302495084,10.6324365512723,2.10538850466176e-26
