"","(Intercept)","`Wind Speed`","DC","DMC","Precipitation","RH","Temperature","FMC"
"full",-2.82741042393515,0.0634817046141348,0.702807968118515,-0.199263761001828,-0.926910295161585,-0.450649798465702,0.525631178913968,0.00969406487243633
"subset",-2.82741042393515,0.0965207552256959,0.702807968118515,-0.199263761001828,-0.926910295161585,-0.450649798465702,0.525631178913968,0.0358229546395507
